Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Albania,Albania,AL,121.0,140.24,83.88,83.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 01:00:00,Albania,Albania,AL,136.73,156.99,81.81,81.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 02:00:00,Albania,Albania,AL,125.91,145.27,83.29,82.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 03:00:00,Albania,Albania,AL,125.41,144.53,83.41,83.19,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 04:00:00,Albania,Albania,AL,116.72,135.16,84.59,84.49,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 05:00:00,Albania,Albania,AL,151.07,172.64,79.97,79.56,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 06:00:00,Albania,Albania,AL,155.52,177.46,79.34,78.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 07:00:00,Albania,Albania,AL,128.79,148.83,82.9,82.43,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 08:00:00,Albania,Albania,AL,68.77,84.67,90.92,90.87,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 09:00:00,Albania,Albania,AL,76.87,93.31,89.87,89.84,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 10:00:00,Albania,Albania,AL,44.93,59.28,94.08,94.06,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 11:00:00,Albania,Albania,AL,24.68,37.78,96.75,96.74,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 12:00:00,Albania,Albania,AL,34.53,48.19,95.44,95.39,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 13:00:00,Albania,Albania,AL,73.86,90.35,90.12,89.75,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 14:00:00,Albania,Albania,AL,98.26,116.25,86.87,86.26,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 15:00:00,Albania,Albania,AL,69.47,85.42,90.73,90.21,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 16:00:00,Albania,Albania,AL,56.87,71.8,92.44,92.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 17:00:00,Albania,Albania,AL,55.46,69.83,92.64,92.3,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 18:00:00,Albania,Albania,AL,53.76,68.04,92.86,92.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 19:00:00,Albania,Albania,AL,39.18,52.62,94.78,94.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 20:00:00,Albania,Albania,AL,32.03,44.94,95.74,95.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 21:00:00,Albania,Albania,AL,47.98,62.04,93.6,93.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 22:00:00,Albania,Albania,AL,45.92,59.86,93.87,93.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 23:00:00,Albania,Albania,AL,57.6,72.24,92.36,92.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 00:00:00,Albania,Albania,AL,71.09,86.64,90.57,90.36,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 01:00:00,Albania,Albania,AL,97.81,115.19,87.03,86.76,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 02:00:00,Albania,Albania,AL,129.84,149.38,82.79,82.5,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 03:00:00,Albania,Albania,AL,154.95,176.38,79.39,78.71,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 04:00:00,Albania,Albania,AL,150.66,171.94,79.92,79.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 05:00:00,Albania,Albania,AL,119.82,139.43,84.12,83.72,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 06:00:00,Albania,Albania,AL,109.56,128.42,85.51,85.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
