Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Austria,Austria,AT,87.38,115.71,90.26,81.72,entsoe.eu,false,
2024-01-01 01:00:00,Austria,Austria,AT,71.86,98.82,91.84,84.74,entsoe.eu,false,
2024-01-01 02:00:00,Austria,Austria,AT,53.39,78.65,93.78,88.84,entsoe.eu,false,
2024-01-01 03:00:00,Austria,Austria,AT,48.72,73.69,94.25,89.98,entsoe.eu,false,
2024-01-01 04:00:00,Austria,Austria,AT,57.83,83.8,93.28,87.78,entsoe.eu,false,
2024-01-01 05:00:00,Austria,Austria,AT,70.28,97.31,92.05,84.08,entsoe.eu,false,
2024-01-01 06:00:00,Austria,Austria,AT,67.65,94.59,92.29,84.96,entsoe.eu,false,
2024-01-01 07:00:00,Austria,Austria,AT,68.93,95.92,92.19,84.52,entsoe.eu,false,
2024-01-01 08:00:00,Austria,Austria,AT,57.12,83.15,93.48,87.21,entsoe.eu,false,
2024-01-01 09:00:00,Austria,Austria,AT,54.46,81.47,93.65,88.56,entsoe.eu,false,
2024-01-01 10:00:00,Austria,Austria,AT,44.63,71.23,94.66,91.13,entsoe.eu,false,
2024-01-01 11:00:00,Austria,Austria,AT,38.6,64.31,95.34,92.23,entsoe.eu,false,
2024-01-01 12:00:00,Austria,Austria,AT,33.65,58.36,95.92,93.05,entsoe.eu,false,
2024-01-01 13:00:00,Austria,Austria,AT,36.8,61.29,95.6,91.01,entsoe.eu,false,
2024-01-01 14:00:00,Austria,Austria,AT,45.45,68.84,95.04,87.26,entsoe.eu,false,
2024-01-01 15:00:00,Austria,Austria,AT,77.01,68.59,96.69,90.04,entsoe.eu,false,
2024-01-01 16:00:00,Austria,Austria,AT,88.73,73.29,96.58,90.17,entsoe.eu,false,
2024-01-01 17:00:00,Austria,Austria,AT,83.14,70.12,96.75,90.32,entsoe.eu,false,
2024-01-01 18:00:00,Austria,Austria,AT,81.64,70.62,96.54,90.67,entsoe.eu,false,
2024-01-01 19:00:00,Austria,Austria,AT,68.86,68.43,96.09,89.67,entsoe.eu,false,
2024-01-01 20:00:00,Austria,Austria,AT,58.82,69.14,95.68,88.12,entsoe.eu,false,
2024-01-01 21:00:00,Austria,Austria,AT,54.21,66.74,95.67,87.35,entsoe.eu,false,
2024-01-01 22:00:00,Austria,Austria,AT,42.31,64.68,95.05,86.41,entsoe.eu,false,
2024-01-01 23:00:00,Austria,Austria,AT,47.72,72.08,94.16,84.37,entsoe.eu,false,
2024-01-02 00:00:00,Austria,Austria,AT,41.74,66.58,94.54,85.38,entsoe.eu,false,
2024-01-02 01:00:00,Austria,Austria,AT,50.34,75.92,93.71,84.04,entsoe.eu,false,
2024-01-02 02:00:00,Austria,Austria,AT,49.69,75.45,93.75,83.64,entsoe.eu,false,
2024-01-02 03:00:00,Austria,Austria,AT,62.27,89.92,92.17,81.87,entsoe.eu,false,
