Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,547.23,597.07,27.06,21.82,entsoe.eu,false,
2024-01-01 01:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,555.66,605.73,25.97,21.7,entsoe.eu,false,
2024-01-01 02:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,608.27,661.56,19.04,15.77,entsoe.eu,false,
2024-01-01 03:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,649.51,704.39,13.89,12.11,entsoe.eu,false,
2024-01-01 04:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,654.05,708.22,13.6,12.75,entsoe.eu,false,
2024-01-01 05:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,600.88,653.2,20.11,17.41,entsoe.eu,false,
2024-01-01 06:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,556.73,606.79,25.73,22.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 07:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,526.3,574.34,29.75,26.26,entsoe.eu,false,
2024-01-01 08:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,578.16,626.73,23.81,23.52,entsoe.eu,false,
2024-01-01 09:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,543.17,589.25,28.51,28.44,entsoe.eu,false,
2024-01-01 10:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,524.81,569.71,30.93,30.86,entsoe.eu,false,
2024-01-01 11:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,524.43,569.28,30.97,30.93,entsoe.eu,false,
2024-01-01 12:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,506.42,550.87,33.08,32.31,entsoe.eu,false,
2024-01-01 13:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,459.22,503.04,38.5,35.1,entsoe.eu,false,
2024-01-01 14:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,422.71,462.66,43.57,39.8,entsoe.eu,false,
2024-01-01 15:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,372.55,408.26,50.41,46.37,entsoe.eu,false,
2024-01-01 16:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,381.08,415.88,49.63,46.1,entsoe.eu,false,
2024-01-01 17:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,384.32,419.31,49.23,45.93,entsoe.eu,false,
2024-01-01 18:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,399.45,435.78,47.16,44.22,entsoe.eu,false,
2024-01-01 19:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,433.17,474.07,42.24,39.19,entsoe.eu,false,
2024-01-01 20:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,460.68,503.32,38.68,36.18,entsoe.eu,false,
2024-01-01 21:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,464.97,508.42,37.92,34.62,entsoe.eu,false,
2024-01-01 22:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,486.44,531.52,34.97,32.01,entsoe.eu,false,
2024-01-01 23:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,548.48,595.66,27.53,26.59,entsoe.eu,false,
2024-01-02 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,585.46,635.39,22.54,21.31,entsoe.eu,false,
2024-01-02 01:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,615.02,666.68,18.72,17.75,entsoe.eu,false,
2024-01-02 02:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,620.26,672.44,17.95,16.87,entsoe.eu,false,
2024-01-02 03:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,556.53,606.9,25.62,21.0,entsoe.eu,false,
2024-01-02 04:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,521.53,569.92,30.21,24.55,entsoe.eu,false,
2024-01-02 05:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,503.12,549.15,32.96,29.79,entsoe.eu,false,
2024-01-02 06:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,425.95,466.36,43.26,40.36,entsoe.eu,false,
2024-01-02 07:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,403.02,441.41,46.43,44.33,entsoe.eu,false,
2024-01-02 08:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,411.64,450.28,45.44,44.28,entsoe.eu,false,
2024-01-02 09:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,415.61,454.5,44.94,44.12,entsoe.eu,false,
2024-01-02 10:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,456.41,496.96,39.98,39.98,entsoe.eu,false,
2024-01-02 11:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,460.69,501.54,39.4,39.39,entsoe.eu,false,
2024-01-02 12:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,446.43,486.34,41.26,41.26,entsoe.eu,false,
2024-01-02 13:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,405.17,442.45,46.36,45.15,entsoe.eu,false,
2024-01-02 14:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,381.18,416.02,49.68,47.6,entsoe.eu,false,
2024-01-02 15:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,369.13,402.96,51.34,48.86,entsoe.eu,false,
2024-01-02 16:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,371.32,405.42,51.07,48.75,entsoe.eu,false,
2024-01-02 17:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,378.34,413.04,50.1,48.03,entsoe.eu,false,
2024-01-02 18:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,378.24,413.17,50.03,48.2,entsoe.eu,false,
2024-01-02 19:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,385.01,423.32,48.44,46.15,entsoe.eu,false,
2024-01-02 20:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,400.25,439.84,46.41,43.36,entsoe.eu,false,
2024-01-02 21:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,429.63,471.0,42.55,39.81,entsoe.eu,false,
2024-01-02 22:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,435.72,478.51,41.43,37.49,entsoe.eu,false,
2024-01-02 23:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,475.77,521.28,36.16,31.43,entsoe.eu,false,
2024-01-03 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,553.44,603.18,26.14,22.78,entsoe.eu,false,
2024-01-03 01:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,589.4,640.56,21.68,19.47,entsoe.eu,false,
2024-01-03 02:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,616.29,668.56,18.35,16.85,entsoe.eu,false,
2024-01-03 03:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,607.2,659.16,19.46,17.76,entsoe.eu,false,
2024-01-03 04:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,529.28,577.65,29.3,25.6,entsoe.eu,false,
2024-01-03 05:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,503.53,548.54,33.16,31.93,entsoe.eu,false,
2024-01-03 06:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,399.83,439.4,46.35,44.23,entsoe.eu,false,
2024-01-03 07:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,360.65,397.34,51.68,49.39,entsoe.eu,false,
