Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Bulgaria,Bulgaria,BG,341.4,379.39,60.96,14.08,eso.bg,false,
2024-01-01 01:00:00,Bulgaria,Bulgaria,BG,335.9,373.76,61.46,14.64,eso.bg,false,
2024-01-01 02:00:00,Bulgaria,Bulgaria,BG,339.71,377.71,61.11,13.57,eso.bg,false,
2024-01-01 03:00:00,Bulgaria,Bulgaria,BG,341.71,379.88,60.89,12.8,eso.bg,false,
2024-01-01 04:00:00,Bulgaria,Bulgaria,BG,343.49,381.56,60.72,11.96,eso.bg,false,
2024-01-01 05:00:00,Bulgaria,Bulgaria,BG,339.71,377.53,61.14,13.12,eso.bg,false,
2024-01-01 06:00:00,Bulgaria,Bulgaria,BG,333.47,371.14,61.75,14.38,eso.bg,false,
2024-01-01 07:00:00,Bulgaria,Bulgaria,BG,308.49,345.27,64.7,19.06,eso.bg,false,
2024-01-01 08:00:00,Bulgaria,Bulgaria,BG,280.76,316.63,67.98,26.17,eso.bg,false,
2024-01-01 09:00:00,Bulgaria,Bulgaria,BG,267.93,303.32,69.41,28.82,eso.bg,false,
2024-01-01 10:00:00,Bulgaria,Bulgaria,BG,267.75,303.14,69.39,28.56,eso.bg,false,
2024-01-01 11:00:00,Bulgaria,Bulgaria,BG,265.47,300.43,69.73,28.71,eso.bg,false,
2024-01-01 12:00:00,Bulgaria,Bulgaria,BG,284.6,320.26,67.75,24.89,eso.bg,false,
2024-01-01 13:00:00,Bulgaria,Bulgaria,BG,301.12,337.36,65.77,21.84,eso.bg,false,
2024-01-01 14:00:00,Bulgaria,Bulgaria,BG,321.72,358.35,63.47,18.95,eso.bg,false,
2024-01-01 15:00:00,Bulgaria,Bulgaria,BG,352.62,389.72,60.94,18.85,eso.bg,false,
2024-01-01 16:00:00,Bulgaria,Bulgaria,BG,338.69,374.65,62.51,22.63,eso.bg,false,
2024-01-01 17:00:00,Bulgaria,Bulgaria,BG,321.2,356.82,63.88,24.1,eso.bg,false,
2024-01-01 18:00:00,Bulgaria,Bulgaria,BG,327.21,363.41,63.22,23.23,eso.bg,false,
2024-01-01 19:00:00,Bulgaria,Bulgaria,BG,327.73,364.34,62.93,21.93,eso.bg,false,
2024-01-01 20:00:00,Bulgaria,Bulgaria,BG,323.45,360.23,63.12,21.68,eso.bg,false,
2024-01-01 21:00:00,Bulgaria,Bulgaria,BG,324.72,361.71,62.89,20.9,eso.bg,false,
2024-01-01 22:00:00,Bulgaria,Bulgaria,BG,310.51,347.21,63.92,20.03,eso.bg,false,
2024-01-01 23:00:00,Bulgaria,Bulgaria,BG,306.12,342.52,64.39,20.21,eso.bg,false,
2024-01-02 00:00:00,Bulgaria,Bulgaria,BG,310.52,347.19,63.91,19.33,eso.bg,false,
2024-01-02 01:00:00,Bulgaria,Bulgaria,BG,320.27,357.57,62.8,16.54,eso.bg,false,
2024-01-02 02:00:00,Bulgaria,Bulgaria,BG,331.18,368.97,61.74,14.06,eso.bg,false,
2024-01-02 03:00:00,Bulgaria,Bulgaria,BG,336.43,374.67,61.12,12.72,eso.bg,false,
2024-01-02 04:00:00,Bulgaria,Bulgaria,BG,339.76,377.92,60.82,13.4,eso.bg,false,
2024-01-02 05:00:00,Bulgaria,Bulgaria,BG,353.69,392.15,59.62,14.18,eso.bg,false,
2024-01-02 06:00:00,Bulgaria,Bulgaria,BG,327.09,364.66,61.75,17.74,eso.bg,false,
2024-01-02 07:00:00,Bulgaria,Bulgaria,BG,354.98,393.05,59.93,18.52,eso.bg,false,
2024-01-02 08:00:00,Bulgaria,Bulgaria,BG,351.1,389.26,60.41,19.36,eso.bg,false,
2024-01-02 09:00:00,Bulgaria,Bulgaria,BG,338.1,375.88,61.99,21.68,eso.bg,false,
2024-01-02 10:00:00,Bulgaria,Bulgaria,BG,334.44,371.69,63.05,23.2,eso.bg,false,
2024-01-02 11:00:00,Bulgaria,Bulgaria,BG,326.4,362.87,64.21,24.3,eso.bg,false,
2024-01-02 12:00:00,Bulgaria,Bulgaria,BG,309.41,345.56,65.6,24.89,eso.bg,false,
2024-01-02 13:00:00,Bulgaria,Bulgaria,BG,298.69,334.82,65.72,24.85,eso.bg,false,
2024-01-02 14:00:00,Bulgaria,Bulgaria,BG,355.3,393.03,60.24,19.75,eso.bg,false,
2024-01-02 15:00:00,Bulgaria,Bulgaria,BG,362.67,399.63,59.87,20.43,eso.bg,false,
2024-01-02 16:00:00,Bulgaria,Bulgaria,BG,334.41,369.24,63.05,26.3,eso.bg,false,
2024-01-02 17:00:00,Bulgaria,Bulgaria,BG,335.62,370.58,63.06,25.86,eso.bg,false,
2024-01-02 18:00:00,Bulgaria,Bulgaria,BG,335.68,370.52,63.05,25.79,eso.bg,false,
2024-01-02 19:00:00,Bulgaria,Bulgaria,BG,341.2,377.07,62.15,23.46,eso.bg,false,
2024-01-02 20:00:00,Bulgaria,Bulgaria,BG,346.9,383.75,61.03,20.74,eso.bg,false,
2024-01-02 21:00:00,Bulgaria,Bulgaria,BG,348.79,386.4,60.57,17.74,eso.bg,false,
2024-01-02 22:00:00,Bulgaria,Bulgaria,BG,367.74,406.79,58.36,13.07,eso.bg,false,
2024-01-02 23:00:00,Bulgaria,Bulgaria,BG,349.91,388.62,59.88,12.66,eso.bg,false,
2024-01-03 00:00:00,Bulgaria,Bulgaria,BG,340.31,378.68,60.67,12.95,eso.bg,false,
2024-01-03 01:00:00,Bulgaria,Bulgaria,BG,340.61,378.93,60.62,13.51,eso.bg,false,
2024-01-03 02:00:00,Bulgaria,Bulgaria,BG,333.07,370.92,61.41,14.61,eso.bg,false,
2024-01-03 03:00:00,Bulgaria,Bulgaria,BG,328.18,365.45,62.07,15.48,eso.bg,false,
2024-01-03 04:00:00,Bulgaria,Bulgaria,BG,344.71,382.14,60.67,16.51,eso.bg,false,
2024-01-03 05:00:00,Bulgaria,Bulgaria,BG,353.23,390.28,60.22,19.04,eso.bg,false,
2024-01-03 06:00:00,Bulgaria,Bulgaria,BG,362.63,399.46,59.92,20.49,eso.bg,false,
2024-01-03 07:00:00,Bulgaria,Bulgaria,BG,354.53,390.92,60.82,21.95,eso.bg,false,
2024-01-03 08:00:00,Bulgaria,Bulgaria,BG,356.6,393.19,60.85,22.67,eso.bg,false,
2024-01-03 09:00:00,Bulgaria,Bulgaria,BG,342.68,379.01,62.09,22.91,eso.bg,false,
2024-01-03 10:00:00,Bulgaria,Bulgaria,BG,364.9,401.97,60.25,21.88,eso.bg,false,
2024-01-03 11:00:00,Bulgaria,Bulgaria,BG,366.92,403.99,60.14,22.25,eso.bg,false,
2024-01-03 12:00:00,Bulgaria,Bulgaria,BG,354.77,391.08,61.47,24.08,eso.bg,false,
2024-01-03 13:00:00,Bulgaria,Bulgaria,BG,347.46,383.46,62.21,24.72,eso.bg,false,
2024-01-03 14:00:00,Bulgaria,Bulgaria,BG,327.03,362.18,63.74,24.7,eso.bg,false,
2024-01-03 15:00:00,Bulgaria,Bulgaria,BG,333.89,368.8,63.18,24.98,eso.bg,false,
2024-01-03 16:00:00,Bulgaria,Bulgaria,BG,315.2,349.0,65.12,27.36,eso.bg,false,
2024-01-03 17:00:00,Bulgaria,Bulgaria,BG,318.52,352.5,64.86,27.59,eso.bg,false,
2024-01-03 18:00:00,Bulgaria,Bulgaria,BG,328.5,363.5,63.62,25.18,eso.bg,false,
2024-01-03 19:00:00,Bulgaria,Bulgaria,BG,333.39,368.69,63.27,24.69,eso.bg,false,
2024-01-03 20:00:00,Bulgaria,Bulgaria,BG,340.61,376.51,62.61,23.25,eso.bg,false,
2024-01-03 21:00:00,Bulgaria,Bulgaria,BG,338.4,374.65,62.61,22.53,eso.bg,false,
2024-01-03 22:00:00,Bulgaria,Bulgaria,BG,330.89,367.01,63.02,20.38,eso.bg,false,
2024-01-03 23:00:00,Bulgaria,Bulgaria,BG,317.48,353.86,63.79,20.94,eso.bg,false,
2024-01-04 00:00:00,Bulgaria,Bulgaria,BG,310.4,346.74,64.28,21.21,eso.bg,false,
2024-01-04 01:00:00,Bulgaria,Bulgaria,BG,306.41,342.51,64.67,21.52,eso.bg,false,
2024-01-04 02:00:00,Bulgaria,Bulgaria,BG,314.08,350.61,63.9,20.24,eso.bg,false,
2024-01-04 03:00:00,Bulgaria,Bulgaria,BG,315.39,351.94,63.8,19.98,eso.bg,false,
2024-01-04 04:00:00,Bulgaria,Bulgaria,BG,321.55,358.17,63.16,20.67,eso.bg,false,
2024-01-04 05:00:00,Bulgaria,Bulgaria,BG,332.82,369.02,62.61,22.68,eso.bg,false,
2024-01-04 06:00:00,Bulgaria,Bulgaria,BG,328.97,364.68,63.31,24.65,eso.bg,false,
2024-01-04 07:00:00,Bulgaria,Bulgaria,BG,301.24,335.81,66.6,27.4,eso.bg,false,
2024-01-04 08:00:00,Bulgaria,Bulgaria,BG,282.14,315.99,68.72,28.8,eso.bg,false,
2024-01-04 09:00:00,Bulgaria,Bulgaria,BG,287.29,321.31,68.43,28.3,eso.bg,false,
2024-01-04 10:00:00,Bulgaria,Bulgaria,BG,267.04,300.38,70.35,29.61,eso.bg,false,
2024-01-04 11:00:00,Bulgaria,Bulgaria,BG,258.96,292.06,71.35,31.17,eso.bg,false,
2024-01-04 12:00:00,Bulgaria,Bulgaria,BG,272.68,306.4,69.69,28.2,eso.bg,false,
2024-01-04 13:00:00,Bulgaria,Bulgaria,BG,298.06,332.82,66.58,22.51,eso.bg,false,
2024-01-04 14:00:00,Bulgaria,Bulgaria,BG,327.96,364.22,62.75,19.43,eso.bg,false,
2024-01-04 15:00:00,Bulgaria,Bulgaria,BG,322.54,358.63,62.83,20.57,eso.bg,false,
2024-01-04 16:00:00,Bulgaria,Bulgaria,BG,319.12,353.96,64.09,24.72,eso.bg,false,
2024-01-04 17:00:00,Bulgaria,Bulgaria,BG,330.23,364.71,63.79,24.6,eso.bg,false,
2024-01-04 18:00:00,Bulgaria,Bulgaria,BG,323.21,357.56,64.42,24.51,eso.bg,false,
2024-01-04 19:00:00,Bulgaria,Bulgaria,BG,308.57,342.68,65.37,23.81,eso.bg,false,
2024-01-04 20:00:00,Bulgaria,Bulgaria,BG,311.61,345.85,65.32,24.5,eso.bg,false,
2024-01-04 21:00:00,Bulgaria,Bulgaria,BG,327.77,362.85,63.92,23.71,eso.bg,false,
2024-01-04 22:00:00,Bulgaria,Bulgaria,BG,346.96,383.17,62.06,20.29,eso.bg,false,
2024-01-04 23:00:00,Bulgaria,Bulgaria,BG,330.7,366.68,63.19,21.09,eso.bg,false,
2024-01-05 00:00:00,Bulgaria,Bulgaria,BG,323.26,359.28,63.58,21.36,eso.bg,false,
2024-01-05 01:00:00,Bulgaria,Bulgaria,BG,321.96,357.52,63.87,20.95,eso.bg,false,
