Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Cyprus,Cyprus,CY,625.63,869.29,2.41,2.41,tsoc.org.cy,false,
2024-01-01 01:00:00,Cyprus,Cyprus,CY,624.49,868.13,2.59,2.59,tsoc.org.cy,false,
2024-01-01 02:00:00,Cyprus,Cyprus,CY,623.8,867.42,2.7,2.7,tsoc.org.cy,false,
2024-01-01 03:00:00,Cyprus,Cyprus,CY,623.77,867.39,2.7,2.7,tsoc.org.cy,false,
2024-01-01 04:00:00,Cyprus,Cyprus,CY,624.22,867.85,2.63,2.63,tsoc.org.cy,false,
2024-01-01 05:00:00,Cyprus,Cyprus,CY,600.3,835.76,6.36,6.36,tsoc.org.cy,false,
2024-01-01 06:00:00,Cyprus,Cyprus,CY,474.64,667.01,25.96,25.96,tsoc.org.cy,false,
2024-01-01 07:00:00,Cyprus,Cyprus,CY,351.2,501.31,45.22,45.22,tsoc.org.cy,false,
2024-01-01 08:00:00,Cyprus,Cyprus,CY,320.01,459.14,50.08,50.08,tsoc.org.cy,false,
2024-01-01 09:00:00,Cyprus,Cyprus,CY,297.44,428.6,53.6,53.6,tsoc.org.cy,false,
2024-01-01 10:00:00,Cyprus,Cyprus,CY,304.51,438.13,52.5,52.5,tsoc.org.cy,false,
2024-01-01 11:00:00,Cyprus,Cyprus,CY,318.96,457.58,50.25,50.25,tsoc.org.cy,false,
2024-01-01 12:00:00,Cyprus,Cyprus,CY,364.96,519.27,43.07,43.07,tsoc.org.cy,false,
2024-01-01 13:00:00,Cyprus,Cyprus,CY,502.25,703.4,21.66,21.66,tsoc.org.cy,false,
2024-01-01 14:00:00,Cyprus,Cyprus,CY,600.29,834.58,6.36,6.36,tsoc.org.cy,false,
2024-01-01 15:00:00,Cyprus,Cyprus,CY,626.66,869.47,2.25,2.25,tsoc.org.cy,false,
2024-01-01 16:00:00,Cyprus,Cyprus,CY,628.97,872.35,1.89,1.89,tsoc.org.cy,false,
2024-01-01 17:00:00,Cyprus,Cyprus,CY,629.08,872.47,1.87,1.87,tsoc.org.cy,false,
2024-01-01 18:00:00,Cyprus,Cyprus,CY,628.91,872.29,1.9,1.9,tsoc.org.cy,false,
2024-01-01 19:00:00,Cyprus,Cyprus,CY,627.84,870.99,2.06,2.06,tsoc.org.cy,false,
2024-01-01 20:00:00,Cyprus,Cyprus,CY,626.83,870.31,2.22,2.22,tsoc.org.cy,false,
2024-01-01 21:00:00,Cyprus,Cyprus,CY,626.06,869.73,2.34,2.34,tsoc.org.cy,false,
2024-01-01 22:00:00,Cyprus,Cyprus,CY,624.67,868.31,2.56,2.56,tsoc.org.cy,false,
2024-01-01 23:00:00,Cyprus,Cyprus,CY,622.0,864.86,2.98,2.98,tsoc.org.cy,false,
2024-01-02 00:00:00,Cyprus,Cyprus,CY,621.61,864.73,3.04,3.04,tsoc.org.cy,false,
2024-01-02 01:00:00,Cyprus,Cyprus,CY,621.82,865.24,3.0,3.0,tsoc.org.cy,false,
2024-01-02 02:00:00,Cyprus,Cyprus,CY,621.5,864.75,3.05,3.05,tsoc.org.cy,false,
2024-01-02 03:00:00,Cyprus,Cyprus,CY,623.41,867.02,2.76,2.76,tsoc.org.cy,false,
2024-01-02 04:00:00,Cyprus,Cyprus,CY,619.22,860.72,3.41,3.41,tsoc.org.cy,false,
2024-01-02 05:00:00,Cyprus,Cyprus,CY,602.2,837.42,6.06,6.06,tsoc.org.cy,false,
2024-01-02 06:00:00,Cyprus,Cyprus,CY,467.63,656.59,27.06,27.06,tsoc.org.cy,false,
2024-01-02 07:00:00,Cyprus,Cyprus,CY,356.06,506.76,44.46,44.46,tsoc.org.cy,false,
2024-01-02 08:00:00,Cyprus,Cyprus,CY,355.26,505.7,44.58,44.58,tsoc.org.cy,false,
2024-01-02 09:00:00,Cyprus,Cyprus,CY,361.89,514.57,43.55,43.55,tsoc.org.cy,false,
2024-01-02 10:00:00,Cyprus,Cyprus,CY,363.44,516.48,43.31,43.31,tsoc.org.cy,false,
2024-01-02 11:00:00,Cyprus,Cyprus,CY,361.24,513.29,43.65,43.65,tsoc.org.cy,false,
2024-01-02 12:00:00,Cyprus,Cyprus,CY,433.58,610.3,32.37,32.37,tsoc.org.cy,false,
2024-01-02 13:00:00,Cyprus,Cyprus,CY,525.47,733.62,18.03,18.03,tsoc.org.cy,false,
2024-01-02 14:00:00,Cyprus,Cyprus,CY,597.8,830.59,6.75,6.75,tsoc.org.cy,false,
2024-01-02 15:00:00,Cyprus,Cyprus,CY,615.37,853.62,4.01,4.01,tsoc.org.cy,false,
2024-01-02 16:00:00,Cyprus,Cyprus,CY,610.47,846.77,4.77,4.77,tsoc.org.cy,false,
2024-01-02 17:00:00,Cyprus,Cyprus,CY,617.95,856.98,3.61,3.61,tsoc.org.cy,false,
2024-01-02 18:00:00,Cyprus,Cyprus,CY,619.64,859.37,3.34,3.34,tsoc.org.cy,false,
2024-01-02 19:00:00,Cyprus,Cyprus,CY,619.54,859.42,3.36,3.36,tsoc.org.cy,false,
2024-01-02 20:00:00,Cyprus,Cyprus,CY,617.94,857.57,3.61,3.61,tsoc.org.cy,false,
2024-01-02 21:00:00,Cyprus,Cyprus,CY,609.9,847.19,4.86,4.86,tsoc.org.cy,false,
2024-01-02 22:00:00,Cyprus,Cyprus,CY,611.15,849.48,4.67,4.67,tsoc.org.cy,false,
2024-01-02 23:00:00,Cyprus,Cyprus,CY,606.56,843.82,5.38,5.38,tsoc.org.cy,false,
2024-01-03 00:00:00,Cyprus,Cyprus,CY,597.5,831.87,6.8,6.8,tsoc.org.cy,false,
2024-01-03 01:00:00,Cyprus,Cyprus,CY,596.12,830.18,7.01,7.01,tsoc.org.cy,false,
2024-01-03 02:00:00,Cyprus,Cyprus,CY,592.51,825.19,7.58,7.58,tsoc.org.cy,false,
2024-01-03 03:00:00,Cyprus,Cyprus,CY,602.97,839.02,5.95,5.95,tsoc.org.cy,false,
2024-01-03 04:00:00,Cyprus,Cyprus,CY,609.23,846.76,4.97,4.97,tsoc.org.cy,false,
2024-01-03 05:00:00,Cyprus,Cyprus,CY,602.42,837.02,6.03,6.03,tsoc.org.cy,false,
2024-01-03 06:00:00,Cyprus,Cyprus,CY,514.23,718.47,19.79,19.79,tsoc.org.cy,false,
2024-01-03 07:00:00,Cyprus,Cyprus,CY,446.44,627.48,30.36,30.36,tsoc.org.cy,false,
2024-01-03 08:00:00,Cyprus,Cyprus,CY,389.11,550.27,39.3,39.3,tsoc.org.cy,false,
2024-01-03 09:00:00,Cyprus,Cyprus,CY,324.33,463.33,49.41,49.41,tsoc.org.cy,false,
2024-01-03 10:00:00,Cyprus,Cyprus,CY,320.26,457.92,50.04,50.04,tsoc.org.cy,false,
2024-01-03 11:00:00,Cyprus,Cyprus,CY,336.81,480.3,47.46,47.46,tsoc.org.cy,false,
2024-01-03 12:00:00,Cyprus,Cyprus,CY,363.98,516.68,43.22,43.22,tsoc.org.cy,false,
2024-01-03 13:00:00,Cyprus,Cyprus,CY,464.1,651.03,27.61,27.61,tsoc.org.cy,false,
2024-01-03 14:00:00,Cyprus,Cyprus,CY,575.74,800.7,10.19,10.19,tsoc.org.cy,false,
2024-01-03 15:00:00,Cyprus,Cyprus,CY,617.92,856.96,3.61,3.61,tsoc.org.cy,false,
2024-01-03 16:00:00,Cyprus,Cyprus,CY,627.11,869.25,2.18,2.18,tsoc.org.cy,false,
2024-01-03 17:00:00,Cyprus,Cyprus,CY,629.01,871.83,1.88,1.88,tsoc.org.cy,false,
