Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Czechia,Czechia,CZ,344.04,378.41,65.81,17.74,ceps.cz,false,
2024-01-01 01:00:00,Czechia,Czechia,CZ,329.85,363.45,67.14,16.79,ceps.cz,false,
2024-01-01 02:00:00,Czechia,Czechia,CZ,330.3,363.27,67.14,14.05,ceps.cz,false,
2024-01-01 03:00:00,Czechia,Czechia,CZ,332.92,365.22,67.0,11.64,ceps.cz,false,
2024-01-01 04:00:00,Czechia,Czechia,CZ,332.17,365.22,66.93,13.29,ceps.cz,false,
2024-01-01 05:00:00,Czechia,Czechia,CZ,323.26,356.26,67.94,13.13,ceps.cz,false,
2024-01-01 06:00:00,Czechia,Czechia,CZ,312.93,345.61,68.97,14.48,ceps.cz,false,
2024-01-01 07:00:00,Czechia,Czechia,CZ,313.86,346.5,68.95,13.94,ceps.cz,false,
2024-01-01 08:00:00,Czechia,Czechia,CZ,307.18,339.2,69.76,14.62,ceps.cz,false,
2024-01-01 09:00:00,Czechia,Czechia,CZ,291.61,323.68,71.29,18.27,ceps.cz,false,
2024-01-01 10:00:00,Czechia,Czechia,CZ,284.38,316.65,72.01,20.32,ceps.cz,false,
2024-01-01 11:00:00,Czechia,Czechia,CZ,282.62,314.14,72.37,19.31,ceps.cz,false,
2024-01-01 12:00:00,Czechia,Czechia,CZ,288.62,319.9,71.84,18.26,ceps.cz,false,
2024-01-01 13:00:00,Czechia,Czechia,CZ,275.52,307.73,72.61,21.97,ceps.cz,false,
2024-01-01 14:00:00,Czechia,Czechia,CZ,294.46,323.58,72.57,21.5,ceps.cz,false,
2024-01-01 15:00:00,Czechia,Czechia,CZ,306.17,331.84,73.45,24.75,ceps.cz,false,
2024-01-01 16:00:00,Czechia,Czechia,CZ,307.51,333.01,73.44,25.84,ceps.cz,false,
2024-01-01 17:00:00,Czechia,Czechia,CZ,309.92,334.93,73.33,25.35,ceps.cz,false,
2024-01-01 18:00:00,Czechia,Czechia,CZ,308.28,334.22,73.07,24.69,ceps.cz,false,
2024-01-01 19:00:00,Czechia,Czechia,CZ,315.99,343.11,71.91,22.32,ceps.cz,false,
2024-01-01 20:00:00,Czechia,Czechia,CZ,320.93,346.58,72.06,21.13,ceps.cz,false,
2024-01-01 21:00:00,Czechia,Czechia,CZ,312.43,339.73,71.25,17.28,ceps.cz,false,
2024-01-01 22:00:00,Czechia,Czechia,CZ,309.26,339.67,69.58,11.85,ceps.cz,false,
2024-01-01 23:00:00,Czechia,Czechia,CZ,294.29,324.53,70.94,12.51,ceps.cz,false,
2024-01-02 00:00:00,Czechia,Czechia,CZ,291.58,323.3,70.87,13.76,ceps.cz,false,
