Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Denmark,Denmark,DK,98.85,146.54,85.14,83.81,entsoe.eu,false,
2024-01-01 01:00:00,Denmark,Denmark,DK,98.51,145.27,85.22,84.11,entsoe.eu,false,
2024-01-01 02:00:00,Denmark,Denmark,DK,99.9,145.5,85.09,84.05,entsoe.eu,false,
2024-01-01 03:00:00,Denmark,Denmark,DK,103.96,150.89,84.59,82.94,entsoe.eu,false,
2024-01-01 04:00:00,Denmark,Denmark,DK,100.06,146.28,84.5,82.54,entsoe.eu,false,
2024-01-01 05:00:00,Denmark,Denmark,DK,102.82,150.22,84.1,81.69,entsoe.eu,false,
2024-01-01 06:00:00,Denmark,Denmark,DK,106.53,154.91,83.78,81.86,entsoe.eu,false,
2024-01-01 07:00:00,Denmark,Denmark,DK,106.74,155.88,83.44,81.02,entsoe.eu,false,
2024-01-01 08:00:00,Denmark,Denmark,DK,104.1,152.96,84.19,83.1,entsoe.eu,false,
2024-01-01 09:00:00,Denmark,Denmark,DK,106.99,159.92,83.54,83.0,entsoe.eu,false,
2024-01-01 10:00:00,Denmark,Denmark,DK,107.01,161.77,83.53,82.99,entsoe.eu,false,
2024-01-01 11:00:00,Denmark,Denmark,DK,110.09,166.47,83.04,82.25,entsoe.eu,false,
2024-01-01 12:00:00,Denmark,Denmark,DK,113.74,174.09,82.56,81.39,entsoe.eu,false,
2024-01-01 13:00:00,Denmark,Denmark,DK,120.71,181.85,81.84,79.41,entsoe.eu,false,
2024-01-01 14:00:00,Denmark,Denmark,DK,128.29,193.24,80.87,78.22,entsoe.eu,false,
2024-01-01 15:00:00,Denmark,Denmark,DK,134.51,200.25,80.41,77.85,entsoe.eu,false,
2024-01-01 16:00:00,Denmark,Denmark,DK,145.55,209.35,79.53,77.27,entsoe.eu,false,
2024-01-01 17:00:00,Denmark,Denmark,DK,148.2,208.92,79.52,77.2,entsoe.eu,false,
2024-01-01 18:00:00,Denmark,Denmark,DK,141.52,200.93,80.31,78.18,entsoe.eu,false,
2024-01-01 19:00:00,Denmark,Denmark,DK,125.74,186.34,81.15,77.8,entsoe.eu,false,
2024-01-01 20:00:00,Denmark,Denmark,DK,120.62,178.17,81.7,78.3,entsoe.eu,false,
2024-01-01 21:00:00,Denmark,Denmark,DK,119.52,178.17,82.13,79.22,entsoe.eu,false,
2024-01-01 22:00:00,Denmark,Denmark,DK,103.08,156.02,83.36,78.51,entsoe.eu,false,
2024-01-01 23:00:00,Denmark,Denmark,DK,107.88,156.58,82.83,77.7,entsoe.eu,false,
2024-01-02 00:00:00,Denmark,Denmark,DK,116.05,165.13,81.89,76.76,entsoe.eu,false,
2024-01-02 01:00:00,Denmark,Denmark,DK,113.78,163.93,81.93,76.64,entsoe.eu,false,
2024-01-02 02:00:00,Denmark,Denmark,DK,110.13,159.68,82.56,77.43,entsoe.eu,false,
2024-01-02 03:00:00,Denmark,Denmark,DK,107.42,155.94,82.85,77.92,entsoe.eu,false,
2024-01-02 04:00:00,Denmark,Denmark,DK,102.6,152.43,83.32,79.05,entsoe.eu,false,
2024-01-02 05:00:00,Denmark,Denmark,DK,100.14,154.06,83.73,80.37,entsoe.eu,false,
2024-01-02 06:00:00,Denmark,Denmark,DK,111.53,167.71,82.29,80.0,entsoe.eu,false,
2024-01-02 07:00:00,Denmark,Denmark,DK,112.11,169.44,82.63,81.07,entsoe.eu,false,
2024-01-02 08:00:00,Denmark,Denmark,DK,112.52,169.86,82.86,81.38,entsoe.eu,false,
2024-01-02 09:00:00,Denmark,Denmark,DK,102.83,161.25,83.1,82.14,entsoe.eu,false,
2024-01-02 10:00:00,Denmark,Denmark,DK,93.2,148.2,84.28,83.61,entsoe.eu,false,
2024-01-02 11:00:00,Denmark,Denmark,DK,84.91,140.83,85.19,84.99,entsoe.eu,false,
2024-01-02 12:00:00,Denmark,Denmark,DK,83.62,137.03,85.64,85.27,entsoe.eu,false,
2024-01-02 13:00:00,Denmark,Denmark,DK,79.8,130.92,85.92,85.72,entsoe.eu,false,
2024-01-02 14:00:00,Denmark,Denmark,DK,85.33,137.7,84.88,84.67,entsoe.eu,false,
2024-01-02 15:00:00,Denmark,Denmark,DK,87.33,139.2,84.8,84.5,entsoe.eu,false,
2024-01-02 16:00:00,Denmark,Denmark,DK,81.56,131.93,85.71,85.52,entsoe.eu,false,
2024-01-02 17:00:00,Denmark,Denmark,DK,78.99,128.86,86.3,86.1,entsoe.eu,false,
2024-01-02 18:00:00,Denmark,Denmark,DK,85.93,132.14,86.53,85.74,entsoe.eu,false,
2024-01-02 19:00:00,Denmark,Denmark,DK,80.7,127.38,87.32,86.65,entsoe.eu,false,
2024-01-02 20:00:00,Denmark,Denmark,DK,73.44,117.37,88.66,87.81,entsoe.eu,false,
2024-01-02 21:00:00,Denmark,Denmark,DK,70.27,111.9,89.15,88.53,entsoe.eu,false,
2024-01-02 22:00:00,Denmark,Denmark,DK,67.62,107.16,89.8,89.21,entsoe.eu,false,
2024-01-02 23:00:00,Denmark,Denmark,DK,64.46,104.43,90.49,89.55,entsoe.eu,false,
