Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Estonia,Estonia,EE,292.45,341.27,61.91,56.89,entsoe.eu,false,
2024-01-01 01:00:00,Estonia,Estonia,EE,240.92,289.84,67.4,60.27,entsoe.eu,false,
2024-01-01 02:00:00,Estonia,Estonia,EE,265.68,302.69,62.31,55.99,entsoe.eu,false,
2024-01-01 03:00:00,Estonia,Estonia,EE,269.16,310.76,63.14,58.3,entsoe.eu,false,
2024-01-01 04:00:00,Estonia,Estonia,EE,257.97,300.85,64.54,60.08,entsoe.eu,false,
2024-01-01 05:00:00,Estonia,Estonia,EE,248.81,292.31,65.59,61.1,entsoe.eu,false,
2024-01-01 06:00:00,Estonia,Estonia,EE,250.48,289.99,65.02,59.57,entsoe.eu,false,
2024-01-01 07:00:00,Estonia,Estonia,EE,256.5,291.63,63.34,56.71,entsoe.eu,false,
2024-01-01 08:00:00,Estonia,Estonia,EE,251.24,287.37,64.39,58.18,entsoe.eu,false,
2024-01-01 09:00:00,Estonia,Estonia,EE,255.53,288.74,63.46,56.62,entsoe.eu,false,
2024-01-01 10:00:00,Estonia,Estonia,EE,247.71,280.94,64.52,57.73,entsoe.eu,false,
2024-01-01 11:00:00,Estonia,Estonia,EE,235.67,275.32,66.93,61.5,entsoe.eu,false,
2024-01-01 12:00:00,Estonia,Estonia,EE,243.4,277.6,65.39,58.54,entsoe.eu,false,
2024-01-01 13:00:00,Estonia,Estonia,EE,239.22,273.24,66.14,59.18,entsoe.eu,false,
2024-01-01 14:00:00,Estonia,Estonia,EE,236.12,272.78,66.66,60.49,entsoe.eu,false,
2024-01-01 15:00:00,Estonia,Estonia,EE,207.98,250.96,72.11,64.03,entsoe.eu,false,
2024-01-01 16:00:00,Estonia,Estonia,EE,176.25,220.68,76.22,67.76,entsoe.eu,false,
2024-01-01 17:00:00,Estonia,Estonia,EE,227.27,268.2,69.56,64.15,entsoe.eu,false,
2024-01-01 18:00:00,Estonia,Estonia,EE,231.63,266.95,67.79,61.6,entsoe.eu,false,
2024-01-01 19:00:00,Estonia,Estonia,EE,237.33,273.72,66.92,60.65,entsoe.eu,false,
2024-01-01 20:00:00,Estonia,Estonia,EE,247.31,282.32,65.53,59.15,entsoe.eu,false,
2024-01-01 21:00:00,Estonia,Estonia,EE,249.63,285.18,65.38,59.36,entsoe.eu,false,
2024-01-01 22:00:00,Estonia,Estonia,EE,243.29,280.94,66.2,60.75,entsoe.eu,false,
2024-01-01 23:00:00,Estonia,Estonia,EE,248.0,287.01,66.0,60.97,entsoe.eu,false,
2024-01-02 00:00:00,Estonia,Estonia,EE,251.78,289.1,65.2,59.68,entsoe.eu,false,
2024-01-02 01:00:00,Estonia,Estonia,EE,276.42,312.54,61.81,55.53,entsoe.eu,false,
2024-01-02 02:00:00,Estonia,Estonia,EE,281.4,317.93,61.35,55.22,entsoe.eu,false,
2024-01-02 03:00:00,Estonia,Estonia,EE,322.15,363.08,58.66,53.7,entsoe.eu,false,
2024-01-02 04:00:00,Estonia,Estonia,EE,365.17,412.79,55.66,52.5,entsoe.eu,false,
2024-01-02 05:00:00,Estonia,Estonia,EE,381.93,426.16,52.83,48.83,entsoe.eu,false,
