Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Finland,Finland,FI,62.69,95.12,90.38,48.34,entsoe.eu,false,
2024-01-01 01:00:00,Finland,Finland,FI,63.12,95.55,90.31,48.85,entsoe.eu,false,
2024-01-01 02:00:00,Finland,Finland,FI,69.44,102.39,89.4,47.66,entsoe.eu,false,
2024-01-01 03:00:00,Finland,Finland,FI,67.61,100.57,89.62,48.75,entsoe.eu,false,
2024-01-01 04:00:00,Finland,Finland,FI,66.07,98.73,89.83,49.86,entsoe.eu,false,
2024-01-01 05:00:00,Finland,Finland,FI,66.0,98.69,89.94,48.84,entsoe.eu,false,
2024-01-01 06:00:00,Finland,Finland,FI,69.18,101.87,89.49,49.14,entsoe.eu,false,
2024-01-01 07:00:00,Finland,Finland,FI,70.34,103.1,89.32,49.53,entsoe.eu,false,
2024-01-01 08:00:00,Finland,Finland,FI,70.32,103.58,89.32,49.8,entsoe.eu,false,
2024-01-01 09:00:00,Finland,Finland,FI,68.93,101.38,89.52,51.03,entsoe.eu,false,
2024-01-01 10:00:00,Finland,Finland,FI,68.7,100.92,89.54,51.0,entsoe.eu,false,
2024-01-01 11:00:00,Finland,Finland,FI,65.05,97.17,90.04,51.05,entsoe.eu,false,
2024-01-01 12:00:00,Finland,Finland,FI,68.33,100.56,89.55,50.9,entsoe.eu,false,
2024-01-01 13:00:00,Finland,Finland,FI,67.74,99.9,89.68,51.85,entsoe.eu,false,
2024-01-01 14:00:00,Finland,Finland,FI,64.33,96.07,90.16,53.35,entsoe.eu,false,
2024-01-01 15:00:00,Finland,Finland,FI,64.2,95.52,90.13,54.11,entsoe.eu,false,
2024-01-01 16:00:00,Finland,Finland,FI,63.78,94.87,90.2,54.45,entsoe.eu,false,
