Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Greece,Greece,GR,379.12,441.32,40.51,30.38,entsoe.eu,false,
2024-01-01 01:00:00,Greece,Greece,GR,371.58,428.97,44.19,33.4,entsoe.eu,false,
2024-01-01 02:00:00,Greece,Greece,GR,369.14,424.1,45.95,35.38,entsoe.eu,false,
2024-01-01 03:00:00,Greece,Greece,GR,371.47,426.32,45.81,35.13,entsoe.eu,false,
2024-01-01 04:00:00,Greece,Greece,GR,352.08,404.98,48.22,38.88,entsoe.eu,false,
2024-01-01 05:00:00,Greece,Greece,GR,360.06,412.57,47.73,37.91,entsoe.eu,false,
2024-01-01 06:00:00,Greece,Greece,GR,338.24,388.15,51.46,42.71,entsoe.eu,false,
2024-01-01 07:00:00,Greece,Greece,GR,263.94,305.47,64.52,56.85,entsoe.eu,false,
2024-01-01 08:00:00,Greece,Greece,GR,206.69,244.72,72.56,66.13,entsoe.eu,false,
2024-01-01 09:00:00,Greece,Greece,GR,180.68,217.15,76.09,70.57,entsoe.eu,false,
2024-01-01 10:00:00,Greece,Greece,GR,170.86,207.72,76.82,71.69,entsoe.eu,false,
2024-01-01 11:00:00,Greece,Greece,GR,169.44,206.08,77.01,71.98,entsoe.eu,false,
2024-01-01 12:00:00,Greece,Greece,GR,177.6,213.6,76.6,71.17,entsoe.eu,false,
2024-01-01 13:00:00,Greece,Greece,GR,225.72,264.41,69.9,62.98,entsoe.eu,false,
2024-01-01 14:00:00,Greece,Greece,GR,275.97,317.83,63.72,56.05,entsoe.eu,false,
2024-01-01 15:00:00,Greece,Greece,GR,290.95,340.65,60.0,53.87,entsoe.eu,false,
2024-01-01 16:00:00,Greece,Greece,GR,285.86,336.39,60.76,54.96,entsoe.eu,false,
2024-01-01 17:00:00,Greece,Greece,GR,285.82,336.94,60.24,54.28,entsoe.eu,false,
2024-01-01 18:00:00,Greece,Greece,GR,297.74,351.66,57.54,51.37,entsoe.eu,false,
2024-01-01 19:00:00,Greece,Greece,GR,294.75,346.9,59.14,52.41,entsoe.eu,false,
2024-01-01 20:00:00,Greece,Greece,GR,292.58,343.2,59.75,52.56,entsoe.eu,false,
2024-01-01 21:00:00,Greece,Greece,GR,309.28,362.8,51.86,43.5,entsoe.eu,false,
2024-01-01 22:00:00,Greece,Greece,GR,314.75,367.59,51.71,42.06,entsoe.eu,false,
2024-01-01 23:00:00,Greece,Greece,GR,330.03,382.87,50.77,40.1,entsoe.eu,false,
2024-01-02 00:00:00,Greece,Greece,GR,337.13,387.81,51.61,40.2,entsoe.eu,false,
2024-01-02 01:00:00,Greece,Greece,GR,334.52,382.91,53.22,41.75,entsoe.eu,false,
2024-01-02 02:00:00,Greece,Greece,GR,331.26,378.8,53.78,43.14,entsoe.eu,false,
2024-01-02 03:00:00,Greece,Greece,GR,325.75,372.01,54.64,44.58,entsoe.eu,false,
2024-01-02 04:00:00,Greece,Greece,GR,316.04,361.75,55.53,46.74,entsoe.eu,false,
2024-01-02 05:00:00,Greece,Greece,GR,357.92,407.61,50.83,44.85,entsoe.eu,false,
2024-01-02 06:00:00,Greece,Greece,GR,331.41,376.99,55.6,51.32,entsoe.eu,false,
2024-01-02 07:00:00,Greece,Greece,GR,300.79,344.22,59.73,56.05,entsoe.eu,false,
2024-01-02 08:00:00,Greece,Greece,GR,256.92,296.89,65.67,63.28,entsoe.eu,false,
2024-01-02 09:00:00,Greece,Greece,GR,245.24,283.07,68.53,65.74,entsoe.eu,false,
2024-01-02 10:00:00,Greece,Greece,GR,223.86,261.57,71.51,68.89,entsoe.eu,false,
2024-01-02 11:00:00,Greece,Greece,GR,212.36,248.61,73.8,71.51,entsoe.eu,false,
2024-01-02 12:00:00,Greece,Greece,GR,232.87,271.46,70.59,67.85,entsoe.eu,false,
2024-01-02 13:00:00,Greece,Greece,GR,276.87,320.23,63.04,59.46,entsoe.eu,false,
2024-01-02 14:00:00,Greece,Greece,GR,315.08,363.85,55.14,51.57,entsoe.eu,false,
2024-01-02 15:00:00,Greece,Greece,GR,321.26,372.24,54.1,50.5,entsoe.eu,false,
2024-01-02 16:00:00,Greece,Greece,GR,315.75,367.96,56.89,53.78,entsoe.eu,false,
2024-01-02 17:00:00,Greece,Greece,GR,318.75,371.58,57.29,54.0,entsoe.eu,false,
2024-01-02 18:00:00,Greece,Greece,GR,320.9,373.34,57.99,54.48,entsoe.eu,false,
2024-01-02 19:00:00,Greece,Greece,GR,329.87,381.86,55.13,50.99,entsoe.eu,false,
2024-01-02 20:00:00,Greece,Greece,GR,349.28,403.16,48.78,44.05,entsoe.eu,false,
2024-01-02 21:00:00,Greece,Greece,GR,348.72,401.95,49.47,44.17,entsoe.eu,false,
2024-01-02 22:00:00,Greece,Greece,GR,354.71,403.68,52.07,45.81,entsoe.eu,false,
2024-01-02 23:00:00,Greece,Greece,GR,366.69,409.76,55.54,47.42,entsoe.eu,false,
2024-01-03 00:00:00,Greece,Greece,GR,368.22,410.21,55.75,47.38,entsoe.eu,false,
2024-01-03 01:00:00,Greece,Greece,GR,382.75,425.76,53.62,44.99,entsoe.eu,false,
2024-01-03 02:00:00,Greece,Greece,GR,384.39,427.4,53.4,45.04,entsoe.eu,false,
2024-01-03 03:00:00,Greece,Greece,GR,374.82,416.96,54.75,46.88,entsoe.eu,false,
2024-01-03 04:00:00,Greece,Greece,GR,389.03,430.54,54.46,47.97,entsoe.eu,false,
2024-01-03 05:00:00,Greece,Greece,GR,348.15,387.7,58.22,53.2,entsoe.eu,false,
2024-01-03 06:00:00,Greece,Greece,GR,329.09,369.71,62.37,58.65,entsoe.eu,false,
2024-01-03 07:00:00,Greece,Greece,GR,283.33,322.3,67.5,64.51,entsoe.eu,false,
2024-01-03 08:00:00,Greece,Greece,GR,261.94,299.2,71.09,68.72,entsoe.eu,false,
2024-01-03 09:00:00,Greece,Greece,GR,266.68,304.59,70.39,67.41,entsoe.eu,false,
2024-01-03 10:00:00,Greece,Greece,GR,254.65,292.67,70.87,67.87,entsoe.eu,false,
2024-01-03 11:00:00,Greece,Greece,GR,258.09,294.33,68.69,65.12,entsoe.eu,false,
2024-01-03 12:00:00,Greece,Greece,GR,274.16,312.12,65.99,62.06,entsoe.eu,false,
2024-01-03 13:00:00,Greece,Greece,GR,297.2,342.03,59.37,55.46,entsoe.eu,false,
2024-01-03 14:00:00,Greece,Greece,GR,294.62,342.84,56.84,53.78,entsoe.eu,false,
