Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Hungary,Hungary,HU,169.33,201.87,78.66,22.39,entsoe.eu,false,
2024-01-01 01:00:00,Hungary,Hungary,HU,164.99,197.8,78.84,23.03,entsoe.eu,false,
2024-01-01 02:00:00,Hungary,Hungary,HU,161.67,195.5,78.64,25.88,entsoe.eu,false,
2024-01-01 03:00:00,Hungary,Hungary,HU,162.13,197.22,77.78,25.34,entsoe.eu,false,
2024-01-01 04:00:00,Hungary,Hungary,HU,170.13,206.2,76.59,21.7,entsoe.eu,false,
2024-01-01 05:00:00,Hungary,Hungary,HU,161.43,196.18,77.89,19.14,entsoe.eu,false,
2024-01-01 06:00:00,Hungary,Hungary,HU,155.53,190.24,78.95,22.14,entsoe.eu,false,
2024-01-01 07:00:00,Hungary,Hungary,HU,149.38,181.98,80.32,23.31,entsoe.eu,false,
2024-01-01 08:00:00,Hungary,Hungary,HU,137.84,170.13,81.17,24.98,entsoe.eu,false,
2024-01-01 09:00:00,Hungary,Hungary,HU,118.63,148.69,84.76,30.78,entsoe.eu,false,
2024-01-01 10:00:00,Hungary,Hungary,HU,105.37,134.7,86.79,36.02,entsoe.eu,false,
2024-01-01 11:00:00,Hungary,Hungary,HU,104.91,136.16,85.83,38.22,entsoe.eu,false,
2024-01-01 12:00:00,Hungary,Hungary,HU,110.74,143.52,84.43,39.38,entsoe.eu,false,
2024-01-01 13:00:00,Hungary,Hungary,HU,118.38,151.06,83.29,36.07,entsoe.eu,false,
2024-01-01 14:00:00,Hungary,Hungary,HU,135.08,168.07,81.03,28.56,entsoe.eu,false,
2024-01-01 15:00:00,Hungary,Hungary,HU,148.0,172.16,81.74,30.42,entsoe.eu,false,
2024-01-01 16:00:00,Hungary,Hungary,HU,151.51,174.36,81.56,29.85,entsoe.eu,false,
2024-01-01 17:00:00,Hungary,Hungary,HU,150.25,172.26,81.87,30.57,entsoe.eu,false,
2024-01-01 18:00:00,Hungary,Hungary,HU,148.76,170.99,81.86,30.68,entsoe.eu,false,
2024-01-01 19:00:00,Hungary,Hungary,HU,143.22,167.37,82.02,30.13,entsoe.eu,false,
2024-01-01 20:00:00,Hungary,Hungary,HU,143.65,172.62,80.96,26.8,entsoe.eu,false,
2024-01-01 21:00:00,Hungary,Hungary,HU,141.66,171.51,80.69,25.13,entsoe.eu,false,
2024-01-01 22:00:00,Hungary,Hungary,HU,140.23,171.11,80.4,24.12,entsoe.eu,false,
2024-01-01 23:00:00,Hungary,Hungary,HU,142.47,172.95,80.49,21.25,entsoe.eu,false,
2024-01-02 00:00:00,Hungary,Hungary,HU,145.89,177.12,79.71,19.38,entsoe.eu,false,
2024-01-02 01:00:00,Hungary,Hungary,HU,151.27,184.14,78.75,17.38,entsoe.eu,false,
2024-01-02 02:00:00,Hungary,Hungary,HU,153.98,187.74,78.36,16.14,entsoe.eu,false,
2024-01-02 03:00:00,Hungary,Hungary,HU,161.23,195.57,78.02,18.29,entsoe.eu,false,
2024-01-02 04:00:00,Hungary,Hungary,HU,166.8,201.9,77.49,19.18,entsoe.eu,false,
2024-01-02 05:00:00,Hungary,Hungary,HU,164.73,199.51,77.54,20.54,entsoe.eu,false,
2024-01-02 06:00:00,Hungary,Hungary,HU,165.63,198.1,78.43,24.54,entsoe.eu,false,
2024-01-02 07:00:00,Hungary,Hungary,HU,154.17,184.48,80.13,30.58,entsoe.eu,false,
2024-01-02 08:00:00,Hungary,Hungary,HU,137.64,168.01,82.3,37.18,entsoe.eu,false,
2024-01-02 09:00:00,Hungary,Hungary,HU,112.8,143.53,85.35,41.93,entsoe.eu,false,
