Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Italy,Italy,IT,231.9,303.44,51.01,43.15,,false,
2024-01-01 01:00:00,Italy,Italy,IT,226.96,296.72,52.65,45.06,,false,
2024-01-01 02:00:00,Italy,Italy,IT,226.31,295.9,52.92,45.13,,false,
2024-01-01 03:00:00,Italy,Italy,IT,224.1,293.54,53.35,45.48,,false,
2024-01-01 04:00:00,Italy,Italy,IT,222.93,291.47,53.81,46.12,,false,
2024-01-01 05:00:00,Italy,Italy,IT,225.28,294.09,53.23,45.65,,false,
2024-01-01 06:00:00,Italy,Italy,IT,226.36,294.72,53.07,46.33,,false,
2024-01-01 07:00:00,Italy,Italy,IT,210.56,275.78,56.51,49.98,,false,
2024-01-01 08:00:00,Italy,Italy,IT,200.49,264.35,58.23,53.05,,false,
2024-01-01 09:00:00,Italy,Italy,IT,182.37,243.44,61.82,56.34,,false,
2024-01-01 10:00:00,Italy,Italy,IT,183.54,244.94,61.55,56.05,,false,
2024-01-01 11:00:00,Italy,Italy,IT,194.09,257.08,59.25,53.83,,false,
2024-01-01 12:00:00,Italy,Italy,IT,207.69,273.75,56.02,50.09,,false,
2024-01-01 13:00:00,Italy,Italy,IT,215.85,283.51,54.1,46.25,,false,
2024-01-01 14:00:00,Italy,Italy,IT,239.61,311.03,48.97,40.58,,false,
2024-01-01 15:00:00,Italy,Italy,IT,260.36,334.14,44.8,36.91,,false,
2024-01-01 16:00:00,Italy,Italy,IT,258.71,325.53,47.16,40.38,,false,
2024-01-01 17:00:00,Italy,Italy,IT,258.72,322.56,47.91,41.81,,false,
2024-01-01 18:00:00,Italy,Italy,IT,258.98,322.58,47.91,41.56,,false,
2024-01-01 19:00:00,Italy,Italy,IT,261.12,327.58,46.81,40.3,,false,
2024-01-01 20:00:00,Italy,Italy,IT,264.42,334.46,45.38,38.6,,false,
2024-01-01 21:00:00,Italy,Italy,IT,268.04,345.68,42.56,35.53,,false,
2024-01-01 22:00:00,Italy,Italy,IT,264.29,341.67,43.73,36.6,,false,
2024-01-01 23:00:00,Italy,Italy,IT,243.34,315.25,49.36,40.27,,false,
2024-01-02 00:00:00,Italy,Italy,IT,231.28,300.19,52.32,42.34,,false,
2024-01-02 01:00:00,Italy,Italy,IT,235.23,304.7,51.91,41.34,,false,
2024-01-02 02:00:00,Italy,Italy,IT,245.77,317.96,49.4,38.87,,false,
2024-01-02 03:00:00,Italy,Italy,IT,246.13,318.85,49.04,38.19,,false,
2024-01-02 04:00:00,Italy,Italy,IT,261.24,334.18,46.43,37.26,,false,
2024-01-02 05:00:00,Italy,Italy,IT,280.35,359.1,40.9,32.79,,false,
2024-01-02 06:00:00,Italy,Italy,IT,272.7,349.23,42.03,34.65,,false,
2024-01-02 07:00:00,Italy,Italy,IT,257.72,328.27,46.21,39.41,,false,
2024-01-02 08:00:00,Italy,Italy,IT,247.15,316.58,48.29,42.47,,false,
2024-01-02 09:00:00,Italy,Italy,IT,235.28,306.79,49.3,43.92,,false,
2024-01-02 10:00:00,Italy,Italy,IT,230.17,299.97,50.83,45.2,,false,
2024-01-02 11:00:00,Italy,Italy,IT,223.28,291.13,52.67,46.86,,false,
2024-01-02 12:00:00,Italy,Italy,IT,222.53,290.49,52.6,46.42,,false,
2024-01-02 13:00:00,Italy,Italy,IT,232.35,303.26,49.9,43.96,,false,
2024-01-02 14:00:00,Italy,Italy,IT,246.66,318.15,47.27,41.22,,false,
2024-01-02 15:00:00,Italy,Italy,IT,255.97,325.95,46.07,39.85,,false,
2024-01-02 16:00:00,Italy,Italy,IT,249.72,316.46,47.78,41.86,,false,
2024-01-02 17:00:00,Italy,Italy,IT,248.01,315.09,47.98,42.06,,false,
2024-01-02 18:00:00,Italy,Italy,IT,246.49,314.26,48.01,41.85,,false,
2024-01-02 19:00:00,Italy,Italy,IT,244.67,316.25,47.28,40.95,,false,
2024-01-02 20:00:00,Italy,Italy,IT,243.93,315.57,47.76,41.1,,false,
2024-01-02 21:00:00,Italy,Italy,IT,226.91,295.87,51.89,44.26,,false,
2024-01-02 22:00:00,Italy,Italy,IT,210.01,274.72,56.23,47.78,,false,
2024-01-02 23:00:00,Italy,Italy,IT,191.26,251.37,61.01,51.34,,false,
2024-01-03 00:00:00,Italy,Italy,IT,176.78,234.66,64.09,53.57,,false,
2024-01-03 01:00:00,Italy,Italy,IT,176.79,234.11,64.6,55.28,,false,
2024-01-03 02:00:00,Italy,Italy,IT,170.94,226.42,66.24,57.19,,false,
2024-01-03 03:00:00,Italy,Italy,IT,169.98,225.41,66.15,57.01,,false,
2024-01-03 04:00:00,Italy,Italy,IT,171.95,228.53,64.91,55.16,,false,
2024-01-03 05:00:00,Italy,Italy,IT,189.24,247.4,61.37,51.83,,false,
2024-01-03 06:00:00,Italy,Italy,IT,206.73,268.38,57.21,49.19,,false,
2024-01-03 07:00:00,Italy,Italy,IT,207.47,268.06,56.89,50.62,,false,
2024-01-03 08:00:00,Italy,Italy,IT,201.69,262.74,57.75,51.18,,false,
2024-01-03 09:00:00,Italy,Italy,IT,189.9,250.28,59.84,53.09,,false,
2024-01-03 10:00:00,Italy,Italy,IT,174.43,232.6,62.83,55.94,,false,
2024-01-03 11:00:00,Italy,Italy,IT,157.09,211.82,66.75,59.73,,false,
2024-01-03 12:00:00,Italy,Italy,IT,148.81,202.15,68.45,60.44,,false,
2024-01-03 13:00:00,Italy,Italy,IT,167.28,224.23,64.18,55.7,,false,
2024-01-03 14:00:00,Italy,Italy,IT,197.02,257.95,58.14,49.41,,false,
2024-01-03 15:00:00,Italy,Italy,IT,210.97,271.94,55.93,47.53,,false,
2024-01-03 16:00:00,Italy,Italy,IT,213.73,271.69,56.36,49.36,,false,
2024-01-03 17:00:00,Italy,Italy,IT,216.77,276.57,55.36,48.11,,false,
2024-01-03 18:00:00,Italy,Italy,IT,221.89,282.54,54.46,47.47,,false,
2024-01-03 19:00:00,Italy,Italy,IT,226.54,291.37,52.52,44.59,,false,
2024-01-03 20:00:00,Italy,Italy,IT,221.74,286.62,53.44,45.19,,false,
2024-01-03 21:00:00,Italy,Italy,IT,202.79,264.67,57.91,49.01,,false,
2024-01-03 22:00:00,Italy,Italy,IT,176.97,232.89,64.46,53.95,,false,
2024-01-03 23:00:00,Italy,Italy,IT,168.93,223.13,66.62,56.07,,false,
2024-01-04 00:00:00,Italy,Italy,IT,167.77,221.98,66.98,57.21,,false,
2024-01-04 01:00:00,Italy,Italy,IT,172.2,226.99,66.39,57.15,,false,
2024-01-04 02:00:00,Italy,Italy,IT,173.51,228.53,66.15,56.72,,false,
2024-01-04 03:00:00,Italy,Italy,IT,175.55,230.92,65.68,56.36,,false,
2024-01-04 04:00:00,Italy,Italy,IT,179.39,235.45,64.66,54.62,,false,
2024-01-04 05:00:00,Italy,Italy,IT,194.58,252.26,61.27,51.98,,false,
2024-01-04 06:00:00,Italy,Italy,IT,200.72,257.43,59.93,51.46,,false,
2024-01-04 07:00:00,Italy,Italy,IT,188.44,242.51,62.35,53.9,,false,
2024-01-04 08:00:00,Italy,Italy,IT,176.51,227.78,65.04,57.69,,false,
2024-01-04 09:00:00,Italy,Italy,IT,158.72,212.89,67.2,60.09,,false,
2024-01-04 10:00:00,Italy,Italy,IT,149.03,201.95,69.4,62.64,,false,
2024-01-04 11:00:00,Italy,Italy,IT,147.69,199.95,69.9,63.52,,false,
2024-01-04 12:00:00,Italy,Italy,IT,159.54,213.66,67.34,61.83,,false,
2024-01-04 13:00:00,Italy,Italy,IT,175.47,232.05,64.04,57.54,,false,
2024-01-04 14:00:00,Italy,Italy,IT,205.59,267.5,57.27,48.96,,false,
2024-01-04 15:00:00,Italy,Italy,IT,227.43,292.23,52.27,43.83,,false,
2024-01-04 16:00:00,Italy,Italy,IT,225.84,288.04,53.03,44.66,,false,
2024-01-04 17:00:00,Italy,Italy,IT,227.82,288.94,53.17,46.0,,false,
2024-01-04 18:00:00,Italy,Italy,IT,232.9,294.63,52.28,45.43,,false,
2024-01-04 19:00:00,Italy,Italy,IT,241.58,307.89,49.69,41.88,,false,
2024-01-04 20:00:00,Italy,Italy,IT,247.54,317.92,47.97,39.39,,false,
2024-01-04 21:00:00,Italy,Italy,IT,241.52,314.26,48.39,38.59,,false,
2024-01-04 22:00:00,Italy,Italy,IT,234.64,306.32,50.04,39.45,,false,
2024-01-04 23:00:00,Italy,Italy,IT,211.27,276.46,56.44,43.12,,false,
2024-01-05 00:00:00,Italy,Italy,IT,212.48,277.61,56.9,44.28,,false,
2024-01-05 01:00:00,Italy,Italy,IT,205.89,271.41,57.72,43.61,,false,
2024-01-05 02:00:00,Italy,Italy,IT,211.62,278.83,56.33,42.5,,false,
2024-01-05 03:00:00,Italy,Italy,IT,207.59,274.12,56.98,42.57,,false,
2024-01-05 04:00:00,Italy,Italy,IT,203.1,268.06,57.89,43.37,,false,
2024-01-05 05:00:00,Italy,Italy,IT,221.55,285.96,55.03,43.28,,false,
2024-01-05 06:00:00,Italy,Italy,IT,223.37,286.98,54.04,44.19,,false,
2024-01-05 07:00:00,Italy,Italy,IT,219.75,279.25,55.45,46.96,,false,
2024-01-05 08:00:00,Italy,Italy,IT,211.27,265.99,58.15,50.4,,false,
2024-01-05 09:00:00,Italy,Italy,IT,206.0,264.47,57.94,49.88,,false,
2024-01-05 10:00:00,Italy,Italy,IT,197.72,258.7,58.17,50.27,,false,
2024-01-05 11:00:00,Italy,Italy,IT,198.36,258.56,58.14,49.56,,false,
2024-01-05 12:00:00,Italy,Italy,IT,201.59,265.06,56.6,47.36,,false,
2024-01-05 13:00:00,Italy,Italy,IT,207.82,269.17,56.38,46.96,,false,
