Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Lithuania,Lithuania,LT,294.72,358.33,62.99,62.07,entsoe.eu,false,
2024-01-01 01:00:00,Lithuania,Lithuania,LT,301.29,365.62,62.02,61.05,entsoe.eu,false,
2024-01-01 02:00:00,Lithuania,Lithuania,LT,270.24,328.36,67.9,67.62,entsoe.eu,false,
2024-01-01 03:00:00,Lithuania,Lithuania,LT,266.46,324.09,68.05,67.61,entsoe.eu,false,
2024-01-01 04:00:00,Lithuania,Lithuania,LT,270.72,329.57,67.0,66.36,entsoe.eu,false,
2024-01-01 05:00:00,Lithuania,Lithuania,LT,270.25,328.71,67.59,67.07,entsoe.eu,false,
2024-01-01 06:00:00,Lithuania,Lithuania,LT,269.5,327.3,68.4,68.17,entsoe.eu,false,
2024-01-01 07:00:00,Lithuania,Lithuania,LT,257.6,314.64,69.7,69.45,entsoe.eu,false,
2024-01-01 08:00:00,Lithuania,Lithuania,LT,246.79,301.93,71.19,70.89,entsoe.eu,false,
2024-01-01 09:00:00,Lithuania,Lithuania,LT,245.56,300.48,71.52,71.24,entsoe.eu,false,
2024-01-01 10:00:00,Lithuania,Lithuania,LT,240.62,295.02,72.27,71.44,entsoe.eu,false,
2024-01-01 11:00:00,Lithuania,Lithuania,LT,177.99,229.77,78.21,75.99,entsoe.eu,false,
2024-01-01 12:00:00,Lithuania,Lithuania,LT,224.73,273.93,74.91,71.7,entsoe.eu,false,
2024-01-01 13:00:00,Lithuania,Lithuania,LT,191.39,238.11,78.24,72.76,entsoe.eu,false,
2024-01-01 14:00:00,Lithuania,Lithuania,LT,134.16,178.17,83.66,77.05,entsoe.eu,false,
2024-01-01 15:00:00,Lithuania,Lithuania,LT,111.12,155.75,84.83,78.55,entsoe.eu,false,
