Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Luxembourg,Luxembourg,LU,67.88,109.36,91.38,90.51,entsoe.eu,false,
2024-01-01 01:00:00,Luxembourg,Luxembourg,LU,59.95,100.49,92.24,90.31,entsoe.eu,false,
2024-01-01 02:00:00,Luxembourg,Luxembourg,LU,64.32,105.44,91.83,91.35,entsoe.eu,false,
2024-01-01 03:00:00,Luxembourg,Luxembourg,LU,71.38,112.67,90.95,90.57,entsoe.eu,false,
2024-01-01 04:00:00,Luxembourg,Luxembourg,LU,77.57,119.49,90.13,89.83,entsoe.eu,false,
2024-01-01 05:00:00,Luxembourg,Luxembourg,LU,80.7,124.79,87.71,87.3,entsoe.eu,false,
2024-01-01 06:00:00,Luxembourg,Luxembourg,LU,82.31,126.24,87.32,87.07,entsoe.eu,false,
2024-01-01 07:00:00,Luxembourg,Luxembourg,LU,78.82,121.58,87.68,87.38,entsoe.eu,false,
2024-01-01 08:00:00,Luxembourg,Luxembourg,LU,82.15,125.52,87.6,87.32,entsoe.eu,false,
2024-01-01 09:00:00,Luxembourg,Luxembourg,LU,77.92,121.89,88.23,88.09,entsoe.eu,false,
2024-01-01 10:00:00,Luxembourg,Luxembourg,LU,77.65,122.11,88.46,88.28,entsoe.eu,false,
2024-01-01 11:00:00,Luxembourg,Luxembourg,LU,79.93,125.18,88.14,87.72,entsoe.eu,false,
2024-01-01 12:00:00,Luxembourg,Luxembourg,LU,73.79,117.96,88.07,83.3,entsoe.eu,false,
2024-01-01 13:00:00,Luxembourg,Luxembourg,LU,76.62,120.23,87.83,80.82,entsoe.eu,false,
2024-01-01 14:00:00,Luxembourg,Luxembourg,LU,95.55,139.83,86.29,81.24,entsoe.eu,false,
2024-01-01 15:00:00,Luxembourg,Luxembourg,LU,96.62,139.6,85.95,76.47,entsoe.eu,false,
2024-01-01 16:00:00,Luxembourg,Luxembourg,LU,108.96,149.44,85.22,76.98,entsoe.eu,false,
2024-01-01 17:00:00,Luxembourg,Luxembourg,LU,118.54,157.4,84.88,77.34,entsoe.eu,false,
2024-01-01 18:00:00,Luxembourg,Luxembourg,LU,96.81,135.07,86.43,72.04,entsoe.eu,false,
2024-01-01 19:00:00,Luxembourg,Luxembourg,LU,88.49,129.85,86.05,71.1,entsoe.eu,false,
2024-01-01 20:00:00,Luxembourg,Luxembourg,LU,79.45,120.13,87.34,75.12,entsoe.eu,false,
2024-01-01 21:00:00,Luxembourg,Luxembourg,LU,49.39,85.01,91.8,71.62,entsoe.eu,false,
2024-01-01 22:00:00,Luxembourg,Luxembourg,LU,29.95,62.64,93.95,70.24,entsoe.eu,false,
2024-01-01 23:00:00,Luxembourg,Luxembourg,LU,29.11,61.36,93.92,70.69,entsoe.eu,false,
2024-01-02 00:00:00,Luxembourg,Luxembourg,LU,28.16,59.33,94.06,68.34,entsoe.eu,false,
2024-01-02 01:00:00,Luxembourg,Luxembourg,LU,26.84,58.97,94.35,72.63,entsoe.eu,false,
2024-01-02 02:00:00,Luxembourg,Luxembourg,LU,27.63,59.04,94.27,70.92,entsoe.eu,false,
2024-01-02 03:00:00,Luxembourg,Luxembourg,LU,28.55,59.36,94.14,70.33,entsoe.eu,false,
2024-01-02 04:00:00,Luxembourg,Luxembourg,LU,30.31,58.67,94.07,73.15,entsoe.eu,false,
2024-01-02 05:00:00,Luxembourg,Luxembourg,LU,63.6,101.56,88.98,76.37,entsoe.eu,false,
2024-01-02 06:00:00,Luxembourg,Luxembourg,LU,65.31,103.3,88.4,74.14,entsoe.eu,false,
2024-01-02 07:00:00,Luxembourg,Luxembourg,LU,79.2,117.67,87.15,75.62,entsoe.eu,false,
2024-01-02 08:00:00,Luxembourg,Luxembourg,LU,86.53,123.87,86.6,75.46,entsoe.eu,false,
2024-01-02 09:00:00,Luxembourg,Luxembourg,LU,86.84,126.06,86.25,74.55,entsoe.eu,false,
2024-01-02 10:00:00,Luxembourg,Luxembourg,LU,99.33,140.35,85.11,75.7,entsoe.eu,false,
2024-01-02 11:00:00,Luxembourg,Luxembourg,LU,116.48,156.23,83.82,78.12,entsoe.eu,false,
2024-01-02 12:00:00,Luxembourg,Luxembourg,LU,92.72,130.45,85.82,73.01,entsoe.eu,false,
2024-01-02 13:00:00,Luxembourg,Luxembourg,LU,101.17,137.29,85.36,74.03,entsoe.eu,false,
2024-01-02 14:00:00,Luxembourg,Luxembourg,LU,97.35,132.36,85.9,74.01,entsoe.eu,false,
2024-01-02 15:00:00,Luxembourg,Luxembourg,LU,121.66,157.93,83.9,78.59,entsoe.eu,false,
2024-01-02 16:00:00,Luxembourg,Luxembourg,LU,103.71,140.33,85.16,75.35,entsoe.eu,false,
2024-01-02 17:00:00,Luxembourg,Luxembourg,LU,108.65,147.09,84.64,78.49,entsoe.eu,false,
2024-01-02 18:00:00,Luxembourg,Luxembourg,LU,89.18,127.13,86.36,76.75,entsoe.eu,false,
2024-01-02 19:00:00,Luxembourg,Luxembourg,LU,76.6,114.63,87.64,76.72,entsoe.eu,false,
2024-01-02 20:00:00,Luxembourg,Luxembourg,LU,67.05,104.81,88.56,77.12,entsoe.eu,false,
2024-01-02 21:00:00,Luxembourg,Luxembourg,LU,73.31,111.94,89.98,87.72,entsoe.eu,false,
2024-01-02 22:00:00,Luxembourg,Luxembourg,LU,71.44,109.76,90.66,89.5,entsoe.eu,false,
2024-01-02 23:00:00,Luxembourg,Luxembourg,LU,64.11,103.14,90.9,82.69,entsoe.eu,false,
2024-01-03 00:00:00,Luxembourg,Luxembourg,LU,53.37,90.55,91.64,78.18,entsoe.eu,false,
