Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Latvia,Latvia,LV,93.83,132.95,85.83,85.59,entsoe.eu,false,
2024-01-01 01:00:00,Latvia,Latvia,LV,89.49,127.46,86.26,86.02,entsoe.eu,false,
2024-01-01 02:00:00,Latvia,Latvia,LV,108.18,147.03,84.96,84.87,entsoe.eu,false,
2024-01-01 03:00:00,Latvia,Latvia,LV,93.22,129.89,86.49,86.36,entsoe.eu,false,
2024-01-01 04:00:00,Latvia,Latvia,LV,94.34,131.35,86.2,86.01,entsoe.eu,false,
2024-01-01 05:00:00,Latvia,Latvia,LV,94.81,132.08,86.28,86.12,entsoe.eu,false,
2024-01-01 06:00:00,Latvia,Latvia,LV,109.16,148.59,85.02,84.95,entsoe.eu,false,
2024-01-01 07:00:00,Latvia,Latvia,LV,101.88,140.98,85.77,85.69,entsoe.eu,false,
2024-01-01 08:00:00,Latvia,Latvia,LV,103.79,143.41,85.72,85.62,entsoe.eu,false,
2024-01-01 09:00:00,Latvia,Latvia,LV,98.85,137.89,86.35,86.25,entsoe.eu,false,
2024-01-01 10:00:00,Latvia,Latvia,LV,86.61,123.52,87.86,87.62,entsoe.eu,false,
2024-01-01 11:00:00,Latvia,Latvia,LV,55.72,90.09,90.91,90.41,entsoe.eu,false,
2024-01-01 12:00:00,Latvia,Latvia,LV,80.25,115.45,88.7,87.76,entsoe.eu,false,
2024-01-01 13:00:00,Latvia,Latvia,LV,73.39,108.54,89.3,87.63,entsoe.eu,false,
2024-01-01 14:00:00,Latvia,Latvia,LV,51.24,84.94,90.61,89.14,entsoe.eu,false,
2024-01-01 15:00:00,Latvia,Latvia,LV,43.26,77.13,91.09,89.92,entsoe.eu,false,
2024-01-01 16:00:00,Latvia,Latvia,LV,37.0,70.45,91.57,90.43,entsoe.eu,false,
