Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Moldova,Moldova,MD,329.68,429.85,21.13,15.04,moldelectrica.md,false,
2024-01-01 01:00:00,Moldova,Moldova,MD,325.73,420.3,25.88,17.8,moldelectrica.md,false,
2024-01-01 02:00:00,Moldova,Moldova,MD,323.33,414.47,29.06,19.62,moldelectrica.md,false,
2024-01-01 03:00:00,Moldova,Moldova,MD,322.74,409.63,31.32,20.93,moldelectrica.md,false,
2024-01-01 04:00:00,Moldova,Moldova,MD,325.91,414.39,29.66,19.75,moldelectrica.md,false,
2024-01-01 05:00:00,Moldova,Moldova,MD,328.94,423.18,25.25,17.23,moldelectrica.md,false,
2024-01-01 06:00:00,Moldova,Moldova,MD,330.62,428.33,23.0,15.93,moldelectrica.md,false,
2024-01-01 07:00:00,Moldova,Moldova,MD,338.65,446.22,14.67,10.96,moldelectrica.md,false,
2024-01-01 08:00:00,Moldova,Moldova,MD,341.21,439.14,20.95,13.59,moldelectrica.md,false,
2024-01-01 09:00:00,Moldova,Moldova,MD,339.28,436.51,21.04,13.09,moldelectrica.md,false,
2024-01-01 10:00:00,Moldova,Moldova,MD,343.6,445.92,17.26,10.99,moldelectrica.md,false,
2024-01-01 11:00:00,Moldova,Moldova,MD,342.02,439.53,20.68,12.64,moldelectrica.md,false,
2024-01-01 12:00:00,Moldova,Moldova,MD,340.87,436.2,22.15,13.29,moldelectrica.md,false,
2024-01-01 13:00:00,Moldova,Moldova,MD,335.98,431.55,21.86,13.81,moldelectrica.md,false,
2024-01-01 14:00:00,Moldova,Moldova,MD,320.21,410.88,26.25,18.32,moldelectrica.md,false,
2024-01-01 15:00:00,Moldova,Moldova,MD,317.34,410.38,24.85,18.14,moldelectrica.md,false,
2024-01-01 16:00:00,Moldova,Moldova,MD,307.46,397.79,27.84,20.79,moldelectrica.md,false,
2024-01-01 17:00:00,Moldova,Moldova,MD,306.03,395.53,28.88,21.71,moldelectrica.md,false,
2024-01-01 18:00:00,Moldova,Moldova,MD,296.71,382.79,32.21,24.62,moldelectrica.md,false,
2024-01-01 19:00:00,Moldova,Moldova,MD,293.25,377.86,33.68,25.7,moldelectrica.md,false,
2024-01-01 20:00:00,Moldova,Moldova,MD,294.53,379.69,33.57,25.63,moldelectrica.md,false,
2024-01-01 21:00:00,Moldova,Moldova,MD,292.91,377.25,35.03,26.29,moldelectrica.md,false,
2024-01-01 22:00:00,Moldova,Moldova,MD,296.74,382.59,33.95,25.29,moldelectrica.md,false,
2024-01-01 23:00:00,Moldova,Moldova,MD,285.89,366.0,38.55,28.98,moldelectrica.md,false,
2024-01-02 00:00:00,Moldova,Moldova,MD,287.11,368.83,37.98,28.38,moldelectrica.md,false,
2024-01-02 01:00:00,Moldova,Moldova,MD,297.55,379.06,36.86,26.61,moldelectrica.md,false,
2024-01-02 02:00:00,Moldova,Moldova,MD,317.49,404.46,31.5,21.88,moldelectrica.md,false,
2024-01-02 03:00:00,Moldova,Moldova,MD,334.6,434.8,20.28,14.13,moldelectrica.md,false,
2024-01-02 04:00:00,Moldova,Moldova,MD,339.76,447.78,14.12,10.58,moldelectrica.md,false,
2024-01-02 05:00:00,Moldova,Moldova,MD,338.85,446.77,14.03,10.52,moldelectrica.md,false,
2024-01-02 06:00:00,Moldova,Moldova,MD,327.84,423.27,20.4,11.44,moldelectrica.md,false,
2024-01-02 07:00:00,Moldova,Moldova,MD,345.64,458.42,10.01,8.13,moldelectrica.md,false,
2024-01-02 08:00:00,Moldova,Moldova,MD,344.64,454.85,10.39,7.26,moldelectrica.md,false,
2024-01-02 09:00:00,Moldova,Moldova,MD,343.43,452.58,12.16,9.67,moldelectrica.md,false,
2024-01-02 10:00:00,Moldova,Moldova,MD,321.45,411.24,27.69,19.98,moldelectrica.md,false,
2024-01-02 11:00:00,Moldova,Moldova,MD,320.94,410.53,27.73,19.43,moldelectrica.md,false,
2024-01-02 12:00:00,Moldova,Moldova,MD,320.46,408.22,29.01,20.18,moldelectrica.md,false,
2024-01-02 13:00:00,Moldova,Moldova,MD,334.82,432.1,18.98,11.54,moldelectrica.md,false,
2024-01-02 14:00:00,Moldova,Moldova,MD,332.22,426.78,17.6,7.35,moldelectrica.md,false,
2024-01-02 15:00:00,Moldova,Moldova,MD,340.46,443.26,12.12,5.1,moldelectrica.md,false,
2024-01-02 16:00:00,Moldova,Moldova,MD,334.81,431.54,15.27,5.49,moldelectrica.md,false,
2024-01-02 17:00:00,Moldova,Moldova,MD,346.36,455.15,9.03,4.86,moldelectrica.md,false,
2024-01-02 18:00:00,Moldova,Moldova,MD,345.99,455.07,10.67,7.73,moldelectrica.md,false,
2024-01-02 19:00:00,Moldova,Moldova,MD,344.03,451.89,11.28,7.65,moldelectrica.md,false,
2024-01-02 20:00:00,Moldova,Moldova,MD,353.32,471.21,4.51,4.51,moldelectrica.md,false,
2024-01-02 21:00:00,Moldova,Moldova,MD,349.88,464.8,7.05,6.14,moldelectrica.md,false,
2024-01-02 22:00:00,Moldova,Moldova,MD,325.69,416.66,19.15,6.97,moldelectrica.md,false,
2024-01-02 23:00:00,Moldova,Moldova,MD,341.67,451.05,9.73,6.21,moldelectrica.md,false,
2024-01-03 00:00:00,Moldova,Moldova,MD,343.17,452.39,11.97,9.34,moldelectrica.md,false,
2024-01-03 01:00:00,Moldova,Moldova,MD,342.6,449.61,13.36,10.08,moldelectrica.md,false,
2024-01-03 02:00:00,Moldova,Moldova,MD,338.25,437.4,19.3,13.43,moldelectrica.md,false,
2024-01-03 03:00:00,Moldova,Moldova,MD,327.83,418.48,26.08,17.7,moldelectrica.md,false,
2024-01-03 04:00:00,Moldova,Moldova,MD,333.7,436.53,17.25,12.53,moldelectrica.md,false,
2024-01-03 05:00:00,Moldova,Moldova,MD,316.51,408.5,26.17,18.87,moldelectrica.md,false,
2024-01-03 06:00:00,Moldova,Moldova,MD,323.27,420.35,22.63,16.97,moldelectrica.md,false,
2024-01-03 07:00:00,Moldova,Moldova,MD,329.35,430.56,18.32,12.75,moldelectrica.md,false,
2024-01-03 08:00:00,Moldova,Moldova,MD,334.51,438.84,14.84,9.52,moldelectrica.md,false,
2024-01-03 09:00:00,Moldova,Moldova,MD,331.76,436.16,16.73,13.32,moldelectrica.md,false,
2024-01-03 10:00:00,Moldova,Moldova,MD,324.92,423.31,21.34,16.63,moldelectrica.md,false,
2024-01-03 11:00:00,Moldova,Moldova,MD,321.27,416.34,23.82,18.35,moldelectrica.md,false,
2024-01-03 12:00:00,Moldova,Moldova,MD,305.47,393.14,30.0,23.48,moldelectrica.md,false,
2024-01-03 13:00:00,Moldova,Moldova,MD,296.44,378.85,34.27,26.97,moldelectrica.md,false,
2024-01-03 14:00:00,Moldova,Moldova,MD,296.97,379.64,34.24,27.12,moldelectrica.md,false,
2024-01-03 15:00:00,Moldova,Moldova,MD,309.66,400.7,27.33,21.47,moldelectrica.md,false,
2024-01-03 16:00:00,Moldova,Moldova,MD,303.47,390.98,30.14,23.82,moldelectrica.md,false,
2024-01-03 17:00:00,Moldova,Moldova,MD,299.04,384.13,32.23,25.52,moldelectrica.md,false,
2024-01-03 18:00:00,Moldova,Moldova,MD,299.08,383.76,32.68,25.73,moldelectrica.md,false,
2024-01-03 19:00:00,Moldova,Moldova,MD,298.76,381.25,34.02,26.39,moldelectrica.md,false,
2024-01-03 20:00:00,Moldova,Moldova,MD,294.48,373.25,37.06,28.59,moldelectrica.md,false,
2024-01-03 21:00:00,Moldova,Moldova,MD,294.56,374.44,36.65,28.42,moldelectrica.md,false,
2024-01-03 22:00:00,Moldova,Moldova,MD,307.5,391.35,33.1,24.58,moldelectrica.md,false,
2024-01-03 23:00:00,Moldova,Moldova,MD,310.4,394.08,33.82,25.12,moldelectrica.md,false,
2024-01-04 00:00:00,Moldova,Moldova,MD,307.71,390.65,34.8,25.89,moldelectrica.md,false,
2024-01-04 01:00:00,Moldova,Moldova,MD,304.94,388.77,34.02,25.41,moldelectrica.md,false,
2024-01-04 02:00:00,Moldova,Moldova,MD,304.59,387.05,35.0,25.93,moldelectrica.md,false,
2024-01-04 03:00:00,Moldova,Moldova,MD,299.04,378.17,37.65,27.94,moldelectrica.md,false,
2024-01-04 04:00:00,Moldova,Moldova,MD,302.03,385.82,33.77,24.86,moldelectrica.md,false,
2024-01-04 05:00:00,Moldova,Moldova,MD,305.1,392.61,30.93,23.17,moldelectrica.md,false,
2024-01-04 06:00:00,Moldova,Moldova,MD,311.39,401.62,28.49,21.57,moldelectrica.md,false,
2024-01-04 07:00:00,Moldova,Moldova,MD,308.75,394.67,31.59,24.38,moldelectrica.md,false,
2024-01-04 08:00:00,Moldova,Moldova,MD,295.21,373.75,37.63,29.36,moldelectrica.md,false,
2024-01-04 09:00:00,Moldova,Moldova,MD,299.84,377.31,38.2,29.34,moldelectrica.md,false,
2024-01-04 10:00:00,Moldova,Moldova,MD,304.26,381.22,38.13,28.72,moldelectrica.md,false,
2024-01-04 11:00:00,Moldova,Moldova,MD,310.07,389.01,36.48,26.88,moldelectrica.md,false,
2024-01-04 12:00:00,Moldova,Moldova,MD,319.31,401.92,33.09,24.26,moldelectrica.md,false,
2024-01-04 13:00:00,Moldova,Moldova,MD,325.22,416.51,26.26,19.52,moldelectrica.md,false,
2024-01-04 14:00:00,Moldova,Moldova,MD,332.13,430.84,20.52,15.47,moldelectrica.md,false,
2024-01-04 15:00:00,Moldova,Moldova,MD,327.12,421.19,23.86,18.17,moldelectrica.md,false,
2024-01-04 16:00:00,Moldova,Moldova,MD,319.04,411.03,25.96,20.3,moldelectrica.md,false,
2024-01-04 17:00:00,Moldova,Moldova,MD,304.02,387.97,32.99,25.92,moldelectrica.md,false,
2024-01-04 18:00:00,Moldova,Moldova,MD,296.13,378.02,34.95,27.59,moldelectrica.md,false,
2024-01-04 19:00:00,Moldova,Moldova,MD,292.35,374.25,35.11,27.41,moldelectrica.md,false,
