Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Montenegro,Montenegro,ME,483.24,528.06,35.64,32.2,entsoe.eu,false,
2024-01-01 01:00:00,Montenegro,Montenegro,ME,508.04,554.28,32.4,29.46,entsoe.eu,false,
2024-01-01 02:00:00,Montenegro,Montenegro,ME,576.28,626.61,23.5,21.31,entsoe.eu,false,
2024-01-01 03:00:00,Montenegro,Montenegro,ME,599.84,650.75,20.68,19.57,entsoe.eu,false,
2024-01-01 04:00:00,Montenegro,Montenegro,ME,600.76,651.09,20.75,20.25,entsoe.eu,false,
2024-01-01 05:00:00,Montenegro,Montenegro,ME,565.8,614.95,25.01,23.3,entsoe.eu,false,
2024-01-01 06:00:00,Montenegro,Montenegro,ME,517.83,564.25,31.2,29.21,entsoe.eu,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 07:00:00,Montenegro,Montenegro,ME,485.19,529.29,35.57,33.51,entsoe.eu,false,
2024-01-01 08:00:00,Montenegro,Montenegro,ME,457.44,498.03,39.76,39.63,entsoe.eu,false,
2024-01-01 09:00:00,Montenegro,Montenegro,ME,417.88,455.79,45.01,44.99,entsoe.eu,false,
2024-01-01 10:00:00,Montenegro,Montenegro,ME,411.94,449.57,45.76,45.68,entsoe.eu,false,
2024-01-01 11:00:00,Montenegro,Montenegro,ME,412.41,450.08,45.69,45.61,entsoe.eu,false,
2024-01-01 12:00:00,Montenegro,Montenegro,ME,410.77,448.93,45.7,45.19,entsoe.eu,false,
2024-01-01 13:00:00,Montenegro,Montenegro,ME,414.6,454.84,44.56,42.46,entsoe.eu,false,
2024-01-01 14:00:00,Montenegro,Montenegro,ME,403.72,442.71,46.04,43.54,entsoe.eu,false,
2024-01-01 15:00:00,Montenegro,Montenegro,ME,371.9,408.2,50.36,47.59,entsoe.eu,false,
2024-01-01 16:00:00,Montenegro,Montenegro,ME,369.79,405.06,50.86,48.45,entsoe.eu,false,
2024-01-01 17:00:00,Montenegro,Montenegro,ME,367.42,402.37,51.25,49.01,entsoe.eu,false,
2024-01-01 18:00:00,Montenegro,Montenegro,ME,371.16,406.52,50.74,48.7,entsoe.eu,false,
2024-01-01 19:00:00,Montenegro,Montenegro,ME,386.34,423.96,48.51,46.43,entsoe.eu,false,
2024-01-01 20:00:00,Montenegro,Montenegro,ME,415.71,455.18,44.69,42.88,entsoe.eu,false,
2024-01-01 21:00:00,Montenegro,Montenegro,ME,424.34,464.8,43.42,40.98,entsoe.eu,false,
2024-01-01 22:00:00,Montenegro,Montenegro,ME,433.92,475.2,42.08,39.76,entsoe.eu,false,
2024-01-01 23:00:00,Montenegro,Montenegro,ME,495.93,540.2,34.32,33.03,entsoe.eu,false,
2024-01-02 00:00:00,Montenegro,Montenegro,ME,553.45,601.37,26.76,25.56,entsoe.eu,false,
2024-01-02 01:00:00,Montenegro,Montenegro,ME,600.16,650.63,20.76,20.03,entsoe.eu,false,
2024-01-02 02:00:00,Montenegro,Montenegro,ME,623.06,675.14,17.69,16.89,entsoe.eu,false,
2024-01-02 03:00:00,Montenegro,Montenegro,ME,576.6,627.43,23.26,19.76,entsoe.eu,false,
2024-01-02 04:00:00,Montenegro,Montenegro,ME,543.97,593.27,27.4,23.0,entsoe.eu,false,
2024-01-02 05:00:00,Montenegro,Montenegro,ME,530.3,578.13,29.6,27.28,entsoe.eu,false,
2024-01-02 06:00:00,Montenegro,Montenegro,ME,446.96,488.77,40.83,39.06,entsoe.eu,false,
2024-01-02 07:00:00,Montenegro,Montenegro,ME,406.45,445.1,46.45,45.35,entsoe.eu,false,
2024-01-02 08:00:00,Montenegro,Montenegro,ME,396.37,434.1,47.89,47.28,entsoe.eu,false,
2024-01-02 09:00:00,Montenegro,Montenegro,ME,393.63,431.2,48.26,47.79,entsoe.eu,false,
2024-01-02 10:00:00,Montenegro,Montenegro,ME,404.97,442.6,47.09,47.04,entsoe.eu,false,
2024-01-02 11:00:00,Montenegro,Montenegro,ME,411.34,449.5,46.02,45.98,entsoe.eu,false,
2024-01-02 12:00:00,Montenegro,Montenegro,ME,415.13,453.57,45.44,45.37,entsoe.eu,false,
2024-01-02 13:00:00,Montenegro,Montenegro,ME,401.84,439.54,47.03,46.42,entsoe.eu,false,
2024-01-02 14:00:00,Montenegro,Montenegro,ME,388.33,424.72,48.88,47.78,entsoe.eu,false,
2024-01-02 15:00:00,Montenegro,Montenegro,ME,372.45,407.55,51.2,49.89,entsoe.eu,false,
2024-01-02 16:00:00,Montenegro,Montenegro,ME,369.97,404.92,51.64,50.49,entsoe.eu,false,
2024-01-02 17:00:00,Montenegro,Montenegro,ME,369.92,405.02,51.53,50.56,entsoe.eu,false,
