Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,North Macedonia,North Macedonia,MK,491.19,548.54,29.0,16.1,entsoe.eu,false,
2024-01-01 01:00:00,North Macedonia,North Macedonia,MK,509.64,568.72,26.38,12.72,entsoe.eu,false,
2024-01-01 02:00:00,North Macedonia,North Macedonia,MK,522.18,582.27,24.49,11.46,entsoe.eu,false,
2024-01-01 03:00:00,North Macedonia,North Macedonia,MK,529.58,590.15,23.49,10.53,entsoe.eu,false,
2024-01-01 04:00:00,North Macedonia,North Macedonia,MK,539.76,601.04,21.84,10.25,entsoe.eu,false,
2024-01-01 05:00:00,North Macedonia,North Macedonia,MK,561.75,624.43,19.05,7.19,entsoe.eu,false,
2024-01-01 06:00:00,North Macedonia,North Macedonia,MK,552.43,614.41,20.09,9.55,entsoe.eu,false,
2024-01-01 07:00:00,North Macedonia,North Macedonia,MK,552.64,615.11,20.01,8.71,entsoe.eu,false,
2024-01-01 08:00:00,North Macedonia,North Macedonia,MK,492.38,551.2,28.08,16.47,entsoe.eu,false,
2024-01-01 09:00:00,North Macedonia,North Macedonia,MK,476.56,534.76,29.81,18.87,entsoe.eu,false,
2024-01-01 10:00:00,North Macedonia,North Macedonia,MK,475.18,534.19,29.56,18.02,entsoe.eu,false,
2024-01-01 11:00:00,North Macedonia,North Macedonia,MK,473.15,532.64,29.52,17.55,entsoe.eu,false,
2024-01-01 12:00:00,North Macedonia,North Macedonia,MK,498.8,559.83,26.22,13.91,entsoe.eu,false,
2024-01-01 13:00:00,North Macedonia,North Macedonia,MK,515.26,575.55,24.93,13.41,entsoe.eu,false,
2024-01-01 14:00:00,North Macedonia,North Macedonia,MK,482.82,537.82,30.75,20.57,entsoe.eu,false,
2024-01-01 15:00:00,North Macedonia,North Macedonia,MK,469.45,522.23,33.51,23.54,entsoe.eu,false,
2024-01-01 16:00:00,North Macedonia,North Macedonia,MK,458.16,509.8,35.21,25.39,entsoe.eu,false,
2024-01-01 17:00:00,North Macedonia,North Macedonia,MK,457.31,509.09,35.24,24.78,entsoe.eu,false,
2024-01-01 18:00:00,North Macedonia,North Macedonia,MK,461.14,513.45,34.72,23.85,entsoe.eu,false,
2024-01-01 19:00:00,North Macedonia,North Macedonia,MK,465.87,518.89,34.03,22.2,entsoe.eu,false,
2024-01-01 20:00:00,North Macedonia,North Macedonia,MK,462.7,515.86,34.35,21.81,entsoe.eu,false,
2024-01-01 21:00:00,North Macedonia,North Macedonia,MK,447.51,501.24,35.42,22.67,entsoe.eu,false,
2024-01-01 22:00:00,North Macedonia,North Macedonia,MK,453.76,510.29,33.14,19.22,entsoe.eu,false,
2024-01-01 23:00:00,North Macedonia,North Macedonia,MK,450.53,506.98,33.52,19.17,entsoe.eu,false,
2024-01-02 00:00:00,North Macedonia,North Macedonia,MK,476.57,533.51,30.92,16.07,entsoe.eu,false,
2024-01-02 01:00:00,North Macedonia,North Macedonia,MK,499.0,555.94,28.89,13.57,entsoe.eu,false,
2024-01-02 02:00:00,North Macedonia,North Macedonia,MK,523.31,582.04,25.34,11.19,entsoe.eu,false,
2024-01-02 03:00:00,North Macedonia,North Macedonia,MK,541.41,600.84,22.98,10.31,entsoe.eu,false,
2024-01-02 04:00:00,North Macedonia,North Macedonia,MK,535.21,593.86,23.77,12.7,entsoe.eu,false,
2024-01-02 05:00:00,North Macedonia,North Macedonia,MK,532.08,590.15,23.99,16.38,entsoe.eu,false,
2024-01-02 06:00:00,North Macedonia,North Macedonia,MK,539.59,598.05,22.57,17.16,entsoe.eu,false,
2024-01-02 07:00:00,North Macedonia,North Macedonia,MK,526.78,584.17,24.51,19.54,entsoe.eu,false,
2024-01-02 08:00:00,North Macedonia,North Macedonia,MK,514.43,573.58,24.26,20.63,entsoe.eu,false,
2024-01-02 09:00:00,North Macedonia,North Macedonia,MK,504.79,564.22,25.39,20.18,entsoe.eu,false,
2024-01-02 10:00:00,North Macedonia,North Macedonia,MK,482.11,541.11,28.17,21.38,entsoe.eu,false,
2024-01-02 11:00:00,North Macedonia,North Macedonia,MK,487.61,547.35,27.06,20.96,entsoe.eu,false,
2024-01-02 12:00:00,North Macedonia,North Macedonia,MK,485.14,543.99,27.93,20.8,entsoe.eu,false,
2024-01-02 13:00:00,North Macedonia,North Macedonia,MK,492.29,548.59,28.38,22.73,entsoe.eu,false,
2024-01-02 14:00:00,North Macedonia,North Macedonia,MK,513.33,569.13,26.62,21.86,entsoe.eu,false,
2024-01-02 15:00:00,North Macedonia,North Macedonia,MK,491.72,546.21,29.46,24.6,entsoe.eu,false,
2024-01-02 16:00:00,North Macedonia,North Macedonia,MK,475.24,528.51,31.69,26.99,entsoe.eu,false,
2024-01-02 17:00:00,North Macedonia,North Macedonia,MK,478.8,532.33,31.39,25.95,entsoe.eu,false,
2024-01-02 18:00:00,North Macedonia,North Macedonia,MK,477.17,529.89,32.05,26.31,entsoe.eu,false,
2024-01-02 19:00:00,North Macedonia,North Macedonia,MK,480.48,533.63,31.67,25.31,entsoe.eu,false,
