Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Malta,Malta,MT,398.73,516.04,3.09,3.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 01:00:00,Malta,Malta,MT,402.32,520.39,2.15,2.13,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 02:00:00,Malta,Malta,MT,403.63,522.0,1.81,1.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 03:00:00,Malta,Malta,MT,404.23,522.76,1.64,1.63,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 04:00:00,Malta,Malta,MT,403.55,521.87,1.84,1.82,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 05:00:00,Malta,Malta,MT,362.24,472.91,11.94,11.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 06:00:00,Malta,Malta,MT,367.52,478.84,10.71,10.68,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 07:00:00,Malta,Malta,MT,343.81,450.69,16.43,16.41,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 08:00:00,Malta,Malta,MT,321.65,424.26,21.78,21.77,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 09:00:00,Malta,Malta,MT,317.86,419.66,22.68,22.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 10:00:00,Malta,Malta,MT,313.59,414.57,23.71,23.71,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 11:00:00,Malta,Malta,MT,314.13,415.45,23.54,23.54,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
