Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Norway,Norway,NO,27.32,53.32,95.5,90.36,entsoe.eu,false,
2024-01-01 01:00:00,Norway,Norway,NO,28.69,54.86,95.21,89.72,entsoe.eu,false,
2024-01-01 02:00:00,Norway,Norway,NO,30.06,56.25,94.89,89.37,entsoe.eu,false,
2024-01-01 03:00:00,Norway,Norway,NO,30.09,56.42,94.83,88.98,entsoe.eu,false,
2024-01-01 04:00:00,Norway,Norway,NO,28.55,54.72,95.0,89.75,entsoe.eu,false,
2024-01-01 05:00:00,Norway,Norway,NO,27.93,54.16,95.12,90.12,entsoe.eu,false,
2024-01-01 06:00:00,Norway,Norway,NO,28.33,54.77,95.13,90.15,entsoe.eu,false,
2024-01-01 07:00:00,Norway,Norway,NO,28.84,55.41,94.98,89.64,entsoe.eu,false,
2024-01-01 08:00:00,Norway,Norway,NO,27.36,53.86,95.33,90.0,entsoe.eu,false,
2024-01-01 09:00:00,Norway,Norway,NO,25.42,51.67,95.66,90.97,entsoe.eu,false,
2024-01-01 10:00:00,Norway,Norway,NO,23.64,49.79,95.99,91.85,entsoe.eu,false,
2024-01-01 11:00:00,Norway,Norway,NO,22.66,48.89,96.16,92.92,entsoe.eu,false,
2024-01-01 12:00:00,Norway,Norway,NO,23.43,50.12,95.96,92.19,entsoe.eu,false,
2024-01-01 13:00:00,Norway,Norway,NO,24.74,51.67,95.69,92.11,entsoe.eu,false,
2024-01-01 14:00:00,Norway,Norway,NO,25.92,52.98,95.47,91.63,entsoe.eu,false,
2024-01-01 15:00:00,Norway,Norway,NO,24.65,51.23,95.82,92.43,entsoe.eu,false,
2024-01-01 16:00:00,Norway,Norway,NO,22.5,48.3,96.35,93.76,entsoe.eu,false,
2024-01-01 17:00:00,Norway,Norway,NO,24.66,50.28,96.11,92.78,entsoe.eu,false,
2024-01-01 18:00:00,Norway,Norway,NO,25.52,51.5,95.86,91.86,entsoe.eu,false,
2024-01-01 19:00:00,Norway,Norway,NO,27.31,53.93,95.39,90.53,entsoe.eu,false,
2024-01-01 20:00:00,Norway,Norway,NO,27.56,53.93,95.42,89.87,entsoe.eu,false,
2024-01-01 21:00:00,Norway,Norway,NO,28.5,55.02,95.25,90.2,entsoe.eu,false,
2024-01-01 22:00:00,Norway,Norway,NO,28.69,55.41,95.07,89.69,entsoe.eu,false,
2024-01-01 23:00:00,Norway,Norway,NO,29.87,56.53,94.83,89.67,entsoe.eu,false,
2024-01-02 00:00:00,Norway,Norway,NO,30.95,57.6,94.63,89.69,entsoe.eu,false,
2024-01-02 01:00:00,Norway,Norway,NO,31.0,57.91,94.56,89.78,entsoe.eu,false,
2024-01-02 02:00:00,Norway,Norway,NO,30.86,57.86,94.59,89.65,entsoe.eu,false,
2024-01-02 03:00:00,Norway,Norway,NO,29.62,56.33,94.73,89.61,entsoe.eu,false,
2024-01-02 04:00:00,Norway,Norway,NO,27.6,54.08,94.96,90.74,entsoe.eu,false,
2024-01-02 05:00:00,Norway,Norway,NO,25.37,51.69,95.37,91.24,entsoe.eu,false,
2024-01-02 06:00:00,Norway,Norway,NO,21.23,46.86,96.11,92.83,entsoe.eu,false,
2024-01-02 07:00:00,Norway,Norway,NO,14.71,39.31,97.34,95.21,entsoe.eu,false,
2024-01-02 08:00:00,Norway,Norway,NO,11.62,35.73,97.93,96.2,entsoe.eu,false,
2024-01-02 09:00:00,Norway,Norway,NO,7.06,31.01,98.39,96.88,entsoe.eu,false,
2024-01-02 10:00:00,Norway,Norway,NO,6.43,30.34,98.47,96.57,entsoe.eu,false,
2024-01-02 11:00:00,Norway,Norway,NO,7.52,31.9,98.18,96.61,entsoe.eu,false,
2024-01-02 12:00:00,Norway,Norway,NO,8.17,32.74,98.06,96.67,entsoe.eu,false,
2024-01-02 13:00:00,Norway,Norway,NO,8.08,32.64,98.06,96.63,entsoe.eu,false,
