Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Romania,Romania,RO,302.41,343.96,62.61,36.21,entsoe.eu,false,
2024-01-01 01:00:00,Romania,Romania,RO,306.21,348.67,62.14,36.07,entsoe.eu,false,
2024-01-01 02:00:00,Romania,Romania,RO,307.81,350.72,61.97,36.05,entsoe.eu,false,
2024-01-01 03:00:00,Romania,Romania,RO,305.67,348.58,62.25,37.12,entsoe.eu,false,
2024-01-01 04:00:00,Romania,Romania,RO,309.57,352.86,61.76,36.4,entsoe.eu,false,
2024-01-01 05:00:00,Romania,Romania,RO,310.72,353.96,61.63,35.8,entsoe.eu,false,
2024-01-01 06:00:00,Romania,Romania,RO,312.17,355.56,61.54,35.29,entsoe.eu,false,
2024-01-01 07:00:00,Romania,Romania,RO,316.93,360.86,61.06,33.12,entsoe.eu,false,
2024-01-01 08:00:00,Romania,Romania,RO,332.11,378.62,59.13,31.82,entsoe.eu,false,
2024-01-01 09:00:00,Romania,Romania,RO,311.99,357.46,61.04,32.75,entsoe.eu,false,
2024-01-01 10:00:00,Romania,Romania,RO,319.18,366.04,59.72,31.26,entsoe.eu,false,
2024-01-01 11:00:00,Romania,Romania,RO,319.48,366.34,59.66,31.47,entsoe.eu,false,
2024-01-01 12:00:00,Romania,Romania,RO,317.12,363.61,59.9,31.59,entsoe.eu,false,
2024-01-01 13:00:00,Romania,Romania,RO,296.48,340.27,62.47,35.38,entsoe.eu,false,
2024-01-01 14:00:00,Romania,Romania,RO,257.5,296.83,67.41,44.48,entsoe.eu,false,
2024-01-01 15:00:00,Romania,Romania,RO,237.04,273.7,70.06,48.5,entsoe.eu,false,
2024-01-01 16:00:00,Romania,Romania,RO,221.98,257.11,71.94,51.36,entsoe.eu,false,
2024-01-01 17:00:00,Romania,Romania,RO,225.71,261.33,71.47,51.37,entsoe.eu,false,
2024-01-01 18:00:00,Romania,Romania,RO,217.55,252.47,72.49,53.35,entsoe.eu,false,
2024-01-01 19:00:00,Romania,Romania,RO,217.03,251.97,72.53,53.28,entsoe.eu,false,
2024-01-01 20:00:00,Romania,Romania,RO,222.05,257.7,71.89,52.67,entsoe.eu,false,
2024-01-01 21:00:00,Romania,Romania,RO,229.28,265.6,70.98,50.69,entsoe.eu,false,
2024-01-01 22:00:00,Romania,Romania,RO,235.81,272.92,70.15,49.41,entsoe.eu,false,
2024-01-01 23:00:00,Romania,Romania,RO,228.66,265.2,71.1,51.2,entsoe.eu,false,
2024-01-02 00:00:00,Romania,Romania,RO,232.01,268.8,70.72,50.11,entsoe.eu,false,
2024-01-02 01:00:00,Romania,Romania,RO,252.24,291.26,68.14,46.59,entsoe.eu,false,
2024-01-02 02:00:00,Romania,Romania,RO,285.08,326.11,64.85,41.56,entsoe.eu,false,
2024-01-02 03:00:00,Romania,Romania,RO,305.7,348.47,62.22,36.48,entsoe.eu,false,
2024-01-02 04:00:00,Romania,Romania,RO,302.63,345.49,62.26,36.07,entsoe.eu,false,
2024-01-02 05:00:00,Romania,Romania,RO,283.29,324.9,64.13,38.7,entsoe.eu,false,
2024-01-02 06:00:00,Romania,Romania,RO,279.66,320.53,64.52,40.44,entsoe.eu,false,
2024-01-02 07:00:00,Romania,Romania,RO,292.49,333.9,63.61,40.18,entsoe.eu,false,
2024-01-02 08:00:00,Romania,Romania,RO,292.34,334.17,63.83,42.15,entsoe.eu,false,
2024-01-02 09:00:00,Romania,Romania,RO,279.11,320.41,65.57,45.03,entsoe.eu,false,
2024-01-02 10:00:00,Romania,Romania,RO,268.92,310.5,66.58,45.83,entsoe.eu,false,
2024-01-02 11:00:00,Romania,Romania,RO,267.09,309.04,66.53,44.33,entsoe.eu,false,
2024-01-02 12:00:00,Romania,Romania,RO,271.13,313.52,65.78,43.7,entsoe.eu,false,
2024-01-02 13:00:00,Romania,Romania,RO,287.49,330.27,63.66,40.36,entsoe.eu,false,
2024-01-02 14:00:00,Romania,Romania,RO,299.43,341.3,62.72,39.75,entsoe.eu,false,
2024-01-02 15:00:00,Romania,Romania,RO,293.86,334.74,63.32,41.07,entsoe.eu,false,
2024-01-02 16:00:00,Romania,Romania,RO,284.51,324.29,64.64,42.75,entsoe.eu,false,
2024-01-02 17:00:00,Romania,Romania,RO,287.06,326.96,64.51,42.53,entsoe.eu,false,
2024-01-02 18:00:00,Romania,Romania,RO,284.25,324.06,64.88,43.0,entsoe.eu,false,
2024-01-02 19:00:00,Romania,Romania,RO,282.3,322.1,65.14,42.78,entsoe.eu,false,
2024-01-02 20:00:00,Romania,Romania,RO,291.66,332.23,63.95,39.82,entsoe.eu,false,
2024-01-02 21:00:00,Romania,Romania,RO,291.21,331.86,64.15,39.81,entsoe.eu,false,
2024-01-02 22:00:00,Romania,Romania,RO,316.0,359.23,60.67,33.87,entsoe.eu,false,
2024-01-02 23:00:00,Romania,Romania,RO,316.13,359.5,60.98,35.05,entsoe.eu,false,
2024-01-03 00:00:00,Romania,Romania,RO,312.11,355.0,61.66,36.02,entsoe.eu,false,
2024-01-03 01:00:00,Romania,Romania,RO,310.41,353.25,61.87,36.67,entsoe.eu,false,
2024-01-03 02:00:00,Romania,Romania,RO,308.24,350.91,62.17,37.26,entsoe.eu,false,
2024-01-03 03:00:00,Romania,Romania,RO,289.13,329.82,64.53,40.18,entsoe.eu,false,
2024-01-03 04:00:00,Romania,Romania,RO,271.12,310.75,65.97,41.06,entsoe.eu,false,
2024-01-03 05:00:00,Romania,Romania,RO,250.49,288.18,68.32,45.89,entsoe.eu,false,
2024-01-03 06:00:00,Romania,Romania,RO,255.41,292.33,68.51,47.26,entsoe.eu,false,
2024-01-03 07:00:00,Romania,Romania,RO,255.93,292.49,68.44,47.62,entsoe.eu,false,
2024-01-03 08:00:00,Romania,Romania,RO,253.88,290.19,68.62,48.42,entsoe.eu,false,
2024-01-03 09:00:00,Romania,Romania,RO,245.94,281.95,69.48,50.33,entsoe.eu,false,
2024-01-03 10:00:00,Romania,Romania,RO,249.38,286.18,68.96,50.26,entsoe.eu,false,
2024-01-03 11:00:00,Romania,Romania,RO,250.18,287.06,68.93,50.17,entsoe.eu,false,
2024-01-03 12:00:00,Romania,Romania,RO,229.69,265.49,71.37,54.0,entsoe.eu,false,
2024-01-03 13:00:00,Romania,Romania,RO,225.33,260.82,72.03,55.33,entsoe.eu,false,
2024-01-03 14:00:00,Romania,Romania,RO,227.05,262.44,71.9,55.57,entsoe.eu,false,
2024-01-03 15:00:00,Romania,Romania,RO,226.17,260.35,72.01,54.38,entsoe.eu,false,
2024-01-03 16:00:00,Romania,Romania,RO,222.45,256.64,72.47,55.55,entsoe.eu,false,
2024-01-03 17:00:00,Romania,Romania,RO,221.57,255.9,72.59,55.9,entsoe.eu,false,
2024-01-03 18:00:00,Romania,Romania,RO,225.41,260.07,72.13,55.12,entsoe.eu,false,
2024-01-03 19:00:00,Romania,Romania,RO,231.36,266.95,71.35,53.84,entsoe.eu,false,
2024-01-03 20:00:00,Romania,Romania,RO,235.91,272.48,70.65,53.14,entsoe.eu,false,
2024-01-03 21:00:00,Romania,Romania,RO,234.99,271.75,70.79,53.43,entsoe.eu,false,
2024-01-03 22:00:00,Romania,Romania,RO,255.03,293.25,68.52,48.82,entsoe.eu,false,
2024-01-03 23:00:00,Romania,Romania,RO,271.0,311.66,66.13,46.81,entsoe.eu,false,
2024-01-04 00:00:00,Romania,Romania,RO,268.66,309.36,66.36,47.04,entsoe.eu,false,
2024-01-04 01:00:00,Romania,Romania,RO,257.35,296.77,67.8,48.23,entsoe.eu,false,
2024-01-04 02:00:00,Romania,Romania,RO,259.69,299.36,67.56,47.8,entsoe.eu,false,
2024-01-04 03:00:00,Romania,Romania,RO,255.3,294.86,67.93,48.53,entsoe.eu,false,
2024-01-04 04:00:00,Romania,Romania,RO,248.49,288.17,67.89,47.62,entsoe.eu,false,
2024-01-04 05:00:00,Romania,Romania,RO,242.42,281.17,68.56,48.8,entsoe.eu,false,
2024-01-04 06:00:00,Romania,Romania,RO,246.66,285.45,68.29,49.17,entsoe.eu,false,
2024-01-04 07:00:00,Romania,Romania,RO,248.99,287.88,68.69,51.43,entsoe.eu,false,
2024-01-04 08:00:00,Romania,Romania,RO,239.25,277.62,70.07,53.58,entsoe.eu,false,
2024-01-04 09:00:00,Romania,Romania,RO,253.23,293.15,68.23,51.33,entsoe.eu,false,
2024-01-04 10:00:00,Romania,Romania,RO,262.95,303.72,66.98,49.4,entsoe.eu,false,
2024-01-04 11:00:00,Romania,Romania,RO,271.58,313.01,65.95,47.33,entsoe.eu,false,
2024-01-04 12:00:00,Romania,Romania,RO,283.42,326.36,64.18,45.6,entsoe.eu,false,
2024-01-04 13:00:00,Romania,Romania,RO,276.61,318.86,64.78,45.96,entsoe.eu,false,
2024-01-04 14:00:00,Romania,Romania,RO,276.08,318.06,64.53,45.3,entsoe.eu,false,
2024-01-04 15:00:00,Romania,Romania,RO,270.02,311.08,65.54,47.68,entsoe.eu,false,
2024-01-04 16:00:00,Romania,Romania,RO,251.75,291.18,67.89,51.21,entsoe.eu,false,
2024-01-04 17:00:00,Romania,Romania,RO,242.09,280.7,69.19,53.05,entsoe.eu,false,
2024-01-04 18:00:00,Romania,Romania,RO,230.24,267.94,70.49,54.42,entsoe.eu,false,
2024-01-04 19:00:00,Romania,Romania,RO,221.31,258.46,71.31,54.35,entsoe.eu,false,
2024-01-04 20:00:00,Romania,Romania,RO,237.69,276.12,69.72,52.35,entsoe.eu,false,
2024-01-04 21:00:00,Romania,Romania,RO,244.07,282.9,69.29,52.04,entsoe.eu,false,
2024-01-04 22:00:00,Romania,Romania,RO,274.94,317.39,65.29,46.57,entsoe.eu,false,
2024-01-04 23:00:00,Romania,Romania,RO,267.65,308.7,66.43,47.29,entsoe.eu,false,
2024-01-05 00:00:00,Romania,Romania,RO,256.32,296.65,67.49,48.23,entsoe.eu,false,
2024-01-05 01:00:00,Romania,Romania,RO,258.3,299.71,66.72,46.9,entsoe.eu,false,
2024-01-05 02:00:00,Romania,Romania,RO,276.88,318.97,65.25,45.76,entsoe.eu,false,
2024-01-05 03:00:00,Romania,Romania,RO,272.95,314.55,65.74,46.19,entsoe.eu,false,
2024-01-05 04:00:00,Romania,Romania,RO,260.32,300.58,67.12,47.16,entsoe.eu,false,
2024-01-05 05:00:00,Romania,Romania,RO,251.95,290.78,68.2,48.56,entsoe.eu,false,
2024-01-05 06:00:00,Romania,Romania,RO,248.16,286.93,68.82,51.31,entsoe.eu,false,
2024-01-05 07:00:00,Romania,Romania,RO,232.92,271.61,70.39,53.61,entsoe.eu,false,
2024-01-05 08:00:00,Romania,Romania,RO,221.81,260.74,71.29,54.07,entsoe.eu,false,
2024-01-05 09:00:00,Romania,Romania,RO,224.62,264.15,70.94,53.57,entsoe.eu,false,
2024-01-05 10:00:00,Romania,Romania,RO,237.9,278.98,69.3,51.27,entsoe.eu,false,
2024-01-05 11:00:00,Romania,Romania,RO,246.27,288.34,68.17,49.46,entsoe.eu,false,
2024-01-05 12:00:00,Romania,Romania,RO,248.14,289.93,67.92,48.96,entsoe.eu,false,
2024-01-05 13:00:00,Romania,Romania,RO,259.38,301.22,66.35,47.25,entsoe.eu,false,
2024-01-05 14:00:00,Romania,Romania,RO,272.98,314.71,64.66,45.18,entsoe.eu,false,
2024-01-05 15:00:00,Romania,Romania,RO,268.72,309.23,65.48,46.62,entsoe.eu,false,
2024-01-05 16:00:00,Romania,Romania,RO,260.36,299.99,66.18,46.65,entsoe.eu,false,
2024-01-05 17:00:00,Romania,Romania,RO,278.74,319.59,64.48,44.88,entsoe.eu,false,
2024-01-05 18:00:00,Romania,Romania,RO,291.41,333.15,62.96,42.66,entsoe.eu,false,
2024-01-05 19:00:00,Romania,Romania,RO,302.42,345.92,61.38,40.29,entsoe.eu,false,
2024-01-05 20:00:00,Romania,Romania,RO,292.14,335.18,62.71,41.15,entsoe.eu,false,
2024-01-05 21:00:00,Romania,Romania,RO,289.38,332.74,63.21,41.94,entsoe.eu,false,
2024-01-05 22:00:00,Romania,Romania,RO,307.15,353.3,60.57,38.34,entsoe.eu,false,
2024-01-05 23:00:00,Romania,Romania,RO,298.44,342.72,62.42,40.86,entsoe.eu,false,
2024-01-06 00:00:00,Romania,Romania,RO,302.56,347.45,62.04,41.21,entsoe.eu,false,
2024-01-06 01:00:00,Romania,Romania,RO,295.29,339.54,62.99,42.58,entsoe.eu,false,
2024-01-06 02:00:00,Romania,Romania,RO,289.07,332.64,63.77,43.67,entsoe.eu,false,
