Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Sweden,Sweden,SE,33.33,57.98,95.99,65.58,entsoe.eu,false,
2024-01-01 01:00:00,Sweden,Sweden,SE,34.0,58.8,95.95,64.98,entsoe.eu,false,
2024-01-01 02:00:00,Sweden,Sweden,SE,34.07,58.93,95.93,64.14,entsoe.eu,false,
2024-01-01 03:00:00,Sweden,Sweden,SE,34.62,59.68,95.88,63.31,entsoe.eu,false,
2024-01-01 04:00:00,Sweden,Sweden,SE,34.94,60.46,95.8,62.94,entsoe.eu,false,
2024-01-01 05:00:00,Sweden,Sweden,SE,34.58,60.59,95.82,64.16,entsoe.eu,false,
2024-01-01 06:00:00,Sweden,Sweden,SE,34.15,60.11,95.88,65.04,entsoe.eu,false,
2024-01-01 07:00:00,Sweden,Sweden,SE,33.43,59.51,95.94,65.62,entsoe.eu,false,
2024-01-01 08:00:00,Sweden,Sweden,SE,33.04,59.37,95.98,66.84,entsoe.eu,false,
2024-01-01 09:00:00,Sweden,Sweden,SE,29.55,55.03,96.5,67.64,entsoe.eu,false,
2024-01-01 10:00:00,Sweden,Sweden,SE,26.6,50.9,96.9,68.41,entsoe.eu,false,
2024-01-01 11:00:00,Sweden,Sweden,SE,21.2,45.23,97.5,68.8,entsoe.eu,false,
2024-01-01 12:00:00,Sweden,Sweden,SE,23.79,47.07,97.33,69.05,entsoe.eu,false,
2024-01-01 13:00:00,Sweden,Sweden,SE,11.98,34.28,98.58,70.35,entsoe.eu,false,
2024-01-01 14:00:00,Sweden,Sweden,SE,7.33,29.08,99.08,71.55,entsoe.eu,false,
2024-01-01 15:00:00,Sweden,Sweden,SE,8.54,30.63,98.92,71.56,entsoe.eu,false,
2024-01-01 16:00:00,Sweden,Sweden,SE,6.8,28.21,99.2,71.49,entsoe.eu,false,
2024-01-01 17:00:00,Sweden,Sweden,SE,9.08,30.61,98.92,71.84,entsoe.eu,false,
2024-01-01 18:00:00,Sweden,Sweden,SE,8.83,31.26,98.86,72.1,entsoe.eu,false,
2024-01-01 19:00:00,Sweden,Sweden,SE,9.24,32.43,98.72,71.36,entsoe.eu,false,
2024-01-01 20:00:00,Sweden,Sweden,SE,24.57,49.24,96.99,69.6,entsoe.eu,false,
2024-01-01 21:00:00,Sweden,Sweden,SE,24.23,48.48,97.08,68.68,entsoe.eu,false,
2024-01-01 22:00:00,Sweden,Sweden,SE,33.64,59.85,95.83,66.23,entsoe.eu,false,
2024-01-01 23:00:00,Sweden,Sweden,SE,34.99,61.17,95.65,65.44,entsoe.eu,false,
2024-01-02 00:00:00,Sweden,Sweden,SE,35.6,61.81,95.63,64.39,entsoe.eu,false,
2024-01-02 01:00:00,Sweden,Sweden,SE,36.44,62.99,95.51,64.11,entsoe.eu,false,
2024-01-02 02:00:00,Sweden,Sweden,SE,36.89,63.54,95.45,64.19,entsoe.eu,false,
2024-01-02 03:00:00,Sweden,Sweden,SE,32.88,58.84,95.92,65.08,entsoe.eu,false,
2024-01-02 04:00:00,Sweden,Sweden,SE,16.89,41.83,97.62,67.33,entsoe.eu,false,
