Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Slovenia,Slovenia,SI,142.82,166.92,84.41,38.97,entsoe.eu,false,
2024-01-01 01:00:00,Slovenia,Slovenia,SI,136.95,160.72,84.68,39.46,entsoe.eu,false,
2024-01-01 02:00:00,Slovenia,Slovenia,SI,133.52,157.42,84.48,39.94,entsoe.eu,false,
2024-01-01 03:00:00,Slovenia,Slovenia,SI,133.37,157.31,83.97,38.98,entsoe.eu,false,
2024-01-01 04:00:00,Slovenia,Slovenia,SI,130.12,153.12,84.45,40.52,entsoe.eu,false,
2024-01-01 05:00:00,Slovenia,Slovenia,SI,124.96,147.02,85.5,41.8,entsoe.eu,false,
2024-01-01 06:00:00,Slovenia,Slovenia,SI,128.09,150.61,85.19,40.58,entsoe.eu,false,
2024-01-01 07:00:00,Slovenia,Slovenia,SI,120.82,141.84,86.48,43.34,entsoe.eu,false,
2024-01-01 08:00:00,Slovenia,Slovenia,SI,108.65,128.2,87.89,47.51,entsoe.eu,false,
2024-01-01 09:00:00,Slovenia,Slovenia,SI,107.77,127.66,88.15,48.07,entsoe.eu,false,
2024-01-01 10:00:00,Slovenia,Slovenia,SI,103.8,123.39,88.74,49.29,entsoe.eu,false,
2024-01-01 11:00:00,Slovenia,Slovenia,SI,107.26,127.08,88.24,47.68,entsoe.eu,false,
2024-01-01 12:00:00,Slovenia,Slovenia,SI,104.27,123.76,88.54,49.94,entsoe.eu,false,
2024-01-01 13:00:00,Slovenia,Slovenia,SI,96.15,115.13,89.51,54.36,entsoe.eu,false,
2024-01-01 14:00:00,Slovenia,Slovenia,SI,95.83,113.72,89.83,55.24,entsoe.eu,false,
2024-01-01 15:00:00,Slovenia,Slovenia,SI,96.35,105.45,91.28,61.74,entsoe.eu,false,
2024-01-01 16:00:00,Slovenia,Slovenia,SI,106.46,109.67,91.77,63.78,entsoe.eu,false,
2024-01-01 17:00:00,Slovenia,Slovenia,SI,108.42,111.7,91.71,63.91,entsoe.eu,false,
2024-01-01 18:00:00,Slovenia,Slovenia,SI,97.58,105.56,91.31,62.44,entsoe.eu,false,
2024-01-01 19:00:00,Slovenia,Slovenia,SI,93.46,104.94,91.14,61.69,entsoe.eu,false,
2024-01-01 20:00:00,Slovenia,Slovenia,SI,93.09,108.26,90.59,59.74,entsoe.eu,false,
2024-01-01 21:00:00,Slovenia,Slovenia,SI,93.16,109.07,90.48,57.48,entsoe.eu,false,
2024-01-01 22:00:00,Slovenia,Slovenia,SI,100.68,118.93,89.08,50.99,entsoe.eu,false,
2024-01-01 23:00:00,Slovenia,Slovenia,SI,110.52,127.83,88.55,44.32,entsoe.eu,false,
2024-01-02 00:00:00,Slovenia,Slovenia,SI,113.11,130.59,88.26,43.67,entsoe.eu,false,
2024-01-02 01:00:00,Slovenia,Slovenia,SI,119.59,139.03,87.05,41.0,entsoe.eu,false,
2024-01-02 02:00:00,Slovenia,Slovenia,SI,121.06,140.31,87.25,41.0,entsoe.eu,false,
2024-01-02 03:00:00,Slovenia,Slovenia,SI,116.61,136.4,87.79,44.38,entsoe.eu,false,
2024-01-02 04:00:00,Slovenia,Slovenia,SI,110.85,129.57,88.5,46.6,entsoe.eu,false,
2024-01-02 05:00:00,Slovenia,Slovenia,SI,97.19,114.37,90.03,53.82,entsoe.eu,false,
2024-01-02 06:00:00,Slovenia,Slovenia,SI,108.03,118.06,90.8,58.45,entsoe.eu,false,
2024-01-02 07:00:00,Slovenia,Slovenia,SI,112.52,119.06,91.12,59.98,entsoe.eu,false,
2024-01-02 08:00:00,Slovenia,Slovenia,SI,113.17,118.27,91.46,59.87,entsoe.eu,false,
2024-01-02 09:00:00,Slovenia,Slovenia,SI,113.47,118.41,91.62,58.04,entsoe.eu,false,
2024-01-02 10:00:00,Slovenia,Slovenia,SI,119.84,124.27,91.24,55.75,entsoe.eu,false,
2024-01-02 11:00:00,Slovenia,Slovenia,SI,125.52,129.47,90.69,57.42,entsoe.eu,false,
2024-01-02 12:00:00,Slovenia,Slovenia,SI,121.4,125.89,90.92,57.73,entsoe.eu,false,
2024-01-02 13:00:00,Slovenia,Slovenia,SI,111.53,115.96,91.68,60.18,entsoe.eu,false,
2024-01-02 14:00:00,Slovenia,Slovenia,SI,119.35,123.93,90.91,60.68,entsoe.eu,false,
2024-01-02 15:00:00,Slovenia,Slovenia,SI,112.39,116.0,91.55,62.31,entsoe.eu,false,
2024-01-02 16:00:00,Slovenia,Slovenia,SI,111.93,115.61,91.58,61.88,entsoe.eu,false,
2024-01-02 17:00:00,Slovenia,Slovenia,SI,113.78,118.03,91.35,61.41,entsoe.eu,false,
2024-01-02 18:00:00,Slovenia,Slovenia,SI,110.3,116.5,91.41,60.72,entsoe.eu,false,
2024-01-02 19:00:00,Slovenia,Slovenia,SI,91.76,109.47,90.39,57.03,entsoe.eu,false,
2024-01-02 20:00:00,Slovenia,Slovenia,SI,92.8,112.28,89.93,56.51,entsoe.eu,false,
2024-01-02 21:00:00,Slovenia,Slovenia,SI,112.82,133.08,87.88,51.15,entsoe.eu,false,
2024-01-02 22:00:00,Slovenia,Slovenia,SI,131.92,153.1,86.07,47.61,entsoe.eu,false,
2024-01-02 23:00:00,Slovenia,Slovenia,SI,154.24,177.04,83.77,39.57,entsoe.eu,false,
2024-01-03 00:00:00,Slovenia,Slovenia,SI,167.22,191.66,82.0,33.5,entsoe.eu,false,
2024-01-03 01:00:00,Slovenia,Slovenia,SI,168.26,193.52,81.12,31.86,entsoe.eu,false,
2024-01-03 02:00:00,Slovenia,Slovenia,SI,167.73,193.07,81.01,31.5,entsoe.eu,false,
2024-01-03 03:00:00,Slovenia,Slovenia,SI,159.45,184.23,82.16,34.42,entsoe.eu,false,
2024-01-03 04:00:00,Slovenia,Slovenia,SI,150.2,173.27,84.14,38.74,entsoe.eu,false,
2024-01-03 05:00:00,Slovenia,Slovenia,SI,136.38,157.97,85.57,46.22,entsoe.eu,false,
2024-01-03 06:00:00,Slovenia,Slovenia,SI,157.11,175.77,84.72,54.35,entsoe.eu,false,
2024-01-03 07:00:00,Slovenia,Slovenia,SI,188.69,207.09,81.62,54.09,entsoe.eu,false,
2024-01-03 08:00:00,Slovenia,Slovenia,SI,198.29,212.97,81.88,55.15,entsoe.eu,false,
2024-01-03 09:00:00,Slovenia,Slovenia,SI,218.06,240.49,78.55,47.2,entsoe.eu,false,
2024-01-03 10:00:00,Slovenia,Slovenia,SI,248.11,272.39,75.64,40.05,entsoe.eu,false,
2024-01-03 11:00:00,Slovenia,Slovenia,SI,189.59,213.84,80.13,44.57,entsoe.eu,false,
2024-01-03 12:00:00,Slovenia,Slovenia,SI,159.84,180.75,83.97,46.92,entsoe.eu,false,
2024-01-03 13:00:00,Slovenia,Slovenia,SI,181.94,201.22,82.31,45.38,entsoe.eu,false,
2024-01-03 14:00:00,Slovenia,Slovenia,SI,179.68,195.99,82.72,50.45,entsoe.eu,false,
2024-01-03 15:00:00,Slovenia,Slovenia,SI,189.49,201.89,82.42,55.42,entsoe.eu,false,
2024-01-03 16:00:00,Slovenia,Slovenia,SI,217.97,232.62,79.6,52.19,entsoe.eu,false,
2024-01-03 17:00:00,Slovenia,Slovenia,SI,220.89,235.2,79.38,52.17,entsoe.eu,false,
2024-01-03 18:00:00,Slovenia,Slovenia,SI,218.15,231.8,79.7,53.03,entsoe.eu,false,
2024-01-03 19:00:00,Slovenia,Slovenia,SI,189.77,201.89,82.38,55.26,entsoe.eu,false,
2024-01-03 20:00:00,Slovenia,Slovenia,SI,195.54,210.09,81.55,52.63,entsoe.eu,false,
2024-01-03 21:00:00,Slovenia,Slovenia,SI,175.76,191.55,82.98,48.36,entsoe.eu,false,
2024-01-03 22:00:00,Slovenia,Slovenia,SI,162.47,183.07,83.3,43.53,entsoe.eu,false,
2024-01-03 23:00:00,Slovenia,Slovenia,SI,166.28,190.5,81.81,39.21,entsoe.eu,false,
2024-01-04 00:00:00,Slovenia,Slovenia,SI,173.59,198.64,80.75,35.78,entsoe.eu,false,
2024-01-04 01:00:00,Slovenia,Slovenia,SI,170.65,195.65,80.94,35.41,entsoe.eu,false,
2024-01-04 02:00:00,Slovenia,Slovenia,SI,168.62,193.7,81.07,36.04,entsoe.eu,false,
2024-01-04 03:00:00,Slovenia,Slovenia,SI,170.19,195.81,80.7,37.32,entsoe.eu,false,
2024-01-04 04:00:00,Slovenia,Slovenia,SI,195.13,220.44,79.14,37.27,entsoe.eu,false,
2024-01-04 05:00:00,Slovenia,Slovenia,SI,197.3,221.2,79.26,47.6,entsoe.eu,false,
2024-01-04 06:00:00,Slovenia,Slovenia,SI,229.21,249.21,77.58,50.04,entsoe.eu,false,
2024-01-04 07:00:00,Slovenia,Slovenia,SI,249.25,269.54,75.36,45.66,entsoe.eu,false,
2024-01-04 08:00:00,Slovenia,Slovenia,SI,260.03,284.16,72.81,44.42,entsoe.eu,false,
2024-01-04 09:00:00,Slovenia,Slovenia,SI,247.56,277.18,71.77,44.29,entsoe.eu,false,
2024-01-04 10:00:00,Slovenia,Slovenia,SI,258.29,288.56,70.83,42.95,entsoe.eu,false,
2024-01-04 11:00:00,Slovenia,Slovenia,SI,261.62,290.92,71.32,41.88,entsoe.eu,false,
2024-01-04 12:00:00,Slovenia,Slovenia,SI,275.42,303.36,71.19,38.93,entsoe.eu,false,
2024-01-04 13:00:00,Slovenia,Slovenia,SI,259.45,284.77,72.88,42.95,entsoe.eu,false,
2024-01-04 14:00:00,Slovenia,Slovenia,SI,252.82,269.69,75.52,48.28,entsoe.eu,false,
2024-01-04 15:00:00,Slovenia,Slovenia,SI,265.47,282.0,74.8,46.15,entsoe.eu,false,
2024-01-04 16:00:00,Slovenia,Slovenia,SI,258.64,275.53,74.92,46.75,entsoe.eu,false,
2024-01-04 17:00:00,Slovenia,Slovenia,SI,272.18,290.09,73.34,44.58,entsoe.eu,false,
2024-01-04 18:00:00,Slovenia,Slovenia,SI,257.83,274.04,74.92,47.81,entsoe.eu,false,
2024-01-04 19:00:00,Slovenia,Slovenia,SI,251.8,274.76,73.52,44.44,entsoe.eu,false,
2024-01-04 20:00:00,Slovenia,Slovenia,SI,260.92,287.91,71.91,39.68,entsoe.eu,false,
2024-01-04 21:00:00,Slovenia,Slovenia,SI,277.17,304.96,70.65,35.27,entsoe.eu,false,
2024-01-04 22:00:00,Slovenia,Slovenia,SI,244.43,271.47,73.47,36.02,entsoe.eu,false,
2024-01-04 23:00:00,Slovenia,Slovenia,SI,209.85,236.62,75.99,35.21,entsoe.eu,false,
2024-01-05 00:00:00,Slovenia,Slovenia,SI,184.11,213.76,76.8,35.28,entsoe.eu,false,
2024-01-05 01:00:00,Slovenia,Slovenia,SI,193.81,225.52,74.62,33.92,entsoe.eu,false,
2024-01-05 02:00:00,Slovenia,Slovenia,SI,196.6,228.78,74.04,34.13,entsoe.eu,false,
2024-01-05 03:00:00,Slovenia,Slovenia,SI,207.49,239.32,73.91,35.18,entsoe.eu,false,
2024-01-05 04:00:00,Slovenia,Slovenia,SI,231.33,262.84,72.78,37.99,entsoe.eu,false,
2024-01-05 05:00:00,Slovenia,Slovenia,SI,254.77,284.52,71.74,41.04,entsoe.eu,false,
2024-01-05 06:00:00,Slovenia,Slovenia,SI,249.45,274.42,73.13,45.08,entsoe.eu,false,
2024-01-05 07:00:00,Slovenia,Slovenia,SI,263.11,285.37,72.8,44.32,entsoe.eu,false,
2024-01-05 08:00:00,Slovenia,Slovenia,SI,274.02,303.25,70.13,41.86,entsoe.eu,false,
2024-01-05 09:00:00,Slovenia,Slovenia,SI,270.26,300.23,70.23,42.68,entsoe.eu,false,
2024-01-05 10:00:00,Slovenia,Slovenia,SI,277.47,305.46,69.87,42.0,entsoe.eu,false,
2024-01-05 11:00:00,Slovenia,Slovenia,SI,291.27,319.13,69.64,37.72,entsoe.eu,false,
2024-01-05 12:00:00,Slovenia,Slovenia,SI,284.13,311.02,70.73,37.04,entsoe.eu,false,
2024-01-05 13:00:00,Slovenia,Slovenia,SI,283.09,309.42,70.9,37.34,entsoe.eu,false,
2024-01-05 14:00:00,Slovenia,Slovenia,SI,267.25,289.91,72.24,42.32,entsoe.eu,false,
2024-01-05 15:00:00,Slovenia,Slovenia,SI,253.67,273.72,73.73,45.23,entsoe.eu,false,
2024-01-05 16:00:00,Slovenia,Slovenia,SI,257.16,270.01,75.42,49.1,entsoe.eu,false,
2024-01-05 17:00:00,Slovenia,Slovenia,SI,255.41,270.73,75.0,48.13,entsoe.eu,false,
2024-01-05 18:00:00,Slovenia,Slovenia,SI,267.88,285.64,73.29,44.41,entsoe.eu,false,
2024-01-05 19:00:00,Slovenia,Slovenia,SI,274.91,295.67,72.62,41.56,entsoe.eu,false,
2024-01-05 20:00:00,Slovenia,Slovenia,SI,269.06,296.53,71.19,39.29,entsoe.eu,false,
2024-01-05 21:00:00,Slovenia,Slovenia,SI,261.52,289.27,71.92,38.46,entsoe.eu,false,
