Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Slovakia,Slovakia,SK,158.36,187.92,81.28,22.19,entsoe.eu,false,
2024-01-01 01:00:00,Slovakia,Slovakia,SK,148.81,178.2,82.06,21.17,entsoe.eu,false,
2024-01-01 02:00:00,Slovakia,Slovakia,SK,131.59,160.39,83.53,20.24,entsoe.eu,false,
2024-01-01 03:00:00,Slovakia,Slovakia,SK,112.21,140.39,85.19,20.46,entsoe.eu,false,
2024-01-01 04:00:00,Slovakia,Slovakia,SK,116.7,145.28,84.69,20.48,entsoe.eu,false,
2024-01-01 05:00:00,Slovakia,Slovakia,SK,111.3,139.27,85.41,21.83,entsoe.eu,false,
2024-01-01 06:00:00,Slovakia,Slovakia,SK,112.44,140.23,85.45,22.29,entsoe.eu,false,
2024-01-01 07:00:00,Slovakia,Slovakia,SK,116.59,144.36,85.08,22.85,entsoe.eu,false,
2024-01-01 08:00:00,Slovakia,Slovakia,SK,89.58,115.45,87.63,24.7,entsoe.eu,false,
2024-01-01 09:00:00,Slovakia,Slovakia,SK,86.41,111.86,88.1,25.35,entsoe.eu,false,
2024-01-01 10:00:00,Slovakia,Slovakia,SK,77.94,104.09,88.72,25.41,entsoe.eu,false,
2024-01-01 11:00:00,Slovakia,Slovakia,SK,68.51,94.1,89.67,26.28,entsoe.eu,false,
2024-01-01 12:00:00,Slovakia,Slovakia,SK,66.66,92.04,89.6,26.43,entsoe.eu,false,
2024-01-01 13:00:00,Slovakia,Slovakia,SK,78.97,104.6,88.66,26.99,entsoe.eu,false,
2024-01-01 14:00:00,Slovakia,Slovakia,SK,92.25,116.98,87.77,27.55,entsoe.eu,false,
2024-01-01 15:00:00,Slovakia,Slovakia,SK,113.16,128.86,88.21,31.43,entsoe.eu,false,
2024-01-01 16:00:00,Slovakia,Slovakia,SK,115.21,129.46,88.47,32.35,entsoe.eu,false,
2024-01-01 17:00:00,Slovakia,Slovakia,SK,115.24,126.74,88.89,33.91,entsoe.eu,false,
2024-01-01 18:00:00,Slovakia,Slovakia,SK,113.12,124.29,89.02,33.93,entsoe.eu,false,
2024-01-01 19:00:00,Slovakia,Slovakia,SK,107.86,121.9,88.94,32.25,entsoe.eu,false,
2024-01-01 20:00:00,Slovakia,Slovakia,SK,93.49,117.2,88.19,27.19,entsoe.eu,false,
