Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Turkey,Turkey,TR,404.44,461.96,42.84,42.15,epias.com.tr,false,
2024-01-01 01:00:00,Turkey,Turkey,TR,400.49,458.26,43.17,42.47,epias.com.tr,false,
2024-01-01 02:00:00,Turkey,Turkey,TR,400.78,458.5,43.1,42.38,epias.com.tr,false,
2024-01-01 03:00:00,Turkey,Turkey,TR,403.25,460.84,42.86,42.17,epias.com.tr,false,
2024-01-01 04:00:00,Turkey,Turkey,TR,401.62,458.65,43.21,42.54,epias.com.tr,false,
2024-01-01 05:00:00,Turkey,Turkey,TR,404.55,461.53,42.7,42.02,epias.com.tr,false,
2024-01-01 06:00:00,Turkey,Turkey,TR,363.84,419.46,47.81,47.15,epias.com.tr,false,
2024-01-01 07:00:00,Turkey,Turkey,TR,357.33,412.21,48.82,48.13,epias.com.tr,false,
2024-01-01 08:00:00,Turkey,Turkey,TR,350.81,405.28,49.62,49.01,epias.com.tr,false,
2024-01-01 09:00:00,Turkey,Turkey,TR,339.56,393.39,51.22,50.51,epias.com.tr,false,
2024-01-01 10:00:00,Turkey,Turkey,TR,325.21,378.12,53.16,52.49,epias.com.tr,false,
2024-01-01 11:00:00,Turkey,Turkey,TR,340.97,393.51,51.54,50.94,epias.com.tr,false,
2024-01-01 12:00:00,Turkey,Turkey,TR,364.11,417.76,48.19,47.62,epias.com.tr,false,
2024-01-01 13:00:00,Turkey,Turkey,TR,373.97,427.8,46.77,46.29,epias.com.tr,false,
2024-01-01 14:00:00,Turkey,Turkey,TR,354.64,407.88,48.69,48.29,epias.com.tr,false,
2024-01-01 15:00:00,Turkey,Turkey,TR,341.86,393.78,50.64,50.4,epias.com.tr,false,
2024-01-01 16:00:00,Turkey,Turkey,TR,348.92,401.36,49.59,49.3,epias.com.tr,false,
2024-01-01 17:00:00,Turkey,Turkey,TR,352.58,404.93,49.32,49.0,epias.com.tr,false,
2024-01-01 18:00:00,Turkey,Turkey,TR,352.66,404.12,49.94,49.59,epias.com.tr,false,
2024-01-01 19:00:00,Turkey,Turkey,TR,331.3,381.57,53.06,52.68,epias.com.tr,false,
2024-01-01 20:00:00,Turkey,Turkey,TR,337.48,388.18,52.32,51.86,epias.com.tr,false,
2024-01-01 21:00:00,Turkey,Turkey,TR,354.09,405.57,50.41,49.78,epias.com.tr,false,
2024-01-01 22:00:00,Turkey,Turkey,TR,363.22,415.55,49.13,48.38,epias.com.tr,false,
2024-01-01 23:00:00,Turkey,Turkey,TR,363.69,416.72,48.84,48.14,epias.com.tr,false,
2024-01-02 00:00:00,Turkey,Turkey,TR,364.62,417.94,48.6,47.92,epias.com.tr,false,
2024-01-02 01:00:00,Turkey,Turkey,TR,364.59,417.79,48.61,47.95,epias.com.tr,false,
2024-01-02 02:00:00,Turkey,Turkey,TR,374.66,428.63,47.07,46.44,epias.com.tr,false,
2024-01-02 03:00:00,Turkey,Turkey,TR,376.76,432.18,45.63,45.01,epias.com.tr,false,
2024-01-02 04:00:00,Turkey,Turkey,TR,392.03,450.07,41.99,41.54,epias.com.tr,false,
2024-01-02 05:00:00,Turkey,Turkey,TR,374.48,434.54,41.82,41.55,epias.com.tr,false,
2024-01-02 06:00:00,Turkey,Turkey,TR,364.44,425.3,42.09,41.93,epias.com.tr,false,
2024-01-02 07:00:00,Turkey,Turkey,TR,363.97,424.77,42.14,42.05,epias.com.tr,false,
2024-01-02 08:00:00,Turkey,Turkey,TR,364.8,425.88,41.78,41.73,epias.com.tr,false,
2024-01-02 09:00:00,Turkey,Turkey,TR,371.11,430.84,42.14,42.1,epias.com.tr,false,
2024-01-02 10:00:00,Turkey,Turkey,TR,371.44,431.74,41.66,41.63,epias.com.tr,false,
2024-01-02 11:00:00,Turkey,Turkey,TR,366.06,427.03,41.64,41.61,epias.com.tr,false,
2024-01-02 12:00:00,Turkey,Turkey,TR,361.93,423.09,41.9,41.9,epias.com.tr,false,
2024-01-02 13:00:00,Turkey,Turkey,TR,356.6,417.98,42.35,42.29,epias.com.tr,false,
2024-01-02 14:00:00,Turkey,Turkey,TR,344.9,405.36,44.07,44.05,epias.com.tr,false,
