Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Great Britain,Great Britain,GB,61.36,96.45,85.52,62.7, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 01:00:00,Great Britain,Great Britain,GB,59.98,94.22,85.85,63.32, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 02:00:00,Great Britain,Great Britain,GB,65.71,101.79,84.35,63.63, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 03:00:00,Great Britain,Great Britain,GB,63.96,99.14,85.01,64.04, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 04:00:00,Great Britain,Great Britain,GB,58.5,92.16,86.26,65.41, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 05:00:00,Great Britain,Great Britain,GB,56.69,89.83,86.9,66.06, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 06:00:00,Great Britain,Great Britain,GB,60.16,94.02,86.31,64.74, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 07:00:00,Great Britain,Great Britain,GB,60.13,93.9,86.45,64.66, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 08:00:00,Great Britain,Great Britain,GB,51.5,85.19,88.07,66.03, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 09:00:00,Great Britain,Great Britain,GB,40.85,74.48,90.31,70.19, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 10:00:00,Great Britain,Great Britain,GB,41.69,77.05,90.08,70.6, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 11:00:00,Great Britain,Great Britain,GB,51.42,91.64,87.34,68.38, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 12:00:00,Great Britain,Great Britain,GB,69.52,115.44,82.55,63.47, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 13:00:00,Great Britain,Great Britain,GB,88.49,140.06,77.41,57.68, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 14:00:00,Great Britain,Great Britain,GB,103.17,160.18,73.4,52.52, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 15:00:00,Great Britain,Great Britain,GB,105.41,163.82,72.77,51.43, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 16:00:00,Great Britain,Great Britain,GB,107.64,168.03,72.42,51.93, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 17:00:00,Great Britain,Great Britain,GB,108.01,168.12,72.79,52.96, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 18:00:00,Great Britain,Great Britain,GB,96.68,153.66,75.68,55.63, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 19:00:00,Great Britain,Great Britain,GB,74.7,124.73,81.15,60.16, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 20:00:00,Great Britain,Great Britain,GB,53.74,95.73,86.28,64.15, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 21:00:00,Great Britain,Great Britain,GB,39.73,74.8,89.96,67.69, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 22:00:00,Great Britain,Great Britain,GB,39.85,69.94,90.04,69.02, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 23:00:00,Great Britain,Great Britain,GB,45.66,75.87,89.2,69.9, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 00:00:00,Great Britain,Great Britain,GB,47.86,78.47,88.67,70.2, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 01:00:00,Great Britain,Great Britain,GB,53.5,85.75,87.46,69.05, nationalgrideso.com; elexon.co.uk,false,
