Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Kosovo,Kosovo,XK,594.42,645.96,21.03,19.13,entsoe.eu,false,
2024-01-01 01:00:00,Kosovo,Kosovo,XK,611.99,664.71,18.68,16.92,entsoe.eu,false,
2024-01-01 02:00:00,Kosovo,Kosovo,XK,642.99,697.54,14.64,13.39,entsoe.eu,false,
2024-01-01 03:00:00,Kosovo,Kosovo,XK,660.05,715.57,12.43,11.49,entsoe.eu,false,
2024-01-01 04:00:00,Kosovo,Kosovo,XK,668.81,724.8,11.32,10.69,entsoe.eu,false,
2024-01-01 05:00:00,Kosovo,Kosovo,XK,649.69,704.78,13.7,12.77,entsoe.eu,false,
2024-01-01 06:00:00,Kosovo,Kosovo,XK,644.56,699.23,14.37,13.61,entsoe.eu,false,
2024-01-01 07:00:00,Kosovo,Kosovo,XK,642.1,696.64,14.71,13.64,entsoe.eu,false,
2024-01-01 08:00:00,Kosovo,Kosovo,XK,642.34,696.87,14.75,13.75,entsoe.eu,false,
2024-01-01 09:00:00,Kosovo,Kosovo,XK,633.87,687.75,15.88,14.89,entsoe.eu,false,
2024-01-01 10:00:00,Kosovo,Kosovo,XK,626.85,680.38,16.8,15.6,entsoe.eu,false,
2024-01-01 11:00:00,Kosovo,Kosovo,XK,627.48,681.17,16.67,15.41,entsoe.eu,false,
2024-01-01 12:00:00,Kosovo,Kosovo,XK,613.85,666.61,18.46,17.31,entsoe.eu,false,
2024-01-01 13:00:00,Kosovo,Kosovo,XK,589.66,641.15,21.51,20.17,entsoe.eu,false,
2024-01-01 14:00:00,Kosovo,Kosovo,XK,581.36,632.08,22.64,21.28,entsoe.eu,false,
2024-01-01 15:00:00,Kosovo,Kosovo,XK,568.36,618.08,24.37,22.95,entsoe.eu,false,
2024-01-01 16:00:00,Kosovo,Kosovo,XK,564.07,613.26,25.0,23.7,entsoe.eu,false,
2024-01-01 17:00:00,Kosovo,Kosovo,XK,572.43,622.13,23.92,22.6,entsoe.eu,false,
2024-01-01 18:00:00,Kosovo,Kosovo,XK,571.98,621.75,23.98,22.56,entsoe.eu,false,
2024-01-01 19:00:00,Kosovo,Kosovo,XK,588.29,639.59,21.75,20.06,entsoe.eu,false,
2024-01-01 20:00:00,Kosovo,Kosovo,XK,606.85,659.64,19.26,17.36,entsoe.eu,false,
2024-01-01 21:00:00,Kosovo,Kosovo,XK,601.76,654.38,19.91,17.59,entsoe.eu,false,
2024-01-01 22:00:00,Kosovo,Kosovo,XK,597.96,650.37,20.41,18.01,entsoe.eu,false,
2024-01-01 23:00:00,Kosovo,Kosovo,XK,612.26,665.51,18.61,16.16,entsoe.eu,false,
2024-01-02 00:00:00,Kosovo,Kosovo,XK,623.47,677.45,17.12,14.75,entsoe.eu,false,
2024-01-02 01:00:00,Kosovo,Kosovo,XK,639.11,693.94,15.11,13.02,entsoe.eu,false,
2024-01-02 02:00:00,Kosovo,Kosovo,XK,656.12,711.91,12.89,11.19,entsoe.eu,false,
2024-01-02 03:00:00,Kosovo,Kosovo,XK,650.49,706.0,13.56,11.71,entsoe.eu,false,
2024-01-02 04:00:00,Kosovo,Kosovo,XK,644.44,699.63,14.3,12.42,entsoe.eu,false,
2024-01-02 05:00:00,Kosovo,Kosovo,XK,651.2,705.94,14.1,13.33,entsoe.eu,false,
2024-01-02 06:00:00,Kosovo,Kosovo,XK,635.34,688.59,16.37,15.91,entsoe.eu,false,
2024-01-02 07:00:00,Kosovo,Kosovo,XK,615.35,667.02,19.19,18.92,entsoe.eu,false,
2024-01-02 08:00:00,Kosovo,Kosovo,XK,573.46,622.2,24.71,24.53,entsoe.eu,false,
2024-01-02 09:00:00,Kosovo,Kosovo,XK,573.84,622.73,24.69,24.5,entsoe.eu,false,
2024-01-02 10:00:00,Kosovo,Kosovo,XK,602.01,652.45,21.2,21.14,entsoe.eu,false,
2024-01-02 11:00:00,Kosovo,Kosovo,XK,618.89,670.67,18.76,18.7,entsoe.eu,false,
2024-01-02 12:00:00,Kosovo,Kosovo,XK,626.81,679.23,17.61,17.52,entsoe.eu,false,
2024-01-02 13:00:00,Kosovo,Kosovo,XK,612.59,664.08,19.45,19.32,entsoe.eu,false,
2024-01-02 14:00:00,Kosovo,Kosovo,XK,591.39,641.33,22.23,21.94,entsoe.eu,false,
2024-01-02 15:00:00,Kosovo,Kosovo,XK,562.78,610.6,26.21,25.79,entsoe.eu,false,
2024-01-02 16:00:00,Kosovo,Kosovo,XK,565.21,613.14,26.01,25.68,entsoe.eu,false,
2024-01-02 17:00:00,Kosovo,Kosovo,XK,568.41,616.66,25.49,25.25,entsoe.eu,false,
2024-01-02 18:00:00,Kosovo,Kosovo,XK,565.3,613.55,25.68,25.47,entsoe.eu,false,
2024-01-02 19:00:00,Kosovo,Kosovo,XK,576.63,625.96,24.2,23.83,entsoe.eu,false,
2024-01-02 20:00:00,Kosovo,Kosovo,XK,582.51,632.89,22.78,22.08,entsoe.eu,false,
2024-01-02 21:00:00,Kosovo,Kosovo,XK,588.89,639.88,21.68,20.97,entsoe.eu,false,
2024-01-02 22:00:00,Kosovo,Kosovo,XK,588.9,640.16,21.62,20.36,entsoe.eu,false,
2024-01-02 23:00:00,Kosovo,Kosovo,XK,621.76,675.36,17.29,15.48,entsoe.eu,false,
2024-01-03 00:00:00,Kosovo,Kosovo,XK,644.3,699.05,14.42,12.99,entsoe.eu,false,
2024-01-03 01:00:00,Kosovo,Kosovo,XK,656.44,711.96,12.86,11.53,entsoe.eu,false,
2024-01-03 02:00:00,Kosovo,Kosovo,XK,664.85,720.72,11.8,10.79,entsoe.eu,false,
2024-01-03 03:00:00,Kosovo,Kosovo,XK,668.54,724.62,11.29,10.42,entsoe.eu,false,
2024-01-03 04:00:00,Kosovo,Kosovo,XK,660.19,715.81,12.35,11.17,entsoe.eu,false,
2024-01-03 05:00:00,Kosovo,Kosovo,XK,641.4,695.49,14.85,14.68,entsoe.eu,false,
2024-01-03 06:00:00,Kosovo,Kosovo,XK,619.71,671.92,18.41,18.09,entsoe.eu,false,
2024-01-03 07:00:00,Kosovo,Kosovo,XK,602.89,653.68,20.93,20.56,entsoe.eu,false,
2024-01-03 08:00:00,Kosovo,Kosovo,XK,585.2,634.47,23.69,23.26,entsoe.eu,false,
2024-01-03 09:00:00,Kosovo,Kosovo,XK,574.25,623.32,24.68,24.11,entsoe.eu,false,
2024-01-03 10:00:00,Kosovo,Kosovo,XK,565.68,614.19,25.67,25.25,entsoe.eu,false,
2024-01-03 11:00:00,Kosovo,Kosovo,XK,565.71,614.24,25.64,25.2,entsoe.eu,false,
2024-01-03 12:00:00,Kosovo,Kosovo,XK,570.71,619.5,24.95,24.73,entsoe.eu,false,
2024-01-03 13:00:00,Kosovo,Kosovo,XK,575.44,624.44,24.27,24.2,entsoe.eu,false,
2024-01-03 14:00:00,Kosovo,Kosovo,XK,571.0,619.39,24.89,24.87,entsoe.eu,false,
