balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,20626.5,720.0,-0.0,0.5,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.59770560615246,0.0,120,-18.93098908332988,0.0,120,-52.41787363001001,0.0,120,-47.57446318305802,0.0,120,-20.35319831650281,0.0,120,-56.269276503654886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19826.5,720.0,-0.0,0.4806074709718081,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-21.644953128599226,0.0,120,-13.831080253724695,0.0,120,-37.02802045995806,0.0,120,-50.02102844023699,0.0,120,-4.231212950753851,0.0,120,-40.05738085408734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19026.5,720.0,-0.0,0.46121494194361623,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-8.611893942255644,0.0,120,-46.00698453684394,0.0,120,-55.44030144565408,0.0,120,-0.9176498796417598,0.0,120,-54.08087694589168,0.0,120,-10.658535217108378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,18226.5,720.0,-0.0,0.44182241291542435,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.477417903426165,0.0,120,-37.97950065121883,0.0,120,-45.37536399970012,0.0,120,-50.66930877229239,0.0,120,-20.692843138661395,0.0,120,-15.61369518633641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,17426.5,720.0,-0.0,0.42242988388723246,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-24.116332117052767,0.0,120,-12.707961574018336,0.0,120,-21.96122302513278,0.0,120,-22.46030839073096,0.0,120,-42.307488821933305,0.0,120,-38.28346999574595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,16626.5,720.0,-0.0,0.4030373548590406,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-56.00806016569808,0.0,120,-31.81046062834951,0.0,120,-15.622110412297337,0.0,120,-43.1624861179043,0.0,120,-36.570926776035435,0.0,120,-31.39540623744624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15826.5,720.0,-0.0,0.3836448258308487,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.90515224450041,0.0,120,-1.086975259927263,0.0,120,-58.934707792866924,0.0,120,-0.4351661685558539,0.0,120,-5.035448116329569,0.0,120,-19.371181671989085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15026.5,720.0,-0.0,0.36425229680265675,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.552330788589499,0.0,120,-20.838055413081428,0.0,120,-54.3638987274917,0.0,120,-41.46338368994938,0.0,120,-38.541994000211176,0.0,120,-2.0778480436072555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,14226.5,720.0,-0.0,0.34485976777446486,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-3.236371626679173,0.0,120,-48.10890667038885,0.0,120,-20.642160084144006,0.0,120,-57.68940092106123,0.0,120,-18.310994119687592,0.0,120,-59.61355709785978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,13426.5,720.0,-0.0,0.325467238746273,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.01940840951622,0.0,120,-24.4318235268337,0.0,120,-51.0170543251945,0.0,120,-42.09444862840652,0.0,120,-2.223360291900669,0.0,120,-32.79990199528955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,12626.5,720.0,-0.0,0.3060747097180811,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.660596784484895,0.0,120,-38.929383840230734,0.0,120,-6.225150842144722,0.0,120,-38.401799053709,0.0,120,-2.3484905811424173,0.0,120,-26.856023172928776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,11826.5,720.0,-0.0,0.2866821806898892,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.5675313358297,0.0,120,-54.321810665505026,0.0,120,-47.0989796270808,0.0,120,-51.37540084077559,0.0,120,-57.377256958271985,0.0,120,-29.227677479160874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,11026.5,720.0,-0.0,0.2672896516616973,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.93538554050091,0.0,120,-22.712510583572005,0.0,120,-44.20910213782153,0.0,120,-1.0853053315122274,0.0,120,-12.018341806925118,0.0,120,-7.662478185614527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10226.5,720.0,-0.0,0.24789712263350544,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-5.672099669464384,0.0,120,-52.38928997981943,0.0,120,-46.877538446683666,0.0,120,-47.23371629188141,0.0,120,-29.65677885934342,0.0,120,-12.15940393017642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9426.5,720.0,-0.0,0.22850459360531356,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-4.424614910774718,0.0,120,-15.550019766371172,0.0,120,-11.997011365282779,0.0,120,-33.2046361140624,0.0,120,-31.92091535546823,0.0,120,-44.46410694148844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8626.5,720.0,-0.0,0.20911206457712167,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.744906602834135,0.0,120,-28.934278740378122,0.0,120,-19.455926251854386,0.0,120,-51.60539934808601,0.0,120,-0.8385356427792856,0.0,120,-15.702919026457385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7826.5,720.0,-0.0,0.18971953554892979,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-52.89718410394576,0.0,120,-16.223213658992496,0.0,120,-35.716770833840506,0.0,120,-5.587730198845707,0.0,120,-49.06625199902857,0.0,120,-18.222102696847138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7026.5,720.0,-0.0,0.17032700652073787,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.12471381704575,0.0,120,-15.559450071374687,0.0,120,-44.83615699478003,0.0,120,-41.591846724762036,0.0,120,-41.33017755235409,0.0,120,-54.39748487881596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6226.5,720.0,-0.0,0.150934477492546,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-49.84081765128371,0.0,120,-51.9062808220517,0.0,120,-46.36838903230727,0.0,120,-0.7302731336219059,0.0,120,-7.378292053750297,0.0,120,-8.329153473365277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5426.5,720.0,-0.0,0.1315419484643541,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.213477766804374,0.0,120,-0.20776454446657322,0.0,120,-48.520158322186646,0.0,120,-31.936586556275223,0.0,120,-15.924305692571041,0.0,120,-15.617816886834415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4626.5,720.0,-0.0,0.11214941943616222,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-35.05335843919514,0.0,120,-16.800762358128647,0.0,120,-37.200737642149186,0.0,120,-22.749062881491874,0.0,120,-45.22026990501749,0.0,120,-34.59327230581225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3826.5,720.0,-0.0,0.09275689040797033,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.14741819363538,0.0,120,-26.439482020869033,0.0,120,-3.334402572168873,0.0,120,-37.822357010313695,0.0,120,-58.00728326685275,0.0,120,-46.447223955555266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3026.5,720.0,-0.0,0.07336436137977843,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.358271195981015,0.0,120,-50.54481782317605,0.0,120,-44.52471140337188,0.0,120,-23.072572083653714,0.0,120,-22.38441328938916,0.0,120,-23.9323142909253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2226.5,720.0,-0.0,0.05397183235158655,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.72737042204987,0.0,120,-54.047673281957266,0.0,120,-38.12019832948136,0.0,120,-37.81499211984319,0.0,120,-41.70794201567067,0.0,120,-41.660165769296114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
