balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,20626.5,720.0,-0.0,0.5,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.552124026685284,0.0,120,-1.147938206677721,0.0,120,-22.711706952125876,0.0,120,-30.490408598477625,0.0,120,-11.861493309706583,0.0,120,-45.61349845580635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19826.5,720.0,-0.0,0.4806074709718081,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-49.20189365475202,0.0,120,-53.86251680440697,0.0,120,-11.021530902364688,0.0,120,-14.23749503814169,0.0,120,-21.815180800637066,0.0,120,-38.99076050875632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19026.5,720.0,-0.0,0.46121494194361623,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-26.555488038958778,0.0,120,-44.179484992999434,0.0,120,-3.8766653355492875,0.0,120,-14.27397312558999,0.0,120,-1.4642321369324285,0.0,120,-22.61056291408859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,18226.5,720.0,-0.0,0.44182241291542435,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-55.07730088876102,0.0,120,-39.25169456402879,0.0,120,-56.1626317997737,0.0,120,-48.790835970343096,0.0,120,-3.0022226392296414,0.0,120,-48.78577733163733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,17426.5,720.0,-0.0,0.42242988388723246,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-34.69771245030498,0.0,120,-8.614309893550292,0.0,120,-58.86751529094558,0.0,120,-25.55974601049115,0.0,120,-2.378926951343827,0.0,120,-49.016700493591614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,16626.5,720.0,-0.0,0.4030373548590406,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.34450661425684,0.0,120,-50.69407201469254,0.0,120,-49.122773800789865,0.0,120,-56.02826087310865,0.0,120,-54.07447346468755,0.0,120,-54.69303077214717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15826.5,720.0,-0.0,0.3836448258308487,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-20.125938457615774,0.0,120,-46.531580883158625,0.0,120,-48.19580492628061,0.0,120,-13.599014740540962,0.0,120,-9.508377294566529,0.0,120,-47.62573767891155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15026.5,720.0,-0.0,0.36425229680265675,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.543514157100486,0.0,120,-25.655099871044687,0.0,120,-57.28253688243406,0.0,120,-5.2917880342908985,0.0,120,-6.243311668116373,0.0,120,-44.98064940059643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,14226.5,720.0,-0.0,0.34485976777446486,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-52.45320948205869,0.0,120,-29.390276137242946,0.0,120,-30.064226841184702,0.0,120,-26.844291836869804,0.0,120,-28.01582752632022,0.0,120,-40.99249969725662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,13426.5,720.0,-0.0,0.325467238746273,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.83176979041149,0.0,120,-18.391322722287367,0.0,120,-50.86596524746534,0.0,120,-21.63434351016351,0.0,120,-16.27295698626969,0.0,120,-23.16039431472849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,12626.5,720.0,-0.0,0.3060747097180811,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.47633408168306,0.0,120,-14.158327953812734,0.0,120,-10.208373709779483,0.0,120,-55.147633833252264,0.0,120,-19.447666435143933,0.0,120,-22.756910656097215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,11826.5,720.0,-0.0,0.2866821806898892,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-0.048449897556910315,0.0,120,-6.580965521272302,0.0,120,-20.823435896785178,0.0,120,-38.36702811424763,0.0,120,-4.5711204820258855,0.0,120,-19.703322154703276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,11026.5,720.0,-0.0,0.2672896516616973,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.698566094882949,0.0,120,-3.8453316660646353,0.0,120,-22.464222844132983,0.0,120,-43.05900165344218,0.0,120,-32.78662547917625,0.0,120,-49.652358849587166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10226.5,720.0,-0.0,0.24789712263350544,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.31108561451791,0.0,120,-4.098427393238609,0.0,120,-39.735867692900875,0.0,120,-13.459081696840816,0.0,120,-4.693569848682597,0.0,120,-46.217183014727325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9426.5,720.0,-0.0,0.22850459360531356,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.6595868729777,0.0,120,-44.09645439133802,0.0,120,-4.706500325423333,0.0,120,-52.97471593053119,0.0,120,-29.527751986648255,0.0,120,-37.17321338609723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8626.5,720.0,-0.0,0.20911206457712167,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.954069778532585,0.0,120,-7.062539372187768,0.0,120,-19.795342293566875,0.0,120,-6.726175146533102,0.0,120,-59.48617879151581,0.0,120,-28.35131608628951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7826.5,720.0,-0.0,0.18971953554892979,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.909449760077216,0.0,120,-27.942793182929023,0.0,120,-42.147180259184765,0.0,120,-59.15443456669334,0.0,120,-26.790276841050332,0.0,120,-54.24422787120266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7026.5,720.0,-0.0,0.17032700652073787,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-20.916336068860033,0.0,120,-49.720044243939206,0.0,120,-24.339152477667497,0.0,120,-24.207700928574873,0.0,120,-5.214694633309039,0.0,120,-26.03878528260107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6226.5,720.0,-0.0,0.150934477492546,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.85598576479268,0.0,120,-6.237232174680781,0.0,120,-32.63306247320007,0.0,120,-16.88715656460724,0.0,120,-29.55965850640548,0.0,120,-59.98435580246479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5426.5,720.0,-0.0,0.1315419484643541,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-34.839187664522385,0.0,120,-28.285103653940308,0.0,120,-10.935131236148397,0.0,120,-6.071355322107161,0.0,120,-39.60713442948126,0.0,120,-39.41742547049255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4626.5,720.0,-0.0,0.11214941943616222,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.76053137945296,0.0,120,-20.517026560184583,0.0,120,-40.68852520127208,0.0,120,-57.08159941560949,0.0,120,-28.295522513066135,0.0,120,-26.58869695345041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3826.5,720.0,-0.0,0.09275689040797033,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.203201125017515,0.0,120,-14.595291244612525,0.0,120,-45.94510223520555,0.0,120,-33.02123533871069,0.0,120,-59.987867910198425,0.0,120,-22.45877159713634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3026.5,720.0,-0.0,0.07336436137977843,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.235563036775115,0.0,120,-0.3692457546160832,0.0,120,-42.66208108301975,0.0,120,-17.80570047650845,0.0,120,-47.29134257879498,0.0,120,-15.529695832931296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2226.5,720.0,-0.0,0.05397183235158655,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.348848277227633,0.0,120,-11.164292980086481,0.0,120,-48.062494546978556,0.0,120,-26.67832100238026,0.0,120,-33.94300859127304,0.0,120,-1.178282620104023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
