balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.64157035062012,0.0,120,-20.750989997388835,0.0,120,-0.021493969397543555,0.0,120,-41.43240085965864,0.0,120,-47.672944321619916,0.0,120,-42.740449050322155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.49439115446831,0.0,120,-7.121167824104175,0.0,120,-48.07984917089493,0.0,120,-35.82614802030524,0.0,120,-38.93330136977147,0.0,120,-12.227271935959582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.8773665197363907,0.0,120,-59.64864166235736,0.0,120,-32.15341702037637,0.0,120,-29.9007353344509,0.0,120,-54.99702501623778,0.0,120,-45.4407746193839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.073734291911677,0.0,120,-18.15914290938795,0.0,120,-11.400809319693,0.0,120,-37.97961032023924,0.0,120,-37.2011310553724,0.0,120,-41.51031784841908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.305715308287105,0.0,120,-35.59513846299907,0.0,120,-53.56257266993463,0.0,120,-52.395626431502215,0.0,120,-23.87656112737859,0.0,120,-21.496928614504263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.87163537728449,0.0,120,-49.59924027242401,0.0,120,-41.236767065751096,0.0,120,-28.106657602577954,0.0,120,-35.872685819107474,0.0,120,-54.25113316003031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.94790669379567,0.0,120,-50.43874908364862,0.0,120,-54.11147251612662,0.0,120,-37.22482587377691,0.0,120,-28.97275264814221,0.0,120,-49.864827759610606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.962872264512825,0.0,120,-10.126236537658643,0.0,120,-16.094951635477827,0.0,120,-38.131988268654254,0.0,120,-58.95858478002704,0.0,120,-3.701789266622557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.178147979398815,0.0,120,-38.594454193439276,0.0,120,-8.923853397874543,0.0,120,-34.689874313098926,0.0,120,-20.46311316667339,0.0,120,-44.25627015367999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.717297533836367,0.0,120,-58.38969125505513,0.0,120,-53.13823784041387,0.0,120,-16.973229734119244,0.0,120,-20.61063819862254,0.0,120,-51.245740785788705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-21.55327386188305,0.0,120,-16.566690023852505,0.0,120,-26.36323457491073,0.0,120,-36.91364422002586,0.0,120,-37.39858130836604,0.0,120,-52.858601391795176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.003811085051517,0.0,120,-51.36282516937808,0.0,120,-51.791336618585326,0.0,120,-48.40348495821453,0.0,120,-32.354807142986466,0.0,120,-0.38597151907560523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-56.13555466326498,0.0,120,-56.63618858329763,0.0,120,-19.32392715461213,0.0,120,-26.586033768324427,0.0,120,-43.08990157836989,0.0,120,-32.178248217575664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.015016667805100182,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.958478359823,0.0,120,-35.57173706305938,0.0,120,-58.857692075218345,0.0,120,-41.475529240741245,0.0,120,-30.727145618558186,0.0,120,-54.39071174761241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.015016667805100182,4.752550110297126,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-0.6983019420727477,0.0,120,-18.071949331889726,0.0,120,-9.14901057702073,0.0,120,-39.53621658597875,0.0,120,-32.7838777788199,0.0,120,-17.702930052896193,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015016667805100182,10.81200081967213,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-14.628700593800481,0.0,120,-47.462326318228385,0.0,120,-57.52236936296476,0.0,120,-52.46867346261905,0.0,120,-38.69234234455496,0.0,120,-40.76854340540818,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015016667805100182,10.81200081967213,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-1.81781741500477,0.0,120,-38.318945571376474,0.0,120,-26.667220725701977,0.0,120,-21.35821531230238,0.0,120,-31.898967949359022,0.0,120,-29.660765252536777,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015016667805100182,10.81200081967213,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-14.136222064180226,0.0,120,-4.534997207253073,0.0,120,-14.551490416888909,0.0,120,-39.17753580274785,0.0,120,-55.951630960260644,0.0,120,-43.19122156273752,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015016667805100182,10.81200081967213,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-57.397169682698134,0.0,120,-32.80137537674506,0.0,120,-3.6891764613147737,0.0,120,-19.27582721060337,0.0,120,-53.24208919539065,0.0,120,-14.511620249282956,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015016667805100182,10.81200081967213,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-44.78732635747306,0.0,120,-30.94911016218425,0.0,120,-9.941242727854974,0.0,120,-11.443636047945665,0.0,120,-53.59965498993028,0.0,120,-33.342285195790126,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015016667805100182,10.81200081967213,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-47.890206490035276,0.0,120,-40.632928631378284,0.0,120,-46.129943011469216,0.0,120,-42.269849068515256,0.0,120,-30.33506343053379,0.0,120,-0.6261090195569463,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015016667805100182,10.81200081967213,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-4.354329388049409,0.0,120,-58.064203512579674,0.0,120,-16.846906329692747,0.0,120,-45.482748717641606,0.0,120,-33.06169559100241,0.0,120,-11.883050490064086,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015016667805100182,10.78196748406193,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-3.3734449413871093,0.0,118,-39.62982547562668,0.0,120,-10.799366950929725,0.0,120,-51.22058510067676,0.0,120,-36.817206292756396,0.0,120,-7.133224294019744,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015016667805100182,10.78196748406193,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-1.516336782164729,0.0,118,-57.16302205023621,0.0,120,-27.081456432503742,0.0,120,-42.501468582287735,0.0,120,-17.78362949483695,0.0,120,-43.83793863034756,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
