balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.08333120212156,0.0,120,-47.30907050349932,0.0,120,-56.487793613555496,0.0,120,-2.0304578109261917,0.0,120,-33.62383605042059,0.0,120,-31.984218627830046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-49.21282465352603,0.0,120,-56.41173896993706,0.0,120,-17.83263493644385,0.0,120,-30.804216264454315,0.0,120,-19.061677082840372,0.0,120,-17.786688797587807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.09601845802531,0.0,120,-4.916944881053165,0.0,120,-13.199328546831605,0.0,120,-27.53325253795442,0.0,120,-43.73057173944368,0.0,120,-4.081314855758709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-48.22478905033541,0.0,120,-22.65544158076278,0.0,120,-59.52097723675754,0.0,120,-14.243554800687795,0.0,120,-51.88404924724476,0.0,120,-9.925770110054899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-45.72358131312156,0.0,120,-1.750641794503296,0.0,120,-3.1528774559564665,0.0,120,-34.012427510640975,0.0,120,-8.998106134561247,0.0,120,-47.34023112630266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.21736987917025,0.0,120,-2.3043043959243192,0.0,120,-19.618165923340758,0.0,120,-57.3896737928129,0.0,120,-31.586866698766606,0.0,120,-26.487370504760765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-21.076331193576156,0.0,120,-40.91608504443822,0.0,120,-59.50664158813727,0.0,120,-51.07273648122437,0.0,120,-26.2043307728621,0.0,120,-57.115453325482406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.85981276865724,0.0,120,-17.675712596475705,0.0,120,-12.207820984663174,0.0,120,-48.8561274461803,0.0,120,-7.828183099698334,0.0,120,-50.03658317795127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.736257661380375,0.0,120,-6.3112570457533534,0.0,120,-54.55849136940299,0.0,120,-24.69709331485111,0.0,120,-22.70997444555644,0.0,120,-44.29514128905113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.64368981595596,0.0,120,-3.655810561861641,0.0,120,-21.07140064389214,0.0,120,-33.93982943346764,0.0,120,-46.83058435912032,0.0,120,-40.98653236761029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.56136161106606,0.0,120,-41.06316365076091,0.0,120,-0.7181130723611684,0.0,120,-5.251099895772016,0.0,120,-34.635627214265575,0.0,120,-17.853100832606604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-24.200118258206928,0.0,120,-42.10251096887036,0.0,120,-17.73864225117029,0.0,120,-11.822221200677605,0.0,120,-27.725778702858385,0.0,120,-59.68024203667294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-19.108256100585745,0.0,120,-26.09489250873518,0.0,120,-17.087243263384625,0.0,120,-30.145848550607262,0.0,120,-20.15643030229037,0.0,120,-5.076092838207929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.07236327755009109,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-35.05441394135426,0.0,120,-38.791914133232794,0.0,120,-13.947679561844472,0.0,120,-59.59587000927409,0.0,120,-25.218237477717352,0.0,120,-15.99945124409853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.07236327755009109,22.75716534034037,799.2,0.0,314.4849999999997,1.0,888.0,-279262.6799999997,120,-10.533084418022478,0.0,120,-52.17490051358361,0.0,120,-24.01593520127123,0.0,120,-6.188952502244883,0.0,118,-55.03587510040491,0.0,120,-39.21980203657989,0.0,0.0,0.0,0.0,0.0,-279262.6799999997,-279262.6799999997,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.07236327755009109,51.9568332809654,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-34.26370681642456,0.0,120,-27.122935808465535,0.0,120,-57.70936719155303,0.0,120,-15.993644434661112,0.0,118,-50.17459633566203,0.0,120,-41.230911542307894,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.07236327755009109,51.9568332809654,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-37.98940076860941,0.0,120,-35.09727178991677,0.0,120,-36.34546848372182,0.0,120,-10.09731752390024,0.0,118,-33.59809622875864,0.0,120,-42.14326517334794,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.07236327755009109,51.9568332809654,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-46.35508430269805,0.0,120,-21.001218671792397,0.0,120,-30.372473633243384,0.0,120,-10.96442894132194,0.0,118,-33.22415166212864,0.0,120,-21.99734115350386,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.07236327755009109,51.9568332809654,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-45.79711736707927,0.0,120,-39.866041003168895,0.0,120,-0.7610796143599807,0.0,120,-23.868113053239068,0.0,118,-58.620474411346834,0.0,120,-46.92933953166621,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.07236327755009109,51.9568332809654,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-50.19004012745408,0.0,120,-48.12072549114833,0.0,120,-25.55356149846456,0.0,120,-52.340704499287426,0.0,118,-57.082194018694615,0.0,120,-46.12084760860137,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.07236327755009109,52.10155983606558,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-21.212932710029154,0.0,120,-21.92760613607971,0.0,120,-35.45022828074266,0.0,120,-34.953987142195345,0.0,120,-43.210297733685195,0.0,120,-48.434802843063764,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.07236327755009109,52.10155983606558,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-33.81835346867774,0.0,120,-38.562375654623345,0.0,120,-43.47811851488162,0.0,120,-28.786962495383047,0.0,120,-14.35208668726583,0.0,120,-32.529598152862654,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.07236327755009109,52.10155983606558,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-17.719968711253998,0.0,120,-52.16137941509695,0.0,120,-4.561166997429229,0.0,120,-33.250932719110835,0.0,120,-32.28409882305481,0.0,120,-28.631494031755697,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.07236327755009109,52.10155983606558,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-57.446971857312334,0.0,120,-18.671250697738376,0.0,120,-25.922999846428255,0.0,120,-44.14699687371089,0.0,120,-8.942134005193589,0.0,120,-50.70011530380221,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
