balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-23.783168116540836,0.0,120,-38.378213370324914,0.0,120,-52.411716197538325,0.0,120,-33.3272199287582,0.0,120,-9.71639019379178,0.0,120,-31.35152358481702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.32233269362444,0.0,120,-39.482943631997664,0.0,120,-18.966554141080938,0.0,120,-7.2940824219056495,0.0,120,-42.05865199389014,0.0,120,-17.57676369819933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.78433016447584,0.0,120,-18.61680226427081,0.0,120,-51.21742658823224,0.0,120,-1.6600320469862684,0.0,120,-1.010048931456129,0.0,120,-10.852586071304477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-34.30703261235558,0.0,120,-36.91910386212021,0.0,120,-56.55332660999553,0.0,120,-8.285860080159352,0.0,120,-31.214530310678718,0.0,120,-36.20992567602829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-15.657468744331805,0.0,120,-46.34113802893559,0.0,120,-7.6075513743958485,0.0,120,-17.768793434372398,0.0,120,-55.1489496041078,0.0,120,-19.026136614564535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-24.753638864545046,0.0,120,-59.837200361961415,0.0,120,-49.43836740589289,0.0,120,-38.11717690723453,0.0,120,-59.08900720654755,0.0,120,-53.38804124493202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-0.6343500439502558,0.0,120,-47.938244721295895,0.0,120,-19.336227964142154,0.0,120,-35.66626640040108,0.0,120,-9.074796341074142,0.0,120,-33.27162407604411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.319233727409035,0.0,120,-7.043835950147814,0.0,120,-3.9286248308403615,0.0,120,-11.734209242889722,0.0,120,-2.2973729201875637,0.0,120,-52.81006562973965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-49.963844624162554,0.0,120,-41.439743543620786,0.0,120,-10.404347966170803,0.0,120,-42.23584728496139,0.0,120,-34.881327495814084,0.0,120,-19.723155329703545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-35.682104608463156,0.0,120,-46.63997835832678,0.0,120,-44.78610132591542,0.0,120,-28.07834834243304,0.0,120,-8.051041147245556,0.0,120,-21.700538764575153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.869949935565394,0.0,120,-2.281217988212323,0.0,120,-27.746140377076497,0.0,120,-30.004436611899894,0.0,120,-6.63996725214237,0.0,120,-26.453128513389203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.05230790476639,0.0,120,-17.5784028710774,0.0,120,-31.380647176511317,0.0,120,-52.93205670561125,0.0,120,-56.7581714162828,0.0,120,-6.307743645189738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.12118792558479,0.0,120,-2.5602071658792025,0.0,120,-34.98750311852316,0.0,120,-49.80768533414906,0.0,120,-38.07110997008951,0.0,120,-16.814127895813307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.23648368055555555,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.8882617750487,0.0,120,-33.55674914854285,0.0,120,-35.635954675560434,0.0,120,-39.70469183211951,0.0,120,-17.869382683128364,0.0,120,-2.9644999483177514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.23648368055555555,74.84353764062492,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-56.60755005042331,0.0,120,-37.39902817620731,0.0,120,-22.322785498251022,0.0,120,-22.715144559759807,0.0,120,-55.460411826830075,0.0,120,-9.22853925429219,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23648368055555555,170.26825,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-45.27180401906873,0.0,120,-12.011734628820252,0.0,120,-43.78950439533271,0.0,120,-17.30160806181396,0.0,120,-43.47770622729419,0.0,120,-23.222231943855775,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23648368055555555,170.26825,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-17.019759580149994,0.0,120,-24.142404768189472,0.0,120,-58.85030399008028,0.0,120,-21.790635534312862,0.0,120,-42.006303223493255,0.0,120,-57.49315411721945,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23648368055555555,170.26825,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-12.629090851580553,0.0,120,-13.986910229131567,0.0,120,-44.090445860338896,0.0,120,-41.68979258915368,0.0,120,-4.8430133497674905,0.0,120,-12.435075283070267,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23648368055555555,170.26825,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-41.85388601232309,0.0,120,-47.83588553489196,0.0,120,-16.277329840267925,0.0,120,-17.914342096204578,0.0,120,-11.905508254744818,0.0,120,-43.67958742385197,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23648368055555555,170.26825,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-56.15372295647333,0.0,120,-15.341336872683717,0.0,120,-55.54800132807803,0.0,120,-14.07058251932803,0.0,120,-45.08526510754559,0.0,120,-6.50349240473968,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23648368055555555,170.26825,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-13.863570858672132,0.0,120,-26.80007193102557,0.0,120,-31.53840541568754,0.0,120,-9.182782296278738,0.0,120,-23.70952057760703,0.0,120,-57.90395564605568,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23648368055555555,170.26825,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-11.28142285355586,0.0,120,-23.21045341108419,0.0,120,-16.97831614669046,0.0,120,-40.92761572619695,0.0,120,-50.747891657928776,0.0,120,-30.27994100312547,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23648368055555555,170.26825,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-29.974926988670422,0.0,120,-7.277673374666724,0.0,120,-45.513075407706225,0.0,120,-6.986110726434765,0.0,120,-57.3343374732938,0.0,120,-38.42360399077392,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23648368055555555,170.26825,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-19.944399466687482,0.0,120,-22.230253114659007,0.0,120,-56.86321677143224,0.0,120,-19.451955631217103,0.0,120,-59.14368376708591,0.0,120,-10.429772820378096,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
