balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-27.26651147989199,0.0,120,-51.22415964851006,0.0,120,-52.33152034712741,0.0,120,-13.3979430201219,0.0,120,-29.476995482767943,0.0,120,-59.847544981887296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-48.459261054083726,0.0,120,-47.58712411132396,0.0,120,-41.95093542737304,0.0,120,-4.6524353816881225,0.0,120,-4.674115339787946,0.0,120,-52.136546398144645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.53617467866172,0.0,120,-49.436168367715084,0.0,120,-42.36461499243809,0.0,120,-27.094153488604974,0.0,120,-36.55735074925658,0.0,120,-55.565875328378525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.94938123678007,0.0,120,-35.07140651400627,0.0,120,-4.23718861326045,0.0,120,-52.53242729628856,0.0,120,-49.443476602580446,0.0,120,-45.71046122615262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-4.104886736987985,0.0,120,-15.272353715789428,0.0,120,-48.98111473292735,0.0,120,-38.343278824764454,0.0,120,-12.162110903784855,0.0,120,-15.03065669549452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-0.5520128474782537,0.0,120,-49.84092990201891,0.0,120,-0.07738097910273689,0.0,120,-7.393173558170307,0.0,120,-47.22813115476499,0.0,120,-21.505617494103486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-56.793361608259346,0.0,120,-53.854460877553585,0.0,120,-58.27132031162443,0.0,120,-13.020925003347836,0.0,120,-12.898170575161906,0.0,120,-9.247598455330232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.34732245386775,0.0,120,-21.382651194253242,0.0,120,-56.246453854640386,0.0,120,-5.171658673600293,0.0,120,-12.234872475319962,0.0,120,-50.38149526545316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-3.7389098490774675,0.0,120,-55.01369478233743,0.0,120,-39.23569709355616,0.0,120,-50.45294961952256,0.0,120,-51.353596714231976,0.0,120,-43.04242071255487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.35522221751626,0.0,120,-47.53364742620454,0.0,120,-49.912341604756314,0.0,120,-35.79201916378088,0.0,120,-1.1643495445565244,0.0,120,-44.651011634373305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-8.923018900405298,0.0,120,-35.656943453835154,0.0,120,-27.2613276272553,0.0,120,-47.10014446295187,0.0,120,-22.96632302632782,0.0,120,-32.26172203083268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-25.777797170480618,0.0,120,-59.63245843251881,0.0,120,-57.94528325622446,0.0,120,-41.476016832908726,0.0,120,-8.692759736490201,0.0,120,-44.735229719745064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.496987464044967,0.0,120,-11.889464835062464,0.0,120,-0.8388924232075068,0.0,120,-25.88673447432417,0.0,120,-45.1954228469619,0.0,120,-19.63113542148513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.040471477686703096,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.989879711083492,0.0,120,-59.84361465749294,0.0,120,-58.233938463665886,0.0,120,-25.526386868106243,0.0,120,-43.000017305897764,0.0,120,-17.236743617121785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.040471477686703096,12.808615615676215,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-1.3485585916154808,0.0,120,-54.06153392748239,0.0,120,-11.290079857820306,0.0,120,-8.370404818500418,0.0,120,-38.28415500904627,0.0,120,-35.37573149544874,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.040471477686703096,29.139463934426228,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-26.97474233581663,0.0,120,-40.982880045355124,0.0,120,-22.04211607460094,0.0,120,-18.038004444221055,0.0,120,-46.18338781857522,0.0,120,-0.7646417166639363,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.040471477686703096,29.139463934426228,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-53.32603701438704,0.0,120,-29.44900268156392,0.0,120,-43.288411029121406,0.0,120,-39.945758055601715,0.0,120,-43.480355659831524,0.0,120,-48.58577771223163,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.040471477686703096,29.139463934426228,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-44.154797817482425,0.0,120,-32.03750493586596,0.0,120,-3.674016625454395,0.0,120,-39.356005795684425,0.0,120,-40.09473221033095,0.0,120,-23.93912598499394,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.040471477686703096,29.139463934426228,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-12.078740711428754,0.0,120,-34.08066062643777,0.0,120,-47.6284804192765,0.0,120,-0.05485950566502806,0.0,120,-47.84745378007413,0.0,120,-41.86741000588083,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.040471477686703096,29.139463934426228,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-3.2179382794954847,0.0,120,-32.91062476863191,0.0,120,-42.16605663764455,0.0,120,-13.34951515988079,0.0,120,-3.3602186952421653,0.0,120,-41.49709184920967,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.040471477686703096,29.139463934426228,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-20.517656906911487,0.0,120,-57.271510189556075,0.0,120,-28.688519577396953,0.0,120,-43.46225010228014,0.0,120,-8.368350545220128,0.0,120,-2.112575619184085,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.040471477686703096,29.139463934426228,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-5.923911247732525,0.0,120,-34.0642859188746,0.0,120,-32.296356551210025,0.0,120,-56.555073120188084,0.0,120,-17.358337180196678,0.0,120,-46.645835083504004,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.040471477686703096,29.139463934426228,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-7.055716373513725,0.0,120,-40.36932948600303,0.0,120,-27.595420827459872,0.0,120,-58.603665629720076,0.0,120,-24.535190333187874,0.0,120,-17.12269831483086,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.040471477686703096,29.139463934426228,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-34.82425146464685,0.0,120,-39.532030815517814,0.0,120,-56.84715532410318,0.0,120,-35.442808910847624,0.0,120,-44.27611132557585,0.0,120,-36.494628123928166,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
