balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-52.261529582741815,0.0,120,-44.53527960793736,0.0,120,-33.948971179934986,0.0,120,-2.021029252898401,0.0,120,-11.238246704993403,0.0,120,-24.938723295610025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.55671501614973,0.0,120,-54.21060952816606,0.0,120,-51.751085850071355,0.0,120,-45.86410749249086,0.0,120,-15.687451719266882,0.0,120,-39.58313912369612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-26.365638458435296,0.0,120,-3.1994487717770137,0.0,120,-5.585098023851433,0.0,120,-56.50827423866583,0.0,120,-29.433368847060404,0.0,120,-19.889268950095214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.78886669476701,0.0,120,-47.424488385703185,0.0,120,-43.63590537309275,0.0,120,-35.47181654828357,0.0,120,-52.69599707958753,0.0,120,-8.66883369171183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-11.885005260266539,0.0,120,-33.73386074272532,0.0,120,-41.0282331040035,0.0,120,-14.966189496052873,0.0,120,-23.407625543022462,0.0,120,-6.739529165204699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-58.032814783158116,0.0,120,-47.50532628076624,0.0,120,-56.214175790181194,0.0,120,-27.107563158987343,0.0,120,-37.746759693242424,0.0,120,-54.55830511811297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.44275692045317,0.0,120,-32.238160660515135,0.0,120,-1.934904818908172,0.0,120,-32.47231490956267,0.0,120,-52.16282502961589,0.0,120,-30.9321762675134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.66369898743006,0.0,120,-24.12745552630456,0.0,120,-56.91847986778955,0.0,120,-1.0618471363540216,0.0,120,-11.812806531554207,0.0,120,-7.378888773748131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.800440372690915,0.0,120,-58.84378441260618,0.0,120,-25.251453159448115,0.0,120,-9.730968188045683,0.0,120,-36.589622073763465,0.0,120,-58.701585118125664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.85869599591591,0.0,120,-41.60848460399798,0.0,120,-11.949793148267007,0.0,120,-48.70335128905021,0.0,120,-30.602967161380402,0.0,120,-50.39020563332167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.32182955046138,0.0,120,-31.54561902610643,0.0,120,-2.2990797995656687,0.0,120,-18.614221959713092,0.0,120,-58.57557774097879,0.0,120,-39.97944057002552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.107773209583891,0.0,120,-19.187347338046244,0.0,120,-3.16049147759504,0.0,120,-28.565367736255585,0.0,120,-41.716254278193276,0.0,120,-27.99871176398791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.843940246259265,0.0,120,-36.42903890682074,0.0,120,-0.6049396529925355,0.0,120,-43.906280030405945,0.0,120,-27.866164302354377,0.0,120,-0.9337020750395153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.1935664913479053,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.80186482020503,0.0,120,-53.0286950353987,0.0,120,-36.48772797143064,0.0,120,-49.087055542596595,0.0,120,-37.12989954375968,0.0,120,-7.644505247776134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.1935664913479053,61.26089101424174,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-22.468823048303747,0.0,120,-4.41173197698779,0.0,120,-12.120032994983664,0.0,120,-33.84473040803249,0.0,120,-2.669874208315557,0.0,120,-39.527670138384444,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1935664913479053,139.36787377049183,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.747594315240285,0.0,120,-53.55385558223086,0.0,120,-4.097765724535021,0.0,120,-47.16005612839367,0.0,120,-4.4308399962950995,0.0,120,-11.632483390695336,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1935664913479053,139.36787377049183,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-28.399111399595192,0.0,120,-59.30673821964865,0.0,120,-27.481457627240825,0.0,120,-16.421156195384423,0.0,120,-43.62742538452961,0.0,120,-48.793946003688546,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1935664913479053,139.36787377049183,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-37.461490453663245,0.0,120,-16.53958227772662,0.0,120,-15.192423938265145,0.0,120,-4.727076097385119,0.0,120,-0.9585237704851846,0.0,120,-22.307262267513373,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1935664913479053,139.36787377049183,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-20.883146516782197,0.0,120,-36.83861259002258,0.0,120,-36.318142340265126,0.0,120,-5.2124242388630915,0.0,120,-22.95429285327131,0.0,120,-47.36304218101693,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1935664913479053,139.36787377049183,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-31.55461466183246,0.0,120,-54.33678252034782,0.0,120,-48.0677967219838,0.0,120,-13.504932633975592,0.0,120,-34.091846405529935,0.0,120,-11.753983006471927,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1935664913479053,139.36787377049183,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-10.120219209310102,0.0,120,-30.247943626440552,0.0,120,-37.740620954033595,0.0,120,-2.573342637849696,0.0,120,-16.396649716461592,0.0,120,-57.24698807101718,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1935664913479053,139.36787377049183,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-20.70222702983611,0.0,120,-9.932070603559225,0.0,120,-35.426195945738904,0.0,120,-56.79933642234641,0.0,120,-32.32666611437345,0.0,120,-37.91044169577595,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1935664913479053,139.36787377049183,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-7.352532778530163,0.0,120,-21.910711079778086,0.0,120,-13.284227365069693,0.0,120,-10.321066144602572,0.0,120,-34.25314989123638,0.0,120,-1.0091028234709132,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1935664913479053,139.36787377049183,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-51.88763539786946,0.0,120,-0.02172963393246352,0.0,120,-13.353668268672866,0.0,120,-49.944177232663804,0.0,120,-29.350194267361356,0.0,120,-41.01511827456196,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
