balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-4.014483999797598,0.0,120,-4.630725707145286,0.0,120,-28.634763550194183,0.0,120,-59.61600109480796,0.0,120,-23.295747611239076,0.0,120,-35.60415284443467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.34828511150268,0.0,120,-54.184073814439294,0.0,120,-5.326681556304534,0.0,120,-30.754528905858052,0.0,120,-6.900129499943668,0.0,120,-52.77335355365961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-25.185329610650825,0.0,120,-11.267091695042737,0.0,120,-16.181238360800123,0.0,120,-45.48616769052616,0.0,120,-11.737837014187766,0.0,120,-7.775079483018303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.1871868608408431,0.0,120,-20.157789338264088,0.0,120,-16.41467215820755,0.0,120,-55.84662141188006,0.0,120,-53.70714976828637,0.0,120,-9.701362658403905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.8275938497228,0.0,120,-51.824472055646126,0.0,120,-45.91287343758396,0.0,120,-7.524081353095077,0.0,120,-24.66114431243417,0.0,120,-1.4122203600185235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.734711103205405,0.0,120,-25.451425119281737,0.0,120,-34.16029316159421,0.0,120,-34.51348149599385,0.0,120,-21.379537866284643,0.0,120,-32.99978217968631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-55.322028796559216,0.0,120,-53.791448501368684,0.0,120,-53.398037507233056,0.0,120,-30.404078645249747,0.0,120,-53.264328884199244,0.0,120,-35.820236106084835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-26.96108740101554,0.0,120,-50.700374115779496,0.0,120,-0.7662709445485927,0.0,120,-10.812090181237199,0.0,120,-10.511365628207479,0.0,120,-17.934418875682923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.2782520131281,0.0,120,-59.70556676660626,0.0,120,-18.075736754445998,0.0,120,-59.67516435570721,0.0,120,-52.28503577375212,0.0,120,-9.161561575791346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.821676181164776,0.0,120,-8.75101315953842,0.0,120,-57.270087344252005,0.0,120,-9.709508900159689,0.0,120,-59.575725275187295,0.0,120,-58.01282934191597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-30.987668206395913,0.0,120,-42.76214967654221,0.0,120,-12.70731508676542,0.0,120,-13.963751115403149,0.0,120,-36.45310479789574,0.0,120,-3.666963119011739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,718.0,-0.0,0.12226409749020249,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-19.036290462404843,0.0,120,-27.52375467468978,0.0,120,-49.43615203084442,0.0,120,-4.782965131255901,0.0,120,-47.607454762911864,0.0,120,-22.031249166078748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,2050.5722222222225,718.0,-0.0,0.08801985784348094,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-51.18877425287575,0.0,120,-38.401490226225576,0.0,120,-46.05023042610857,0.0,120,-39.24276168778545,0.0,120,-52.22712617237712,0.0,120,-12.018018340235813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,1252.7944444444447,718.0,-0.0,0.0537756181967594,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-2.5917147090433557,0.0,120,-57.12702090504774,0.0,120,-26.380973948443774,0.0,120,-59.98110975187469,0.0,120,-53.89587271434666,0.0,120,-49.29188633820937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,455.016666666667,409.5150000000003,-0.0,0.019531378550037858,0.1968311407103825,60.71945444204228,799.2,0.0,308.4849999999997,1.0,888.0,-273934.6799999997,118,-46.74281698698955,0.0,120,-14.697617078741018,0.0,120,-46.02897859264213,0.0,120,-17.76218764804593,0.0,120,-1.1928771860615894,0.0,120,-10.572603936274572,0.0,0.0,0.0,0.0,0.0,-273934.6799999997,-273934.6799999997,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.32475903005462,799.2,0.0,718.0,1.0,888.0,-637584.0,118,-37.19195313063878,0.0,120,-20.04493094798994,0.0,120,-48.745761714331216,0.0,120,-47.457079776678825,0.0,120,-16.300182262555545,0.0,120,-21.53820374212701,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-36.25439908570252,0.0,120,-0.8962936046627701,0.0,120,-59.596607955246135,0.0,120,-22.490918666822473,0.0,120,-49.05670597948101,0.0,120,-56.381319263350704,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-20.964860380581296,0.0,120,-31.015721948898864,0.0,120,-10.123499061722205,0.0,120,-21.59484403637505,0.0,120,-17.668498089839712,0.0,120,-7.830774186736543,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-47.7200219530627,0.0,120,-10.223514031192412,0.0,120,-45.427900695796005,0.0,120,-44.065857534814654,0.0,120,-30.173814641005762,0.0,120,-53.30558817847715,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-46.48010632039167,0.0,120,-47.91997236224434,0.0,120,-0.9288591741378394,0.0,120,-56.13769725848276,0.0,120,-23.432982966298887,0.0,120,-30.634679829594596,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-7.630674367723536,0.0,120,-54.49269051223205,0.0,120,-37.03108461742796,0.0,120,-6.193983841521269,0.0,120,-35.56478041366294,0.0,120,-49.9904987999852,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-37.64288179281116,0.0,120,-46.99898100923659,0.0,120,-22.856011683472023,0.0,120,-18.856750311306254,0.0,120,-34.51178488371836,0.0,120,-43.18819187062722,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-1.093357924902023,0.0,120,-0.32851452749715904,0.0,120,-57.89431088520805,0.0,120,-7.835695529307605,0.0,120,-43.59766447937164,0.0,120,-25.447688224400093,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-2.0064818007548912,0.0,120,-36.7557107449114,0.0,120,-4.065201128345343,0.0,120,-20.630934816051706,0.0,120,-37.54079353462085,0.0,120,-49.25213761779148,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
