balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-11.805330575997754,0.0,120,-36.80772332625091,0.0,120,-53.6135125036837,0.0,120,-22.797737193326185,0.0,120,-21.739374959108574,0.0,120,-42.88483906530005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.26431449039561,0.0,120,-52.269051272622605,0.0,120,-41.478419056781135,0.0,120,-58.82583983283329,0.0,120,-12.80185343215119,0.0,120,-38.838375048222225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.3807868076636396,0.0,120,-24.78942377822603,0.0,120,-8.516284343925554,0.0,120,-33.18135181426267,0.0,120,-59.279249135966616,0.0,120,-47.13740367738239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.189086791838523,0.0,120,-35.63103420625642,0.0,120,-3.7304825513208706,0.0,120,-44.59819060679307,0.0,120,-21.880237690543176,0.0,120,-2.008549099749468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.815952189208296,0.0,120,-0.21943615801356842,0.0,120,-30.28273266975321,0.0,120,-46.73513239999824,0.0,120,-31.262436618007957,0.0,120,-2.2036682934092156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.625502196126742,0.0,120,-27.584299843145885,0.0,120,-33.36645039324988,0.0,120,-1.5835162302744799,0.0,120,-43.64738542951896,0.0,120,-50.87592986979051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.31505857633563,0.0,120,-50.65171231245358,0.0,120,-40.86919865860713,0.0,120,-28.33149327751651,0.0,120,-0.1276248287902937,0.0,120,-17.05722686571278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.545102559925276,0.0,120,-30.20012634366274,0.0,120,-1.0480856288734963,0.0,120,-4.267621538927395,0.0,120,-19.536083481927864,0.0,120,-41.19369659837334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.778198741046005,0.0,120,-24.50776267754019,0.0,120,-37.654231534911744,0.0,120,-18.063692430658392,0.0,120,-40.80312278187054,0.0,120,-27.75035521919382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.12078998373321,0.0,120,-27.56968312329386,0.0,120,-56.464724092670444,0.0,120,-26.320317532403838,0.0,120,-20.14152445883973,0.0,120,-47.97129146388733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,718.0,-0.0,0.15660372499109318,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-11.852537548070316,0.0,120,-5.465002769407401,0.0,118,-17.592729799902433,0.0,120,-57.40128925186948,0.0,120,-38.571062629814406,0.0,120,-21.218185177778558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,2850.5722222222225,718.0,-0.0,0.12235948534437163,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-57.63504896678799,0.0,120,-52.40032360076185,0.0,118,-25.76115655062771,0.0,120,-13.905267420812882,0.0,120,-21.753336203776048,0.0,120,-21.269379719146915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,2052.7944444444447,718.0,-0.0,0.08811524569765009,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-56.44948621706136,0.0,120,-12.17686477045383,0.0,118,-19.91932673351127,0.0,120,-45.6390947453417,0.0,120,-15.307653934802994,0.0,120,-4.079477467613244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,1255.0166666666669,718.0,-0.0,0.05387100605092854,0.33026517190346083,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-11.000668404983136,0.0,120,-7.94661250040404,0.0,118,-20.072682108855,0.0,120,-43.62034709663803,0.0,120,-47.316473782487876,0.0,120,-55.65457233107916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,457.23888888888916,411.51500000000027,-0.0,0.019626766404206998,0.33026517190346083,101.2213212108321,799.2,0.0,306.48499999999973,1.0,888.0,-272158.67999999976,120,-45.750393805456625,0.0,120,-18.962883869638464,0.0,118,-15.52584716204868,0.0,120,-7.596243427747023,0.0,120,-56.81360308020969,0.0,120,-25.12398147787743,0.0,0.0,0.0,0.0,0.0,-272158.67999999976,-272158.67999999976,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.33026517190346083,237.1303934266849,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-55.4696451955667,0.0,120,-57.24020138776672,0.0,118,-44.17135320677469,0.0,120,-0.3036722625042376,0.0,120,-40.30868324707177,0.0,120,-55.21659600136612,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.33026517190346083,237.1303934266849,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-33.703278804821196,0.0,120,-44.41991546121218,0.0,118,-30.955634144053157,0.0,120,-2.7288935515444157,0.0,120,-25.603526365453774,0.0,120,-35.192027238115095,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.33026517190346083,237.1303934266849,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-28.560803688105032,0.0,120,-38.025628056477274,0.0,118,-23.25207585309503,0.0,120,-31.29833084898596,0.0,120,-11.292609270258573,0.0,120,-49.48863884734166,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.33026517190346083,237.1303934266849,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-50.37240189321238,0.0,120,-59.92913493210662,0.0,118,-0.1272965643634194,0.0,120,-7.424947037898024,0.0,120,-43.911485573419085,0.0,120,-54.92418635464108,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.33026517190346083,237.1303934266849,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-55.57683432525749,0.0,120,-41.5100529696864,0.0,118,-8.118861415965902,0.0,120,-27.642442929832644,0.0,120,-43.777318613676194,0.0,120,-14.636604013670606,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.33026517190346083,237.1303934266849,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-36.89339872108056,0.0,120,-58.659343517403556,0.0,118,-6.402468191721347,0.0,120,-1.8418994388508225,0.0,120,-37.54233222060558,0.0,120,-8.529368820937137,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.33026517190346083,237.1303934266849,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-57.499492556554515,0.0,120,-40.9763644954029,0.0,118,-45.94835911124568,0.0,120,-36.483327397373266,0.0,120,-43.73446801225213,0.0,120,-13.822025485665442,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.33026517190346083,236.46986308287796,799.2,0.0,716.0,1.0,888.0,-635808.0,118,-9.45040049021455,0.0,120,-22.975903276238327,0.0,118,-18.60588101605785,0.0,120,-39.690235793471345,0.0,120,-3.54225744703085,0.0,120,-27.498840338238143,0.0,0.0,0.0,0.0,0.0,-635808.0,-635808.0,716.0,716.0,0.0,0.0,716.0,0.0,0.0,716
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.33026517190346083,236.46986308287796,799.2,0.0,716.0,1.0,888.0,-635808.0,118,-44.74222126963422,0.0,120,-3.205755482435304,0.0,118,-53.253523554855,0.0,120,-56.77927348196148,0.0,120,-14.739256637360665,0.0,120,-4.09557457121648,0.0,0.0,0.0,0.0,0.0,-635808.0,-635808.0,716.0,716.0,0.0,0.0,716.0,0.0,0.0,716
