balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-52.8568994243811,0.0,120,-0.07588029412965547,0.0,120,-33.597772924492844,0.0,120,-33.050199848311586,0.0,120,-29.280511433078008,0.0,120,-47.407355658805265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.838263291058155,0.0,120,-55.41079348424002,0.0,120,-44.31147396715628,0.0,120,-44.017303581349694,0.0,120,-11.906671516546556,0.0,120,-23.93489752932521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.247991375048727,0.0,120,-26.798139065983456,0.0,120,-17.031016536889606,0.0,120,-48.88513479622131,0.0,120,-34.12877232129758,0.0,120,-34.48836550561587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-8.767902664727618,0.0,120,-52.48108333060631,0.0,120,-9.173411284962516,0.0,120,-24.30311243399309,0.0,120,-52.55116696564491,0.0,120,-55.20076230047805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.74844571010669,0.0,120,-21.241977091641242,0.0,120,-18.25057268986745,0.0,120,-48.23865352414869,0.0,120,-35.68097219726156,0.0,120,-11.969144480781985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-37.54203599475967,0.0,120,-19.817751971090733,0.0,120,-54.2172055109461,0.0,120,-24.582382058337497,0.0,120,-37.58068055129532,0.0,120,-53.453924145894284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.37983382863974,0.0,120,-22.713821071076048,0.0,120,-3.032371043171087,0.0,120,-40.94884611868716,0.0,120,-9.596498557457007,0.0,120,-54.3947640801351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-15.757654370905346,0.0,120,-52.53413639404259,0.0,120,-16.73075452703133,0.0,120,-41.727187840895475,0.0,120,-40.26255120442449,0.0,120,-50.83281461359504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.57092778665019,0.0,120,-55.10153126085372,0.0,120,-26.094626373080892,0.0,120,-56.75890678056021,0.0,120,-53.13569474949905,0.0,120,-20.802101023009744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-5.233569206464792,0.0,120,-48.1913076703983,0.0,120,-25.810452799516597,0.0,120,-34.351277664308704,0.0,120,-46.4751935057421,0.0,120,-24.64065029335277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.621443367575026,0.0,120,-40.97742096824367,0.0,120,-17.752115550852956,0.0,120,-2.7138769308335364,0.0,120,-29.084680507913482,0.0,120,-36.395705648687205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.477031841917395,0.0,120,-0.7777797390103136,0.0,120,-30.312315320627473,0.0,120,-13.252641221323705,0.0,120,-49.54274563481254,0.0,120,-10.138927973818245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-3.74167445963395,0.0,120,-5.256415787433157,0.0,120,-33.43845825295939,0.0,120,-1.6179269966046328,0.0,120,-22.361371985224032,0.0,120,-20.2496136096736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.11810659039162114,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.36847795224139,0.0,120,-38.89899711810131,0.0,120,-10.813725236915124,0.0,120,-19.24448141319448,0.0,120,-44.30862746878532,0.0,120,-8.167163685573675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.11810659039162114,37.378964260092175,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-18.108296387092047,0.0,120,-2.637398503464796,0.0,120,-0.9102708069622545,0.0,120,-4.718660834741614,0.0,120,-14.361556846741282,0.0,120,-18.12414230402631,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11810659039162114,85.03674508196721,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-9.797533789244373,0.0,120,-25.983064872215728,0.0,120,-18.58879934336064,0.0,120,-59.76800727357707,0.0,120,-3.285110747043054,0.0,120,-51.00553608960205,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11810659039162114,85.03674508196721,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-46.30558910964011,0.0,120,-4.605466198233044,0.0,120,-34.95071755464701,0.0,120,-48.72149364589431,0.0,120,-45.524629143249044,0.0,120,-52.237585588384626,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11810659039162114,85.03674508196721,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-42.111418366722276,0.0,120,-35.62528669064934,0.0,120,-55.63794079358552,0.0,120,-29.162158911035597,0.0,120,-8.75437004847128,0.0,120,-29.715686360133432,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11810659039162114,85.03674508196721,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-44.7451129635387,0.0,120,-58.96079825685871,0.0,120,-46.97854053424612,0.0,120,-3.1769991547348453,0.0,120,-48.54394787880878,0.0,120,-32.29416009465722,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11810659039162114,85.03674508196721,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.85389401142846,0.0,120,-36.52688307192159,0.0,120,-53.38978322204667,0.0,120,-13.140373164681334,0.0,120,-14.920884229190364,0.0,120,-53.90941187525087,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11810659039162114,85.03674508196721,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-59.64290308264234,0.0,120,-49.10908239967824,0.0,120,-53.74203718963716,0.0,120,-51.92557735801282,0.0,120,-51.276845522385685,0.0,120,-4.402118773234882,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11810659039162114,85.03674508196721,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-9.189266350666315,0.0,120,-48.85723863142142,0.0,120,-58.49741751964451,0.0,120,-38.79683072262651,0.0,120,-36.39747375946624,0.0,120,-24.889221315730794,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11810659039162114,85.03674508196721,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-51.048795874327304,0.0,120,-12.427777106828003,0.0,120,-28.924637833019027,0.0,120,-41.51996195348302,0.0,120,-49.40948488370732,0.0,120,-8.149243235951396,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11810659039162114,85.03674508196721,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-47.449688712644026,0.0,120,-19.6198131080314,0.0,120,-45.36625077320469,0.0,120,-11.42183631806293,0.0,120,-22.012357973786607,0.0,120,-32.55895646702064,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
