balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-30.50290163040453,0.0,120,-20.734391601515302,0.0,120,-5.434957834186108,0.0,120,-22.94105446396874,0.0,120,-32.13439136211968,0.0,120,-27.868744320096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-20.763135260389166,0.0,120,-53.17958534283841,0.0,120,-0.1639218780997198,0.0,120,-23.111126991549316,0.0,120,-38.70487474594683,0.0,120,-50.27031307182409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.280377715564256,0.0,120,-33.56863682382805,0.0,120,-18.446972061607333,0.0,120,-59.574219192318026,0.0,120,-51.37796633204688,0.0,120,-13.429390500501421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.27737861801354,0.0,120,-34.33157332659568,0.0,120,-42.44330045304815,0.0,120,-21.867487163776403,0.0,120,-50.7494770890356,0.0,120,-46.28248000428646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.387676421250845,0.0,120,-43.524576619801,0.0,120,-22.355117836637998,0.0,120,-9.777868063360716,0.0,120,-35.690261029966734,0.0,120,-38.92573511352061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-23.677712587156783,0.0,120,-10.589604408672118,0.0,120,-55.762058513762746,0.0,120,-20.191247200573827,0.0,120,-38.028754591945024,0.0,120,-2.3346808302024047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-30.431360980719116,0.0,120,-53.81506426571303,0.0,120,-40.17076718362269,0.0,120,-2.2323827122196427,0.0,120,-47.84707809555038,0.0,120,-29.973170583277426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-26.021922445216564,0.0,120,-4.320609631960504,0.0,120,-18.44543543195051,0.0,120,-31.33995388698131,0.0,120,-28.400952295275513,0.0,120,-27.142129768913982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.62381612741678,0.0,120,-42.01726635236841,0.0,120,-45.43168719293841,0.0,120,-56.25262523112253,0.0,120,-38.56304275021762,0.0,120,-21.090601521854936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.608733510818034,0.0,120,-41.92721775892431,0.0,120,-46.1563548245215,0.0,120,-35.41103576600815,0.0,120,-46.98514847554927,0.0,120,-2.613467830536329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-34.78934784590258,0.0,120,-45.768256188958354,0.0,120,-18.81720900314264,0.0,120,-12.195895472338822,0.0,120,-27.808452234261733,0.0,120,-1.9344227588187257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.63067241186943,0.0,120,-5.25512730841645,0.0,120,-37.640481201602285,0.0,120,-26.372748186970597,0.0,120,-8.168476691344637,0.0,120,-14.38915601442466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-57.524822009130325,0.0,120,-11.460099862489741,0.0,120,-13.025799276001642,0.0,120,-41.981074505286344,0.0,120,-17.849035507967045,0.0,120,-30.53034125944146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.06735774931693989,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.197305130893048,0.0,120,-12.266657359933188,0.0,120,-17.423461505913785,0.0,120,-50.133018138888104,0.0,120,-4.144823653451253,0.0,120,-18.28523683346517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.06735774931693989,21.317717292571697,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-12.644598578627917,0.0,120,-54.2833971684064,0.0,120,-45.834180167669764,0.0,120,-52.5967282502497,0.0,120,-53.95391432866411,0.0,120,-3.520973119887849,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06735774931693989,48.497579508196715,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.46417520750588,0.0,120,-34.10058606563617,0.0,120,-24.535460624418064,0.0,120,-40.54062965623475,0.0,120,-51.18367372729545,0.0,120,-41.03155172522811,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06735774931693989,48.497579508196715,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-33.197758583616086,0.0,120,-48.38603206193853,0.0,120,-59.09852228288154,0.0,120,-19.034663526605577,0.0,120,-0.9295411171545886,0.0,120,-39.50478789663205,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06735774931693989,48.497579508196715,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-21.63798364246307,0.0,120,-35.37336834758745,0.0,120,-43.54958577781804,0.0,120,-43.90010812856034,0.0,120,-12.634095767310448,0.0,120,-55.076259959437444,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06735774931693989,48.497579508196715,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-9.506452640500001,0.0,120,-23.60150109732623,0.0,120,-18.820291131706814,0.0,120,-46.089174391475346,0.0,120,-21.17135223288114,0.0,120,-51.64710366902027,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06735774931693989,48.497579508196715,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-5.329856939837143,0.0,120,-43.786894153155394,0.0,120,-16.83518161985255,0.0,120,-45.018984620476374,0.0,120,-10.899616159248408,0.0,120,-40.8266322349163,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06735774931693989,48.497579508196715,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-3.7917995287742556,0.0,120,-39.5756250296199,0.0,120,-28.27474246592913,0.0,120,-19.503605709746736,0.0,120,-57.63124478084954,0.0,120,-13.36063369767951,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06735774931693989,48.497579508196715,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-20.52586345096856,0.0,120,-47.61396655404943,0.0,120,-26.14479874612372,0.0,120,-7.692131186903019,0.0,120,-37.570851707645204,0.0,120,-55.95465537575921,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06735774931693989,48.497579508196715,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-0.0733074926959909,0.0,120,-56.05865726553783,0.0,120,-50.92004086924148,0.0,120,-40.20768490009325,0.0,120,-54.83717869419338,0.0,120,-11.55982275667126,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06735774931693989,48.497579508196715,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-53.17456178495101,0.0,120,-1.2868106973169624,0.0,120,-45.48129954018939,0.0,120,-14.382442333777854,0.0,120,-56.03019368243181,0.0,120,-38.68996117647902,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
