balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-33.03460954887892,0.0,120,-24.208431198679335,0.0,120,-47.34549128852217,0.0,120,-18.06075556117137,0.0,120,-46.21845678054919,0.0,120,-50.7178732794467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.16750334501742,0.0,120,-5.077172813050337,0.0,120,-53.72862946830169,0.0,120,-36.42938179896414,0.0,120,-6.4093114845243,0.0,120,-30.82264694772025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.053411475754693,0.0,120,-42.95137329317059,0.0,120,-6.5420443988049115,0.0,120,-4.66754992716589,0.0,120,-58.38949762948417,0.0,120,-57.51991919147039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.87761793613425,0.0,120,-35.63055548049715,0.0,120,-57.748694175618716,0.0,120,-14.499189547707392,0.0,120,-36.43423731060136,0.0,120,-19.321444762567374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-33.817853601029775,0.0,120,-21.93263921425114,0.0,120,-3.7636935952246864,0.0,120,-24.203149026675618,0.0,120,-6.844568970721143,0.0,120,-45.50536181497258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.26708343617361,0.0,120,-26.84272829388131,0.0,120,-27.591563094298174,0.0,120,-22.94462937892934,0.0,120,-17.163547175578636,0.0,120,-40.5372619134736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.696700787395038,0.0,120,-7.062227423094718,0.0,120,-42.03679747571941,0.0,120,-38.646267778770934,0.0,120,-50.39168581635138,0.0,120,-29.455549809108163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.568323200527328,0.0,120,-49.76695490765182,0.0,120,-36.1672899850212,0.0,120,-39.62152747274839,0.0,120,-17.013542519348498,0.0,120,-46.61919511364205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-21.58528973924456,0.0,120,-14.676534633131242,0.0,120,-4.241750928486665,0.0,120,-6.965136528774112,0.0,120,-9.134111086855807,0.0,120,-11.990364455403855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-19.963808060234385,0.0,120,-27.9567298533752,0.0,120,-15.933106341159169,0.0,120,-5.9855213295567715,0.0,120,-25.773180999793258,0.0,120,-16.37284967687468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.884001859068643,0.0,120,-38.783108773498455,0.0,120,-26.449073740873644,0.0,120,-11.41901520121337,0.0,120,-59.91846173383121,0.0,120,-20.184874186534508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-33.720293974900606,0.0,120,-1.9422505397812007,0.0,120,-21.80376245936462,0.0,120,-19.324345751001438,0.0,120,-24.71526443462228,0.0,120,-31.06261908612382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.416406168114253,0.0,120,-53.92695246045916,0.0,120,-4.245771168952269,0.0,120,-36.279599918586186,0.0,120,-49.81352403638832,0.0,120,-30.572523032726426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.675732208451407,0.0,120,-52.22646756153407,0.0,120,-35.839983555565695,0.0,120,-24.765398132955315,0.0,120,-31.299990140172874,0.0,120,-23.796838773166712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.3637492395264117,115.12117807151628,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-34.71941255964648,0.0,120,-7.900181379370686,0.0,120,-1.064803627209574,0.0,120,-22.45613896842993,0.0,120,-57.3560233145391,0.0,120,-2.693113699841765,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-3.317222333426524,0.0,120,-55.75931304134277,0.0,120,-51.44298136465376,0.0,120,-54.21081895076035,0.0,120,-56.45203548924306,0.0,120,-38.509301709597565,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-28.53616502082282,0.0,120,-35.008243197015965,0.0,120,-50.69902342262696,0.0,120,-2.0862206394035243,0.0,120,-7.791716540688305,0.0,120,-30.959464377671438,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-44.74829099902479,0.0,120,-10.040074719792367,0.0,120,-35.4145858828484,0.0,120,-34.30100980660999,0.0,120,-33.7373612349975,0.0,120,-29.130107365473755,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-4.0367626671515815,0.0,120,-41.820706181315366,0.0,120,-35.90940720820633,0.0,120,-40.82098917837279,0.0,120,-46.503459595717715,0.0,120,-13.119761064448802,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-21.443110353232044,0.0,120,-25.82208870808496,0.0,120,-45.01025907452152,0.0,120,-54.748158504502236,0.0,120,-41.01149597768795,0.0,120,-44.982272414406395,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-11.600068892928864,0.0,120,-37.91650637790241,0.0,120,-42.58162031085995,0.0,120,-43.350518981064354,0.0,120,-50.16467101581709,0.0,120,-38.8785296528796,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-19.05403044575859,0.0,120,-35.75069213343732,0.0,120,-39.91649188841621,0.0,120,-5.5348887774900675,0.0,120,-38.710727199718,0.0,120,-2.1089507468657565,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-31.28108880596871,0.0,120,-49.10994655536845,0.0,120,-3.7776700813948616,0.0,120,-58.88358380438313,0.0,120,-29.17060835145006,0.0,120,-55.626889866476766,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-19.44357002929256,0.0,120,-50.875255195408904,0.0,120,-9.645012053704585,0.0,120,-43.69502013628527,0.0,120,-44.14534814626037,0.0,120,-24.50081651266428,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
