balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.644577025940414,0.0,120,-0.7211235274823036,0.0,120,-5.59664398749991,0.0,120,-44.50045368619596,0.0,120,-17.135257500583567,0.0,120,-16.671596265031873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.36009509089475,0.0,120,-30.66112039902541,0.0,120,-17.984865849382988,0.0,120,-11.489075253289233,0.0,120,-9.69396025334296,0.0,120,-54.65272588203859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.11228191411878,0.0,120,-13.498427669383613,0.0,120,-6.366088755356342,0.0,120,-18.67149920535341,0.0,120,-51.10042177644664,0.0,120,-55.21976973068355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.94713054463065,0.0,120,-23.14043430956868,0.0,120,-20.96300395516296,0.0,120,-18.62362315521238,0.0,120,-10.65897725001327,0.0,120,-42.124490402119385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.55592043089862,0.0,120,-56.27215180739104,0.0,120,-59.96065215760619,0.0,120,-14.43518620004741,0.0,120,-44.388400273230005,0.0,120,-5.741705474079808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.202330702283994,0.0,120,-30.097446277039047,0.0,120,-4.994167444395186,0.0,120,-32.17382290626041,0.0,120,-57.60111748802381,0.0,120,-6.017598640128945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.06856847256684,0.0,120,-21.193498171914484,0.0,120,-8.9614915495595,0.0,120,-46.18514672469933,0.0,120,-4.9083726181510805,0.0,120,-58.21274114515489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-15.914809047608946,0.0,120,-29.869978292223113,0.0,120,-4.003907210745519,0.0,120,-57.746574284513,0.0,120,-21.453425025764407,0.0,120,-37.830931031546825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.358728269113975,0.0,120,-30.202956326338317,0.0,120,-44.15579937039611,0.0,120,-54.340396902551305,0.0,120,-33.25562456449077,0.0,120,-7.883723544872055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.2302137030869424,0.0,120,-7.723477634149747,0.0,120,-11.656660495709614,0.0,120,-26.715306971004605,0.0,120,-42.52632038784222,0.0,120,-19.408432826965644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.04680821288803,0.0,120,-10.393662149746062,0.0,120,-32.146433367292126,0.0,120,-42.302055141069765,0.0,120,-15.418638653497867,0.0,120,-16.64796541384137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-27.130147816569675,0.0,120,-30.339907551876998,0.0,120,-5.81735617236099,0.0,120,-32.48127205702221,0.0,120,-5.325997537699569,0.0,120,-24.802347816166208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.13758427051723,0.0,120,-32.79402748674892,0.0,120,-2.7659248158974314,0.0,120,-6.780658310278342,0.0,120,-7.932815183796677,0.0,120,-33.964652639431286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.10568781648451732,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-34.69810574652554,0.0,120,-47.46089947859921,0.0,120,-16.216561897907088,0.0,120,-38.526449045639495,0.0,120,-18.44908150162482,0.0,120,-36.651155988961094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.10568781648451732,33.44860860010243,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-4.567361214446624,0.0,120,-38.09721001923237,0.0,120,-21.9536182219089,0.0,120,-3.1806283865306995,0.0,120,-39.150664447260056,0.0,120,-2.4680612989604156,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10568781648451732,76.09522786885248,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-51.20433751222658,0.0,120,-42.23214616110139,0.0,120,-12.547830105650867,0.0,120,-13.642574653160812,0.0,120,-20.02806536101748,0.0,120,-52.82236162241091,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10568781648451732,76.09522786885248,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-22.102327560684213,0.0,120,-10.162888498532753,0.0,120,-7.4727786346358505,0.0,120,-59.20669321946882,0.0,120,-4.674196827906025,0.0,120,-3.3194470454785296,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10568781648451732,76.09522786885248,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-52.045061457974796,0.0,120,-3.7701895965322785,0.0,120,-18.230676464868843,0.0,120,-20.190227808739753,0.0,120,-23.94407917599972,0.0,120,-45.50565898150718,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10568781648451732,76.09522786885248,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-0.542158065192635,0.0,120,-0.6341681726166493,0.0,120,-0.745395003636864,0.0,120,-18.616033459256187,0.0,120,-12.70532320273351,0.0,120,-44.47971979557165,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10568781648451732,76.09522786885248,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-18.28613966842155,0.0,120,-35.623082977745604,0.0,120,-54.05903612213696,0.0,120,-55.210944457774,0.0,120,-42.062308471681426,0.0,120,-10.343530214588927,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10568781648451732,76.09522786885248,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-3.3075768553123863,0.0,120,-10.758407309054686,0.0,120,-20.72050897890701,0.0,120,-16.218999980853283,0.0,120,-40.31357225688056,0.0,120,-33.13769030074187,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10568781648451732,76.09522786885248,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-2.819382664265677,0.0,120,-46.18644820537136,0.0,120,-6.407893028686966,0.0,120,-30.479915729278694,0.0,120,-47.21091555919283,0.0,120,-6.937027302166983,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10568781648451732,76.09522786885248,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-24.856188835731807,0.0,120,-24.31670153415323,0.0,120,-0.36983023029650397,0.0,120,-6.7169062154393755,0.0,120,-23.543524652564013,0.0,120,-28.66793081229614,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10568781648451732,76.09522786885248,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-7.103849301540752,0.0,120,-44.11850601663546,0.0,120,-41.37426402839269,0.0,120,-8.656404245188476,0.0,120,-48.289125349826186,0.0,120,-43.84074008448039,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
