balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.674045456868406,0.0,120,-44.04482243851987,0.0,120,-58.69355208043909,0.0,120,-48.569231968453025,0.0,120,-28.962184422026585,0.0,120,-2.4930453499172134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-21.293855148771748,0.0,120,-31.129927464030523,0.0,120,-10.715960418775195,0.0,120,-5.077070830813762,0.0,120,-43.7300372113087,0.0,120,-58.16409282844347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.744217185854534,0.0,120,-6.12800815279956,0.0,120,-10.86232153116309,0.0,120,-20.562168924375108,0.0,120,-23.02720695813208,0.0,120,-37.861842031925704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.923480554245604,0.0,120,-26.117049580245638,0.0,120,-51.99174850325431,0.0,120,-53.440704802757615,0.0,120,-47.59533088747576,0.0,120,-14.089872703905854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-52.159529901510645,0.0,120,-19.92195338805472,0.0,120,-45.8013431502827,0.0,120,-20.544457714184237,0.0,120,-12.578496580187144,0.0,120,-12.413021109675366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.29922832735914,0.0,120,-25.05978691209922,0.0,120,-50.59413738871763,0.0,120,-50.4685337104144,0.0,120,-12.474007505781575,0.0,120,-40.37258660859807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.596498301404395,0.0,120,-20.84922165396932,0.0,120,-52.60951276678546,0.0,120,-34.037837027218195,0.0,120,-13.348168202706898,0.0,120,-31.080559728398146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.362906684322905,0.0,120,-3.9447145337563216,0.0,120,-6.363887153439323,0.0,120,-7.401324445390984,0.0,120,-6.743449540196378,0.0,120,-37.964046700975935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.232997189027634,0.0,120,-9.776326781955671,0.0,120,-10.894652440228988,0.0,120,-23.317519043523433,0.0,120,-22.129420810261077,0.0,120,-2.8392088506632573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.3514247752692,0.0,120,-21.889178486512197,0.0,120,-19.483500956017966,0.0,120,-55.58513119514317,0.0,120,-36.460758041493925,0.0,120,-41.53468901335777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-56.43320844040328,0.0,120,-49.650315465989664,0.0,120,-42.439065859915544,0.0,120,-56.24679554589,0.0,120,-58.80604811321731,0.0,120,-53.853715426908344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.715310929270132,0.0,120,-33.555199434217045,0.0,120,-29.267708483891074,0.0,120,-21.361031351074068,0.0,120,-26.964813673118464,0.0,120,-1.1291279079592265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,718.0,-0.0,0.0879244699893118,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-0.5153964018654755,0.0,120,-40.99124930748211,0.0,120,-42.80908930625846,0.0,120,-3.363225770878109,0.0,120,-32.25008608666872,0.0,118,-40.5241393144759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,1250.5722222222225,718.0,-0.0,0.05368023034259026,0.10699655510018215,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-35.89960677168823,0.0,120,-18.96065980079581,0.0,120,-15.192080231974463,0.0,120,-49.22490258892516,0.0,120,-46.36892939125554,0.0,118,-2.156777057442254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,452.7944444444448,407.5150000000003,-0.0,0.01943599069586872,0.10699655510018215,33.22082541028002,799.2,0.0,310.4849999999997,1.0,888.0,-275710.6799999997,120,-25.411995187219173,0.0,120,-12.725058286803554,0.0,120,-22.814594779867882,0.0,120,-10.76380662233446,0.0,120,-33.73623844521936,0.0,118,-48.67335211918571,0.0,0.0,0.0,0.0,0.0,-275710.6799999997,-275710.6799999997,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10699655510018215,76.82352656193078,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-29.497760284407907,0.0,120,-2.393775419326578,0.0,120,-45.556755974908086,0.0,120,-46.06453735423922,0.0,120,-46.74974398215087,0.0,118,-17.47915156806073,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10699655510018215,76.82352656193078,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-47.44838339576102,0.0,120,-45.489361328738696,0.0,120,-2.0289162365951574,0.0,120,-2.0819203364142025,0.0,120,-10.729369731797188,0.0,118,-13.576030586707956,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10699655510018215,77.03751967213114,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-59.624853862529164,0.0,120,-25.8376973794263,0.0,120,-3.3271863596243523,0.0,120,-57.23888520876685,0.0,120,-14.524300280078934,0.0,120,-38.993859582717434,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10699655510018215,77.03751967213114,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-51.11995029795135,0.0,120,-8.284301502935005,0.0,120,-43.60645135915002,0.0,120,-33.577121613717516,0.0,120,-39.127326299227384,0.0,120,-29.133385417745647,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10699655510018215,77.03751967213114,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-10.320309566963733,0.0,120,-7.7105620411337235,0.0,120,-20.42486937453663,0.0,120,-23.674175284337796,0.0,120,-16.309019914675858,0.0,120,-12.529136783120268,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10699655510018215,77.03751967213114,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-17.838362334703536,0.0,120,-8.876448446379099,0.0,120,-38.02293231629878,0.0,120,-46.98158551769885,0.0,120,-45.9682761524375,0.0,120,-9.481417952502975,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10699655510018215,77.03751967213114,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-22.439197681508208,0.0,120,-24.319773168113866,0.0,120,-46.549999625804375,0.0,120,-32.18610892791099,0.0,120,-34.08626559253305,0.0,120,-37.40042164503098,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10699655510018215,77.03751967213114,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-13.510728635134726,0.0,120,-24.708466581538154,0.0,120,-51.52663529302656,0.0,120,-11.474583991235699,0.0,120,-30.95938513595744,0.0,120,-36.21965418473098,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.10699655510018215,77.03751967213114,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-8.475327119287217,0.0,120,-59.59513804346144,0.0,120,-57.62252707683749,0.0,120,-40.99876673120056,0.0,120,-27.498067871206217,0.0,120,-7.07733118615905,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
