balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.852726550048445,0.0,120,-26.762816058449793,0.0,120,-36.87164464710439,0.0,120,-28.02769768465228,0.0,120,-51.52969196284361,0.0,120,-29.8062595584406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.407298735684584,0.0,120,-31.9764867012739,0.0,120,-1.9682243592629578,0.0,120,-57.75866402114883,0.0,120,-27.254914453439813,0.0,120,-52.68810778686794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-20.395599335563077,0.0,120,-13.216944652343592,0.0,120,-48.67308178729825,0.0,120,-14.923432346679913,0.0,120,-18.949408256593557,0.0,120,-12.3915028103216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.99023912575198,0.0,120,-38.05986003875301,0.0,120,-24.627844631478844,0.0,120,-54.434055522319404,0.0,120,-22.987298242737527,0.0,120,-38.15647527893562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.0678660682232,0.0,120,-22.98942879001035,0.0,120,-11.133672327544977,0.0,120,-19.729688520506368,0.0,120,-48.3739390600523,0.0,120,-1.3465328375723962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-48.28614019109487,0.0,120,-23.290251315612533,0.0,120,-46.80327633201846,0.0,120,-51.892380768456306,0.0,120,-9.755833822695054,0.0,120,-31.772568047952028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-33.5033960526502,0.0,120,-42.45737495433382,0.0,120,-17.503490015961084,0.0,120,-58.8869781542621,0.0,120,-39.24153264957141,0.0,120,-18.200776288255465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.40648491016578,0.0,120,-19.704488936198615,0.0,120,-8.585040837868021,0.0,120,-43.894248887331415,0.0,120,-50.15997862126734,0.0,120,-51.36484585064078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.507104501746218,0.0,120,-55.02376510069787,0.0,120,-33.176438081990035,0.0,120,-55.467958357384276,0.0,120,-28.1704363225732,0.0,120,-18.83029190131805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-33.62101886814743,0.0,120,-1.6332352208736256,0.0,120,-37.246602756954964,0.0,120,-10.991079929403437,0.0,120,-5.372375471111484,0.0,120,-6.848331645930436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.32935754123585,0.0,120,-50.80912943393811,0.0,120,-7.4457612437419085,0.0,120,-46.451050794562335,0.0,120,-43.402181053989366,0.0,120,-22.766887926779606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-27.749742801495234,0.0,120,-52.01876086661404,0.0,120,-50.85907957757457,0.0,120,-50.64394540121273,0.0,120,-43.67461384768905,0.0,120,-36.29000441557699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-30.65671308817056,0.0,120,-15.220722802076107,0.0,120,-35.79792139268124,0.0,120,-25.83161134722633,0.0,120,-9.804369070439423,0.0,120,-50.330190946948264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.5000987887067395,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.428857890509875,0.0,120,-9.547378999326444,0.0,120,-35.65767118522173,0.0,120,-21.028753296594118,0.0,120,-32.78882019296442,0.0,120,-58.63971858571007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.5000987887067395,158.2737651438523,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-52.12112891416121,0.0,120,-37.68398574786216,0.0,120,-47.541155188563195,0.0,120,-21.810226110138895,0.0,120,-8.062869462974621,0.0,120,-54.304454391185125,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.5000987887067395,360.07112786885244,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-1.5922333501168473,0.0,120,-20.7742642317036,0.0,120,-43.61970633326072,0.0,120,-16.7365932593466,0.0,120,-20.264331543294773,0.0,120,-59.15387939176963,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.5000987887067395,360.07112786885244,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-32.50575920541599,0.0,120,-3.986574304055346,0.0,120,-40.124921266768965,0.0,120,-56.417028167881966,0.0,120,-7.267084475199102,0.0,120,-21.781487172960517,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.5000987887067395,360.07112786885244,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-31.360068200671336,0.0,120,-16.01479756264126,0.0,120,-52.279518126711366,0.0,120,-0.5950892518657258,0.0,120,-48.42279747720258,0.0,120,-56.07168833093145,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.5000987887067395,360.07112786885244,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-17.699241083955307,0.0,120,-58.420833861493485,0.0,120,-41.24108896284269,0.0,120,-29.59599839929205,0.0,120,-57.03602712348171,0.0,120,-21.065005527033044,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.5000987887067395,360.07112786885244,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-51.35137371186348,0.0,120,-22.176981100825017,0.0,120,-27.868874568921605,0.0,120,-0.3356908042074602,0.0,120,-18.388152140318155,0.0,120,-55.163444850585336,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.5000987887067395,360.07112786885244,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-32.84055182588592,0.0,120,-13.78834863699646,0.0,120,-48.07351325903235,0.0,120,-36.040781631096046,0.0,120,-17.596831235971056,0.0,120,-26.31978920370454,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.5000987887067395,360.07112786885244,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-15.457644511480236,0.0,120,-33.22869211392811,0.0,120,-17.608264712970115,0.0,120,-18.97418195367361,0.0,120,-39.351402899383224,0.0,120,-43.71536072207085,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.5000987887067395,360.07112786885244,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-21.94430028385571,0.0,120,-51.42576592054428,0.0,120,-6.952072812864964,0.0,120,-21.261499817155666,0.0,120,-7.107554565209398,0.0,120,-32.5868590650046,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.5000987887067395,360.07112786885244,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-15.110669831893887,0.0,120,-3.6716480577921584,0.0,120,-42.28437625319395,0.0,120,-18.425696352657745,0.0,120,-55.767086905703394,0.0,120,-57.06452833336038,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
