balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-27.926716959674977,0.0,120,-17.126639672349583,0.0,120,-15.858029989883002,0.0,120,-19.12474360968706,0.0,120,-53.17595487152654,0.0,120,-51.4249760752183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.35664576647181,0.0,120,-51.61228946268539,0.0,120,-0.9874032935586463,0.0,120,-9.291352153647905,0.0,120,-49.40012854841724,0.0,120,-14.445296317071994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-33.94309445676004,0.0,120,-24.457588580123073,0.0,120,-59.68007089362877,0.0,120,-45.72624931814724,0.0,120,-9.459262570962476,0.0,120,-10.446577400309247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.82175223448944,0.0,120,-10.644710642515907,0.0,120,-51.462027064637375,0.0,120,-29.311561929224794,0.0,120,-14.663289978916849,0.0,120,-46.522575169836294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,718.0,-0.0,0.36264148999643725,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-23.048427444744412,0.0,120,-10.604979058576522,0.0,120,-7.210461830935619,0.0,118,-14.472041964804504,0.0,120,-5.269027009298258,0.0,120,-4.077029286777114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,7650.572222222223,718.0,-0.0,0.32839725034971573,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.525187798132675,0.0,120,-8.434080375284871,0.0,120,-0.32135080139172656,0.0,118,-45.79339489644732,0.0,120,-54.100517282389674,0.0,120,-29.54581830656901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,6852.794444444446,718.0,-0.0,0.2941530107029942,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-34.81616757392479,0.0,120,-11.763802509946945,0.0,120,-6.231815144055481,0.0,118,-27.057735062225298,0.0,120,-4.568648277634503,0.0,120,-4.503255523598597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,6055.016666666668,718.0,-0.0,0.2599087710562727,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.351755627460918,0.0,120,-56.34454012777727,0.0,120,-7.00513568858357,0.0,118,-15.925780870076277,0.0,120,-27.712031730553438,0.0,120,-38.68288717341504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,5257.238888888891,718.0,-0.0,0.22566453140955117,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.196674383051196,0.0,120,-5.939707811904114,0.0,120,-58.61085651166668,0.0,118,-56.65134524941242,0.0,120,-19.186533035913246,0.0,120,-16.16885149529294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,4459.4611111111135,718.0,-0.0,0.19142029176282965,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.63431757821757,0.0,120,-43.65009070258114,0.0,120,-45.93198298174264,0.0,118,-0.733298748695661,0.0,120,-43.04665657794991,0.0,120,-46.983662335253214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,3661.6833333333357,718.0,-0.0,0.1571760521161081,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-15.001928106539888,0.0,120,-30.319959708618807,0.0,120,-1.507759701399376,0.0,118,-9.03184943785406,0.0,120,-49.5782686156067,0.0,120,-22.31831757000165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,2863.905555555558,718.0,-0.0,0.12293181246938656,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.08489018869261,0.0,120,-49.76539602362284,0.0,120,-24.285438012916927,0.0,118,-16.03603792493649,0.0,120,-28.72137766895938,0.0,120,-4.106513370630367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,2066.12777777778,716.0,-0.0,0.08868757282266501,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.43918008258352,0.0,120,-15.589354776831495,0.0,118,-24.79777636490717,0.0,118,-24.440432571275387,0.0,120,-19.548089529930255,0.0,120,-30.440252338143672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,716.0,0.0,0.0,716.0,0.0,0.0,716
0.0,0.0,-0.0,0.0,1270.5722222222244,718.0,-0.0,0.054538721030112605,0.27512418715847,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.51299475564684,0.0,120,-23.60295911755753,0.0,120,-56.05149226158589,0.0,118,-26.46895076455427,0.0,120,-32.993820103919624,0.0,120,-2.7501258378384597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,472.79444444444664,425.515000000002,-0.0,0.020294481383391065,0.27512418715847,80.46969788104455,799.2,0.0,292.484999999998,1.0,888.0,-259726.67999999825,120,-34.535637559187215,0.0,120,-4.691620196447861,0.0,120,-11.280232746082284,0.0,118,-13.290922798141676,0.0,120,-13.08753891143111,0.0,120,-4.3093471277811375,0.0,0.0,0.0,0.0,0.0,-259726.67999999825,-259726.67999999825,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.27512418715847,197.53916637978145,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-37.49670203996588,0.0,120,-56.25964704727139,0.0,120,-38.656189248271836,0.0,118,-11.091129109933222,0.0,120,-19.24298850354236,0.0,120,-11.428049151578094,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.27512418715847,197.53916637978145,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-34.53982959760832,0.0,120,-7.909372166373727,0.0,120,-32.557783757603644,0.0,118,-11.924004953586367,0.0,120,-6.827447932636943,0.0,120,-35.97980395677453,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.27512418715847,197.53916637978145,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-50.17290874291097,0.0,120,-28.504191293546516,0.0,120,-3.3426946520270318,0.0,118,-41.33866353394199,0.0,120,-7.456667762972189,0.0,120,-41.954307906427864,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.27512418715847,214.04661760928965,799.2,0.0,778.0,1.0,888.0,-690864.0,120,-29.32708586094449,0.0,120,-51.790843298607435,0.0,120,-33.97848141865984,0.0,118,-23.44331840649946,0.0,180,-16.908298927873677,0.0,120,-0.7911601431074278,0.0,0.0,0.0,0.0,0.0,-690864.0,-690864.0,778.0,778.0,0.0,0.0,778.0,0.0,0.0,778
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.27512418715847,214.04661760928965,799.2,0.0,778.0,1.0,888.0,-690864.0,120,-52.50222028959985,0.0,120,-56.17351698595174,0.0,120,-41.87632926144537,0.0,118,-50.64052564846845,0.0,180,-55.39806748818549,0.0,120,-21.7271494816958,0.0,0.0,0.0,0.0,0.0,-690864.0,-690864.0,778.0,778.0,0.0,0.0,778.0,0.0,0.0,778
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.27512418715847,214.04661760928965,799.2,0.0,778.0,1.0,888.0,-690864.0,120,-48.45258419756364,0.0,120,-0.11880370884887359,0.0,120,-10.636346825703137,0.0,118,-54.54638482958475,0.0,180,-55.929749782216824,0.0,120,-31.98746163388084,0.0,0.0,0.0,0.0,0.0,-690864.0,-690864.0,778.0,778.0,0.0,0.0,778.0,0.0,0.0,778
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.27512418715847,214.04661760928965,799.2,0.0,778.0,1.0,888.0,-690864.0,120,-22.941662861525888,0.0,120,-25.883885646373287,0.0,120,-46.74297924322846,0.0,118,-46.0754576564342,0.0,180,-6.697423824724645,0.0,120,-0.8903740532722648,0.0,0.0,0.0,0.0,0.0,-690864.0,-690864.0,778.0,778.0,0.0,0.0,778.0,0.0,0.0,778
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.27512418715847,214.04661760928965,799.2,0.0,778.0,1.0,888.0,-690864.0,120,-46.32270322849192,0.0,120,-17.115751517774772,0.0,120,-45.819760904195796,0.0,118,-27.320057607355768,0.0,180,-19.775895435857162,0.0,120,-45.67250589019858,0.0,0.0,0.0,0.0,0.0,-690864.0,-690864.0,778.0,778.0,0.0,0.0,778.0,0.0,0.0,778
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.27512418715847,214.04661760928965,799.2,0.0,778.0,1.0,888.0,-690864.0,120,-1.4461409013883575,0.0,120,-21.22593058129014,0.0,120,-27.314711111114068,0.0,118,-56.4774461881577,0.0,180,-29.517715109596118,0.0,120,-45.26836139979843,0.0,0.0,0.0,0.0,0.0,-690864.0,-690864.0,778.0,778.0,0.0,0.0,778.0,0.0,0.0,778
