balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.27274328785619,0.0,120,-26.554519330800698,0.0,120,-9.6114883092279,0.0,120,-49.51755481081771,0.0,120,-4.270797946603182,0.0,120,-46.008902250592485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.47993181522178,0.0,120,-25.631217564732573,0.0,120,-24.66656486540539,0.0,120,-23.97644490603659,0.0,120,-34.98730331115037,0.0,120,-47.01991688078681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-37.792827006340495,0.0,120,-31.37511596608857,0.0,120,-44.908113995664735,0.0,120,-40.62626474140527,0.0,120,-10.230045938114278,0.0,120,-57.38885964260547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-23.451279983737045,0.0,120,-43.893751119500145,0.0,120,-12.678059492152167,0.0,120,-11.638850796410015,0.0,120,-46.125266485122026,0.0,120,-51.48082682541355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.9214387816341,0.0,120,-18.73051622032477,0.0,120,-25.533208960697063,0.0,120,-50.005006757614396,0.0,120,-43.868565167091695,0.0,120,-1.5589139690346965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.214770529621916,0.0,120,-44.92523274918037,0.0,120,-11.870830385503318,0.0,120,-25.154877817631863,0.0,120,-59.85273923361474,0.0,120,-13.70944011448344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-21.742675328715958,0.0,120,-53.46886734465069,0.0,120,-44.93656455532725,0.0,120,-30.15813212023016,0.0,120,-44.59218288005691,0.0,120,-40.1708722967387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-0.7056295812232638,0.0,120,-15.281115558708724,0.0,120,-36.427808010888576,0.0,120,-48.10588712227838,0.0,120,-45.78135265620684,0.0,120,-18.377485976381024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.1557833237676993,0.0,120,-45.44228359949637,0.0,120,-50.84925251266543,0.0,120,-29.237975552466466,0.0,120,-50.339388550281,0.0,120,-35.01676382622495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.513510115421937,0.0,120,-41.248930143083115,0.0,120,-25.546616401800087,0.0,120,-7.095031801359324,0.0,120,-48.07332364579517,0.0,120,-52.79789156487516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.366231943528584,0.0,120,-11.055558684683904,0.0,120,-10.451597232877308,0.0,120,-30.689624399489478,0.0,120,-4.674081248892772,0.0,120,-27.22252063786994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-55.62681365701604,0.0,120,-58.962218116158354,0.0,120,-10.393833676276994,0.0,120,-45.3440578754176,0.0,120,-54.59503201876471,0.0,120,-26.35300527667608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.07875359245766,0.0,120,-16.224260831230954,0.0,120,-19.102984847492525,0.0,120,-5.749491772972863,0.0,120,-25.8273156705389,0.0,120,-50.691637855520725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.20729918943533696,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.223477590313458,0.0,120,-46.71587572260976,0.0,120,-10.368874113784411,0.0,120,-49.78395068255382,0.0,120,-35.90183065191072,0.0,120,-4.687139639371283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.20729918943533696,65.60708396844255,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-18.637912774967955,0.0,120,-27.517616594980176,0.0,120,-47.20155316832527,0.0,120,-54.042591972200775,0.0,120,-2.6701575538355504,0.0,120,-59.389995055198874,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.20729918943533696,149.2554163934426,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-38.17557634073871,0.0,120,-41.005348112453014,0.0,120,-27.374186425853864,0.0,120,-3.7522426522190244,0.0,120,-42.767107863117786,0.0,120,-19.21277102855711,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.20729918943533696,149.2554163934426,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-40.046283076915394,0.0,120,-14.786240083547312,0.0,120,-3.697162847165658,0.0,120,-59.21751580611152,0.0,120,-40.963908028761054,0.0,120,-40.99958823992639,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.20729918943533696,149.2554163934426,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-13.182939145112911,0.0,120,-15.833637378879704,0.0,120,-46.69893153765559,0.0,120,-13.975739462971354,0.0,120,-12.755055262134423,0.0,120,-42.099846397112096,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.20729918943533696,149.2554163934426,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-55.14342392801246,0.0,120,-8.452867956726646,0.0,120,-7.7788304038423455,0.0,120,-44.38600444758041,0.0,120,-49.70854235589225,0.0,120,-24.69984615607322,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.20729918943533696,149.2554163934426,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-55.28396753006215,0.0,120,-48.33152700608397,0.0,120,-42.834263525771796,0.0,120,-23.85690261648805,0.0,120,-24.66765011620052,0.0,120,-17.076711604106517,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.20729918943533696,149.2554163934426,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-17.819529171811453,0.0,120,-49.43945025621348,0.0,120,-56.46528603683976,0.0,120,-11.83406448510513,0.0,120,-29.130687524908833,0.0,120,-50.02101232887105,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.20729918943533696,149.2554163934426,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-27.812590336178914,0.0,120,-29.408649089508955,0.0,120,-54.09775262675451,0.0,120,-23.06311363828618,0.0,120,-14.45543242060138,0.0,120,-9.86434894026435,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.20729918943533696,149.2554163934426,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-51.12086362565103,0.0,120,-4.621868241378917,0.0,120,-4.5463991207505945,0.0,120,-44.763316559101135,0.0,120,-42.9201650503833,0.0,120,-22.13123189035137,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.20729918943533696,149.2554163934426,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-21.74522831786627,0.0,120,-28.465885270949116,0.0,120,-43.96780951161117,0.0,120,-39.15275743935097,0.0,120,-37.920640480860264,0.0,120,-59.73717636820031,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
