balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-27.16752377954333,0.0,120,-34.07697173896606,0.0,120,-16.88104578306426,0.0,120,-33.25402214458088,0.0,120,-28.182082733094436,0.0,120,-0.5541962230976893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-55.21535627097397,0.0,120,-16.059124495494917,0.0,120,-21.998632009856177,0.0,120,-41.28325048972467,0.0,120,-27.590043452971152,0.0,120,-58.57624972546807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.30838536546897,0.0,120,-28.872498820139732,0.0,120,-5.498392486311299,0.0,120,-43.14457343204123,0.0,120,-12.769000636745515,0.0,120,-10.632060241505412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-52.93718042117872,0.0,120,-56.22474196150063,0.0,120,-23.048887944213995,0.0,120,-1.2513996330014332,0.0,120,-8.593558587823848,0.0,120,-45.435846546374165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.269806198810821,0.0,120,-3.2627221148513352,0.0,120,-42.147557046240394,0.0,120,-19.7278441337385,0.0,120,-9.966064318576226,0.0,120,-36.70179081332932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.76617230612118,0.0,120,-7.142482210060721,0.0,120,-18.679676283843893,0.0,120,-22.160276262872443,0.0,120,-47.62078266181577,0.0,120,-42.817215989527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.864290648476334,0.0,120,-15.248522969441172,0.0,120,-42.5939508555602,0.0,120,-40.18023470771678,0.0,120,-12.02788874714332,0.0,120,-26.057479847494626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-8.026918921381643,0.0,120,-18.060035009158362,0.0,120,-21.684975977046804,0.0,120,-44.426811943649156,0.0,120,-42.897972802034154,0.0,120,-57.42592424291436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.45208222213134,0.0,120,-18.997091940810925,0.0,120,-32.667829522094834,0.0,120,-12.110372595776298,0.0,120,-14.623433264491279,0.0,120,-16.060029131876632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-58.430424748340215,0.0,120,-53.3728822707401,0.0,120,-34.30995774159408,0.0,120,-43.067432138970375,0.0,120,-44.09702190215917,0.0,120,-16.36433726101022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-11.043715981335623,0.0,120,-51.06883384574339,0.0,120,-2.3481657397435107,0.0,120,-22.467471469277296,0.0,120,-34.56242496139479,0.0,120,-17.95361590418043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.85093895381383,0.0,120,-35.973698369772556,0.0,120,-6.655980771791235,0.0,120,-13.3075271570812,0.0,120,-59.87220360808032,0.0,120,-20.208413716324024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.42196236078445,0.0,120,-35.673090972177874,0.0,120,-17.35980396507909,0.0,120,-50.03050712851968,0.0,120,-0.37126468292285164,0.0,120,-5.291121807793722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.37681129274965797,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.38108645807311,0.0,120,-48.09836756565885,0.0,120,-58.23930098245023,0.0,120,-53.54639140938558,0.0,120,-40.875150073315645,0.0,120,-20.066863286126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.37681129274965797,119.25512198587538,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-54.582975329712106,0.0,120,-26.767038879172663,0.0,120,-42.61833906205302,0.0,120,-3.491849944315537,0.0,120,-52.700902032454344,0.0,120,-30.400002588235182,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37681129274965797,271.30413077975373,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-7.691364476195517,0.0,120,-2.4616139220143607,0.0,120,-18.314108861030572,0.0,120,-52.38094977382917,0.0,120,-35.57138355363228,0.0,120,-29.469200551432785,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37681129274965797,271.30413077975373,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-37.47355774667913,0.0,120,-46.03412403374252,0.0,120,-52.112805613366675,0.0,120,-20.95339350976722,0.0,120,-26.019064145780465,0.0,120,-31.750481331455106,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37681129274965797,271.30413077975373,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.767534268326585,0.0,120,-25.281105533609733,0.0,120,-52.088064379030406,0.0,120,-32.7212001783157,0.0,120,-22.30493873438582,0.0,120,-52.035299255037614,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37681129274965797,271.30413077975373,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-29.993566186930106,0.0,120,-26.281304613179717,0.0,120,-1.0894064751728938,0.0,120,-27.307744847776934,0.0,120,-56.20568275569671,0.0,120,-31.412327824596826,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37681129274965797,271.30413077975373,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-0.08139208260783848,0.0,120,-10.121033736293983,0.0,120,-13.585928906440197,0.0,120,-55.040571891035874,0.0,120,-41.01990790519528,0.0,120,-53.057118362105655,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37681129274965797,271.30413077975373,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-45.408527432522696,0.0,120,-14.942246168992437,0.0,120,-58.789242155283134,0.0,120,-50.77183798156314,0.0,120,-16.650156981828495,0.0,120,-45.48289458181405,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37681129274965797,271.30413077975373,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-48.968744273443654,0.0,120,-39.41881730283511,0.0,120,-15.774665854227482,0.0,120,-31.748946825280754,0.0,120,-56.64458406610563,0.0,120,-27.60466271602203,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37681129274965797,270.5505081942544,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-9.542673975131379,0.0,120,-46.61080448628425,0.0,120,-25.406743198013903,0.0,120,-40.68582635134903,0.0,120,-57.21203492077231,0.0,118,-38.929614309594896,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37681129274965797,271.30413077975373,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-11.025423537989099,0.0,120,-42.80020572864239,0.0,120,-19.63765471200057,0.0,120,-52.69371599668445,0.0,120,-57.215028421694846,0.0,120,-50.04487171260242,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
