balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-52.52115325053386,0.0,120,-42.972400486041444,0.0,120,-45.03830280371263,0.0,120,-35.25387454276284,0.0,120,-24.410023087200273,0.0,120,-28.300788730245998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.3800342529555625,0.0,120,-44.879660735912466,0.0,120,-3.3787103286614384,0.0,120,-28.833037876758773,0.0,120,-47.57863825999071,0.0,120,-25.06296980983298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.549120036963965,0.0,120,-17.26637816113624,0.0,120,-50.26005984756538,0.0,120,-34.760551757620696,0.0,120,-23.107528492828187,0.0,120,-53.403408891235564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.253401441204694,0.0,120,-31.201126574202668,0.0,120,-29.455646799058538,0.0,120,-36.041917405641016,0.0,120,-5.3865037864049725,0.0,120,-49.325210261238595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.452645831255733,0.0,120,-6.130627694814863,0.0,120,-32.64059086531709,0.0,120,-16.34651900174476,0.0,120,-6.271045843025105,0.0,120,-4.96691498372785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-35.776407357036206,0.0,120,-48.11244939129429,0.0,120,-38.928438624980394,0.0,120,-37.489632356264565,0.0,120,-7.365623291330763,0.0,120,-15.750198640710904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.85549037704721,0.0,120,-38.14667348472981,0.0,120,-15.002086226543053,0.0,120,-32.122947255824855,0.0,120,-56.560078015965146,0.0,120,-36.45043618326538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.94735478683824,0.0,120,-26.309502290199788,0.0,120,-48.90651180564758,0.0,120,-38.61631764910192,0.0,120,-25.217096372926907,0.0,120,-30.520500128029195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.662845708678436,0.0,120,-39.65991558727009,0.0,120,-30.704120135720835,0.0,120,-11.166722511317303,0.0,120,-11.70277563122964,0.0,120,-34.876310241848586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-15.017205576269832,0.0,120,-1.6040963798345031,0.0,120,-5.211100517274043,0.0,120,-0.6224581066573331,0.0,120,-5.577946381086482,0.0,120,-59.64236017831011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-8.264909623979609,0.0,120,-14.853185746037907,0.0,120,-17.20751656529979,0.0,120,-50.43596127437618,0.0,120,-39.229921264105435,0.0,120,-25.197486071799073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.52793753802594,0.0,120,-56.323453217264316,0.0,120,-13.896746451900892,0.0,120,-2.551936426763304,0.0,120,-49.495902969802245,0.0,120,-32.10077853271485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-35.42508624270125,0.0,120,-52.51903545636789,0.0,120,-7.480231768336079,0.0,120,-7.29139188610924,0.0,120,-38.692477795971456,0.0,120,-48.28227156549006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.501078637570647,0.0,120,-47.9001367676291,0.0,120,-38.77004037028751,0.0,120,-6.855542310379987,0.0,120,-58.446015317418,0.0,120,-0.3893309707805792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.008623935564663026,2.729346247182375,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-13.358583812459237,0.0,120,-18.30116555901753,0.0,120,-59.02537839693217,0.0,120,-2.013187690157354,0.0,120,-39.258616526876395,0.0,120,-27.497184192541756,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-23.75722347888882,0.0,120,-16.317023162918826,0.0,120,-45.54879692303283,0.0,120,-29.091234057969228,0.0,120,-37.839808521658085,0.0,120,-20.052610888549882,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-33.80539245186097,0.0,120,-48.133994977441766,0.0,120,-33.91480768043646,0.0,120,-6.441570363909039,0.0,120,-58.69917126588994,0.0,120,-25.550742219447812,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.72666974043716,799.2,0.0,780.0,1.0,888.0,-692640.0,180,-39.39720979096233,0.0,120,-10.519410999411791,0.0,120,-19.566815560886756,0.0,120,-44.93290022903492,0.0,120,-10.553503976351502,0.0,120,-30.6054153537915,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.72666974043716,799.2,0.0,780.0,1.0,888.0,-692640.0,180,-46.49901696872854,0.0,120,-51.302568874210905,0.0,120,-40.24201371100427,0.0,120,-23.4414696913182,0.0,120,-39.48940674772383,0.0,120,-16.030729341961738,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.72666974043716,799.2,0.0,780.0,1.0,888.0,-692640.0,180,-8.784947713104678,0.0,120,-58.24684213753744,0.0,120,-47.01827206855103,0.0,120,-7.628968613915994,0.0,120,-40.575051014246924,0.0,120,-30.109897463303735,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.72666974043716,799.2,0.0,780.0,1.0,888.0,-692640.0,180,-39.3079452280965,0.0,120,-54.17875936813612,0.0,120,-50.32465589243546,0.0,120,-46.054993269170936,0.0,120,-19.08488217586797,0.0,120,-22.312157869556767,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.72666974043716,799.2,0.0,780.0,1.0,888.0,-692640.0,180,-9.612080163249113,0.0,120,-42.902338083470596,0.0,120,-21.5001132604506,0.0,120,-34.18371458992944,0.0,120,-50.96557752242255,0.0,120,-35.49184269205253,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.72666974043716,799.2,0.0,780.0,1.0,888.0,-692640.0,180,-50.402812160843624,0.0,120,-37.25830482357878,0.0,120,-6.852497724864069,0.0,120,-55.936815275991904,0.0,120,-10.516566132144892,0.0,120,-42.07376191691367,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.72666974043716,799.2,0.0,780.0,1.0,888.0,-692640.0,180,-6.2712752319404075,0.0,120,-42.21718445381623,0.0,120,-36.08288973605471,0.0,120,-22.48049340706319,0.0,120,-53.11285533372418,0.0,120,-7.86544135824326,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
