balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-24.322488141486904,0.0,120,-4.296971796057898,0.0,120,-42.30946939352573,0.0,120,-10.376832221829758,0.0,120,-41.17342382771742,0.0,120,-7.42225526182424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-58.79387720687075,0.0,120,-22.49827428615574,0.0,120,-34.67936234044727,0.0,120,-59.869979283451585,0.0,120,-42.11725565045318,0.0,120,-2.932110408302091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.2387135672915,0.0,120,-10.527332556194322,0.0,120,-8.923879558791043,0.0,120,-54.82899996328762,0.0,120,-6.091076261664479,0.0,120,-32.47730297966169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.209555190976666,0.0,120,-32.632540979117714,0.0,120,-1.7487438675092903,0.0,120,-12.883427766866568,0.0,120,-24.443340149380713,0.0,120,-25.95810803008088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.313917602581938,0.0,120,-7.795202934301364,0.0,120,-0.6824366651776148,0.0,120,-10.69046565712223,0.0,120,-26.90634511688537,0.0,120,-28.516441833053506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.228114221193921,0.0,120,-13.7495593940746,0.0,120,-41.14395959325473,0.0,120,-40.004421812191076,0.0,120,-20.071466708570746,0.0,120,-36.688726435593445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-49.38740583103357,0.0,120,-30.902394427844893,0.0,120,-12.608540546649792,0.0,120,-40.994672069802014,0.0,120,-47.618305414397604,0.0,120,-1.3278528834573322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.41846893512238,0.0,120,-54.55474705426289,0.0,120,-37.58683840936624,0.0,120,-7.378738760997483,0.0,120,-14.713963077334407,0.0,120,-33.08766972500237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-23.660343098780245,0.0,120,-45.66466342226704,0.0,120,-10.307956680452229,0.0,120,-15.840886223289354,0.0,120,-20.973348946256458,0.0,120,-29.801586875793223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.024303868177867,0.0,120,-42.538281588245816,0.0,120,-26.641483996522844,0.0,120,-32.87196189942999,0.0,120,-56.21851190256647,0.0,120,-34.61242960189314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.52089262897107,0.0,120,-1.0965327791147916,0.0,120,-5.47515368204879,0.0,120,-15.753988855324362,0.0,120,-14.120551048969805,0.0,120,-40.59548972795124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-3.2936939657429076,0.0,120,-33.30238079347452,0.0,120,-40.42431218050356,0.0,120,-1.4164402053680214,0.0,120,-6.109844207192512,0.0,120,-18.47320414365683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.2060651488911223,0.0,120,-53.99250272324084,0.0,120,-42.17060586478322,0.0,120,-38.86913128954982,0.0,120,-4.84204043616868,0.0,120,-17.923275601175686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.946646326949704,0.0,120,-42.16995271233893,0.0,120,-50.62570586931652,0.0,120,-29.269677063932594,0.0,120,-42.825064250345626,0.0,120,-8.575323408572258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.008623935564663026,2.729346247182375,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-40.91478123054743,0.0,120,-0.5319997065539805,0.0,120,-11.04633701717663,0.0,120,-53.47592752811164,0.0,120,-34.23607794585952,0.0,120,-15.81577021153153,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.38135804228689,0.0,120,-30.730351062592675,0.0,120,-18.10663084512091,0.0,120,-10.515404917184842,0.0,120,-27.946576815209415,0.0,120,-13.01685275721197,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-47.87400953993709,0.0,120,-41.23173036686037,0.0,120,-24.07864200936258,0.0,120,-48.2320191336634,0.0,120,-22.603100334656713,0.0,120,-22.149113308295938,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-38.71327335689001,0.0,120,-16.131297940605943,0.0,120,-4.299936074505868,0.0,120,-3.0685261101936456,0.0,120,-25.421296068029193,0.0,120,-13.273090968471845,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-32.470729897243054,0.0,120,-39.919193154784224,0.0,120,-14.372916883556181,0.0,120,-13.619802094207838,0.0,120,-42.970340392783086,0.0,120,-23.551335001184302,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-0.5915881607797346,0.0,120,-24.114448002457415,0.0,120,-24.06712140886628,0.0,120,-20.09390747398427,0.0,120,-6.882960748020874,0.0,120,-48.93346679065428,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-56.14840434758159,0.0,120,-42.20707520896484,0.0,120,-6.6148223582623515,0.0,120,-54.56378394581546,0.0,120,-7.381818570145473,0.0,120,-23.77886536269982,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-6.48932737257045,0.0,120,-53.73964253980984,0.0,120,-14.3558590229388,0.0,120,-42.59440277119788,0.0,120,-54.766504186064154,0.0,120,-34.12766741837355,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-34.05692692193267,0.0,120,-3.9211819522048375,0.0,120,-33.87019992447377,0.0,120,-6.223991296565141,0.0,120,-59.715427085937954,0.0,120,-27.809187641945197,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-25.803839694327785,0.0,120,-52.847121341938525,0.0,120,-30.845541414270244,0.0,120,-19.391589898673104,0.0,120,-51.448503011586006,0.0,120,-35.779376162487274,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720,0.0,0,720.0,0,0.0,720
