balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.785252325094362,0.0,120,-11.590472838783024,0.0,120,-3.0041670541808374,0.0,120,-59.45326056128777,0.0,120,-11.9598908005581,0.0,120,-54.1604680119651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.061078857485153,0.0,120,-18.764557642198902,0.0,120,-3.8340019482829724,0.0,120,-27.820907870185984,0.0,120,-25.195638771693922,0.0,120,-32.30243933728969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.36202924541725,0.0,120,-58.19616224760031,0.0,120,-57.12766247382549,0.0,120,-24.43794126979695,0.0,120,-53.3289606620032,0.0,120,-50.99879455599717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-37.539463178598574,0.0,120,-58.86668820103278,0.0,120,-51.721574338083414,0.0,120,-35.73625320322405,0.0,120,-0.9529638920397066,0.0,120,-1.3186969946896987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.223488614135725,0.0,120,-55.64650880362231,0.0,120,-32.764875294955715,0.0,120,-46.179266621170264,0.0,120,-53.99813233595702,0.0,120,-39.27204960573722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.380330671510144,0.0,120,-28.0665571434603,0.0,120,-43.91336145050569,0.0,120,-28.486121718492747,0.0,120,-55.98527632578316,0.0,120,-56.937786410988274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-49.35276078591755,0.0,120,-9.523606724536808,0.0,120,-42.94305058765561,0.0,120,-22.091545059986704,0.0,120,-14.208099724948893,0.0,120,-7.015708066316833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-35.71493180929711,0.0,120,-18.131508966706388,0.0,120,-25.90554854009641,0.0,120,-33.71476728087769,0.0,120,-41.440255778941044,0.0,120,-41.57263937004649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.037102472640301,0.0,120,-44.906594853885835,0.0,120,-6.143226971991858,0.0,120,-40.04569793564563,0.0,120,-52.49140633942067,0.0,120,-35.55588189949317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.4749178365393854,0.0,120,-30.381951341770726,0.0,120,-1.6686001062704525,0.0,120,-34.08822012679069,0.0,120,-21.637421357004648,0.0,120,-39.70468528753846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.824349742891238,0.0,120,-11.540337025664764,0.0,120,-57.34815854518621,0.0,120,-19.126236613562554,0.0,120,-33.29433814391953,0.0,120,-7.248749718852848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.661634597198756,0.0,120,-33.09842606420022,0.0,120,-26.729037452067303,0.0,120,-36.617666539557774,0.0,120,-1.031482927764451,0.0,120,-37.316762958493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-27.660615097169142,0.0,120,-16.268731987005236,0.0,120,-20.401590365122253,0.0,120,-14.444273924399777,0.0,120,-5.768102632887054,0.0,120,-20.05971137800764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.008623935564663026,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.37534071702841,0.0,120,-20.122057089048692,0.0,120,-12.876575390377871,0.0,120,-33.91593911840888,0.0,120,-34.294634182704996,0.0,120,-25.494130877597115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.008623935564663026,2.729346247182375,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-5.408769948298335,0.0,120,-56.40005818810169,0.0,120,-53.38260331453484,0.0,120,-26.975786013903004,0.0,120,-51.40633116072915,0.0,120,-40.41358283682187,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.340466236692585,0.0,120,-22.46952809190016,0.0,120,-35.62821952854792,0.0,120,-29.391483555572716,0.0,120,-21.555681395802534,0.0,120,-42.27321463711311,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-35.13570960055901,0.0,120,-57.729383563836834,0.0,120,-22.449094100758643,0.0,120,-9.078439448545918,0.0,120,-56.23358348646852,0.0,120,-19.892698754534347,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-30.91263984846499,0.0,120,-46.133208780048705,0.0,120,-20.229691221977085,0.0,120,-30.408218321954763,0.0,120,-53.17685422007196,0.0,120,-53.717341958524514,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-3.215737827879279,0.0,120,-52.36650716320841,0.0,120,-0.3838220283176863,0.0,120,-29.8288295183862,0.0,120,-19.682324426695846,0.0,120,-17.098760645135545,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-4.99957948137139,0.0,120,-14.074812928321627,0.0,120,-52.67062256835531,0.0,120,-57.46599649869361,0.0,120,-56.70668593725043,0.0,120,-10.134296705042964,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-56.27287831217335,0.0,120,-54.591089383764164,0.0,120,-55.346720440408575,0.0,120,-49.67884289009266,0.0,120,-48.98976529110663,0.0,120,-27.727261692353856,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-36.09756936040574,0.0,120,-48.934719619279576,0.0,120,-45.53708724628887,0.0,120,-7.503674081081606,0.0,120,-17.038629584786015,0.0,120,-10.660334011283936,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-20.592198771548,0.0,120,-32.020755804464244,0.0,120,-51.09418135732898,0.0,120,-6.616501980199585,0.0,120,-40.837650366625695,0.0,120,-42.4209151683274,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.008623935564663026,6.209233606557379,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-52.72112602516052,0.0,120,-50.620818321165835,0.0,120,-4.130086177741681,0.0,120,-24.805114227429275,0.0,120,-27.905586440104095,0.0,120,-33.96652765844517,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
