balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-23.10944821731988,0.0,120,-42.227487579236715,0.0,120,-12.371438406008826,0.0,120,-30.55522597100717,0.0,120,-53.33663103280755,0.0,120,-20.01716322979164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.32638713516412,0.0,120,-19.143496526561023,0.0,120,-6.399148523870791,0.0,120,-13.205207195000455,0.0,120,-56.901237943677415,0.0,120,-56.492462143425804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-19.68575997553005,0.0,120,-42.82310126881599,0.0,120,-34.82624401784524,0.0,120,-6.0088917927194085,0.0,120,-23.7434102170225,0.0,120,-13.165811965601451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.017264046093691,0.0,120,-34.485609828550885,0.0,120,-59.43800631519394,0.0,120,-0.2466928972522875,0.0,120,-23.724139533580995,0.0,120,-33.09256527298486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.10640618052239,0.0,120,-14.521216390172194,0.0,120,-34.843032099331936,0.0,120,-31.044114842990137,0.0,120,-40.734787859614215,0.0,120,-10.925904338227358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.663860765105238,0.0,120,-45.08893311619387,0.0,120,-34.134299641712346,0.0,120,-10.66860980022875,0.0,120,-58.392717914175265,0.0,120,-11.430456760154705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.77008065968668,0.0,120,-39.19725294816876,0.0,120,-6.371411868022312,0.0,120,-24.63684914224184,0.0,120,-23.40384672674506,0.0,120,-22.171253586144587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.073453507001695,0.0,120,-7.063832825325078,0.0,120,-31.456540758896768,0.0,120,-0.8987532294542233,0.0,120,-33.61591798093321,0.0,120,-34.76771670588698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.997264708731777,0.0,120,-34.4966469587642,0.0,120,-12.804181272923147,0.0,120,-29.914715988485924,0.0,120,-23.757279522083856,0.0,120,-35.309486907380126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.44200127290179,0.0,120,-47.836629204417946,0.0,120,-8.658246722117974,0.0,120,-40.01056575975351,0.0,120,-15.856021882500631,0.0,120,-54.25880165374446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-45.80071570544807,0.0,120,-4.079485329200205,0.0,120,-51.320177842913346,0.0,120,-20.465241910652388,0.0,120,-24.433410528195523,0.0,120,-19.2122078194244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.189053357967907,0.0,120,-26.306446822058746,0.0,120,-8.510804442594939,0.0,120,-49.82468093265353,0.0,120,-26.08750176351722,0.0,120,-27.097926233411822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.0100879176049946,0.0,120,-35.653383584113875,0.0,120,-19.622558833727982,0.0,120,-2.0480905424855367,0.0,120,-16.97884560787232,0.0,120,-46.60505009906986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.1981538831967213,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.94817881926854,0.0,120,-2.3287484116707335,0.0,120,-50.898635315701114,0.0,120,-45.23316179659857,0.0,120,-55.054524770959176,0.0,120,-25.17123059741788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.1981538831967213,62.71273172351428,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-36.35588811144971,0.0,120,-17.461125655626926,0.0,120,-46.847181931251484,0.0,120,-11.901541767602875,0.0,120,-21.736037507884042,0.0,120,-13.218263744468182,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1981538831967213,142.67079590163934,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-30.932344867031702,0.0,120,-51.355864555930225,0.0,120,-49.11470476873918,0.0,120,-28.948061592676268,0.0,120,-31.49928907916693,0.0,120,-28.567576997115484,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1981538831967213,142.67079590163934,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-42.990230760895194,0.0,120,-2.5595767581070716,0.0,120,-39.11423520438835,0.0,120,-32.260772010020034,0.0,120,-45.749544392233055,0.0,120,-56.27730106573576,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1981538831967213,142.67079590163934,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-6.675751856733376,0.0,120,-34.785489330507524,0.0,120,-54.592761574744465,0.0,120,-16.68964876523734,0.0,120,-17.597512992542164,0.0,120,-30.5238083638346,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1981538831967213,142.67079590163934,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-13.317023955480751,0.0,120,-56.21321819885208,0.0,120,-27.501783012508852,0.0,120,-10.621444408733803,0.0,120,-19.01299692209659,0.0,120,-34.46117329223758,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1981538831967213,142.67079590163934,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-32.31057814111667,0.0,120,-27.983335629776718,0.0,120,-56.46668168032705,0.0,120,-58.38299008576327,0.0,120,-57.8171385266484,0.0,120,-56.12163584099545,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1981538831967213,142.67079590163934,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-56.15948294114187,0.0,120,-33.75882098039561,0.0,120,-50.48204692004843,0.0,120,-28.16576443109384,0.0,120,-7.511287129699502,0.0,120,-8.223532075307453,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1981538831967213,142.67079590163934,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-28.649122608403378,0.0,120,-16.94150157635185,0.0,120,-48.03736220046363,0.0,120,-55.42152649731966,0.0,120,-3.1965608056530437,0.0,120,-32.99871966017072,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1981538831967213,142.67079590163934,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-20.787443351094687,0.0,120,-0.8374764351491804,0.0,120,-43.925839641441996,0.0,120,-23.333032911539455,0.0,120,-3.120001815633493,0.0,120,-25.858493548226523,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1981538831967213,142.67079590163934,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-26.752427628409492,0.0,120,-27.687210011520843,0.0,120,-54.626822758530444,0.0,120,-38.84101206358225,0.0,120,-32.53793134899713,0.0,120,-29.9184347603134,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
