balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.062983247185166,0.0,120,-47.134679881411834,0.0,120,-29.993286115553172,0.0,120,-57.006586521072286,0.0,120,-6.273717612524279,0.0,120,-55.935085342450066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-24.236401352208464,0.0,120,-36.629156743863724,0.0,120,-20.760216956547772,0.0,120,-46.839479109400926,0.0,120,-32.69230979717945,0.0,120,-27.284177720435906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.48237965379901,0.0,120,-35.39343018263352,0.0,120,-33.932077916959976,0.0,120,-28.952415462429688,0.0,120,-31.929115534956882,0.0,120,-23.427727816530847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.000803417879416,0.0,120,-6.0655707238147,0.0,120,-33.46216290105697,0.0,120,-58.69475165693255,0.0,120,-12.38212017359535,0.0,120,-18.39015060225639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-0.388453386147789,0.0,120,-20.08221774137811,0.0,120,-49.54278603318802,0.0,120,-15.800517300795205,0.0,120,-37.11100107021359,0.0,120,-44.57958242725294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.3059122200884,0.0,120,-6.6704767252533514,0.0,120,-54.37865181171452,0.0,120,-41.27161982831557,0.0,120,-7.210758623886315,0.0,120,-12.609297209436559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.13597975340556,0.0,120,-29.920215938716964,0.0,120,-47.371929179922034,0.0,120,-55.495600936512524,0.0,120,-49.84828917531953,0.0,120,-32.67198101872226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.76847663795207,0.0,120,-46.133017021499384,0.0,120,-53.92690511700468,0.0,120,-29.29465631327982,0.0,120,-7.218956000303331,0.0,120,-41.430498461226925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-55.473410231590535,0.0,120,-22.533027293430944,0.0,120,-28.406369875475775,0.0,120,-7.090232049758054,0.0,120,-50.216585064899476,0.0,120,-27.174328895947568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.3210680745522363,0.0,120,-6.5064716699851255,0.0,120,-59.448395531901795,0.0,120,-49.34947537684672,0.0,120,-0.3868606226563842,0.0,120,-34.50666390293087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.23294698786415,0.0,120,-17.86268151350502,0.0,120,-2.9557046180156754,0.0,120,-12.308961974946758,0.0,120,-32.27239031109806,0.0,120,-39.98575257061252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.46810059945651,0.0,120,-46.937590446496685,0.0,120,-26.336389713811187,0.0,120,-46.99707923089671,0.0,120,-17.742100252337284,0.0,120,-20.955617737112952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.142698419560535,0.0,120,-0.9763784203204584,0.0,120,-42.423526796365934,0.0,120,-31.384763902577475,0.0,120,-13.967507514353251,0.0,120,-25.229466486070923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.51854500238393,0.0,120,-9.203456450662346,0.0,120,-39.15837936978371,0.0,120,-13.291448102525841,0.0,120,-4.388010465140018,0.0,120,-3.4628406176021254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.36094485086520944,114.2336311260757,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-46.652874868830594,0.0,120,-28.11716926721003,0.0,120,-20.38497669430627,0.0,120,-59.91234981864656,0.0,120,-7.786107201093097,0.0,120,-52.314884957741654,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-21.406894625366142,0.0,120,-13.150633080024008,0.0,120,-56.80557210362522,0.0,120,-42.57912020377939,0.0,120,-49.24979973682803,0.0,120,-19.442914497431758,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-22.840963215261826,0.0,120,-4.388496127010204,0.0,120,-59.583531049798545,0.0,120,-37.60718108169799,0.0,120,-30.10479904899923,0.0,120,-59.79175081522445,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-3.1705754402954844,0.0,120,-0.6714981040292023,0.0,120,-23.70496291073389,0.0,120,-6.155684507786994,0.0,120,-29.859147322201814,0.0,120,-9.808657424929354,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-17.33922217755213,0.0,120,-55.858331865938155,0.0,120,-38.412353522169965,0.0,120,-33.7557948816003,0.0,120,-44.30422118726841,0.0,120,-18.32266247182483,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-4.079515491831112,0.0,120,-0.43565114097708246,0.0,120,-57.09205859383025,0.0,120,-27.42957217717843,0.0,120,-28.271888613702025,0.0,120,-5.053636156870478,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-44.97810094127128,0.0,120,-46.985558392630246,0.0,120,-15.401320390533758,0.0,120,-28.31441469690301,0.0,120,-17.27076207277799,0.0,120,-13.016436596234158,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-2.5899170345151457,0.0,120,-23.240403592543895,0.0,120,-33.87499174705668,0.0,120,-43.180986444556,0.0,120,-27.7703453511649,0.0,120,-0.768842511405563,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-6.7288513678947615,0.0,120,-4.155093037185771,0.0,120,-14.413422826325197,0.0,120,-6.4265387758188375,0.0,120,-53.60158241571336,0.0,120,-26.885662199011954,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-12.253249904190032,0.0,120,-2.5077025783705986,0.0,120,-15.3131653403367,0.0,120,-29.612372768477428,0.0,120,-38.993723615177196,0.0,120,-17.312825839883242,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
