balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,20626.5,720.0,-0.0,0.5,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.332398934712039,0.0,120,-18.41414031080739,0.0,120,-48.62013850158544,0.0,120,-26.54659127433059,0.0,120,-23.922668550143808,0.0,120,-47.51362932088695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19826.5,720.0,-0.0,0.4806074709718081,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.221900207881388,0.0,120,-12.672339592121034,0.0,120,-45.60179529388381,0.0,120,-4.431377571512374,0.0,120,-28.821951866036347,0.0,120,-33.838305236760064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19026.5,720.0,-0.0,0.46121494194361623,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.233857191587035,0.0,120,-13.187950342407369,0.0,120,-58.33932798808767,0.0,120,-46.298436504289306,0.0,120,-21.502661439377846,0.0,120,-42.49212649167463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,18226.5,720.0,-0.0,0.44182241291542435,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-26.71729555545446,0.0,120,-15.687629796388372,0.0,120,-17.97364201640974,0.0,120,-36.01899745250785,0.0,120,-4.872951082258332,0.0,120,-9.509077882248375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,17426.5,720.0,-0.0,0.42242988388723246,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-57.03108502011869,0.0,120,-47.64130606161211,0.0,120,-1.0433052043126412,0.0,120,-38.56050036914274,0.0,120,-40.57867398031662,0.0,120,-6.388780143389711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,16626.5,720.0,-0.0,0.4030373548590406,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.1982213030252,0.0,120,-19.463984623342473,0.0,120,-52.33316024950484,0.0,120,-34.61769756065967,0.0,120,-47.022582141621946,0.0,120,-41.29025978330462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15826.5,720.0,-0.0,0.3836448258308487,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-49.43832862560517,0.0,120,-2.599371288819856,0.0,120,-19.43330600510773,0.0,120,-44.02231024923082,0.0,120,-3.016670167355804,0.0,120,-22.67589744042604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15026.5,720.0,-0.0,0.36425229680265675,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.654460528271152,0.0,120,-24.566484013036664,0.0,120,-13.638288431935432,0.0,120,-49.32202188169523,0.0,120,-8.562658898745742,0.0,120,-41.13292500251955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,14226.5,720.0,-0.0,0.34485976777446486,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-30.63425240533263,0.0,120,-45.53196306091145,0.0,120,-52.68797716043592,0.0,120,-33.49474144946426,0.0,120,-9.305478995244677,0.0,120,-43.525662736022916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,13426.5,720.0,-0.0,0.325467238746273,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.587728737352165,0.0,120,-52.27229664865415,0.0,120,-44.590270344715556,0.0,120,-23.254100360766195,0.0,120,-7.408912148793714,0.0,120,-48.27727057004829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,12626.5,720.0,-0.0,0.3060747097180811,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.118944025810368,0.0,120,-12.525793129288939,0.0,120,-53.75978102222429,0.0,120,-46.494844707706584,0.0,120,-14.595566245088902,0.0,120,-0.09619464600947314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,11826.5,718.0,-0.0,0.2866821806898892,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-3.5916712255634553,0.0,120,-39.145831333683,0.0,120,-39.96568896940693,0.0,120,-18.66550377877817,0.0,118,-59.498631458250095,0.0,120,-40.01651081851695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,11028.722222222223,718.0,-0.0,0.2673435197978868,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-33.11763736965342,0.0,120,-24.465637444107017,0.0,120,-32.1284270082935,0.0,120,-58.26459439126486,0.0,118,-43.77810426365282,0.0,120,-32.77288297325196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,10230.944444444445,718.0,-0.0,0.2480048589058843,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.961760839795383,0.0,120,-21.995894331735325,0.0,120,-3.864596353573011,0.0,120,-5.78826178508322,0.0,118,-42.126430950243865,0.0,120,-32.17299719844804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,9433.166666666668,718.0,-0.0,0.22866619801388186,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.494233955422224,0.0,120,-18.74444553759544,0.0,120,-8.464162861883093,0.0,120,-53.03613947060781,0.0,118,-3.0708026460031035,0.0,120,-42.42510740614653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,8635.38888888889,718.0,-0.0,0.2093275371218794,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.123112593191514,0.0,120,-22.36334968127782,0.0,120,-39.83369713411058,0.0,120,-40.61162992733509,0.0,118,-5.860367278548089,0.0,120,-59.139351596237866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,7837.611111111113,718.0,-0.0,0.18998887622987692,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-24.768900751262088,0.0,120,-49.041881426761094,0.0,120,-34.584388359240116,0.0,120,-38.51544793634951,0.0,118,-10.443848958121478,0.0,120,-18.07880598605414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,7039.833333333336,716.0,-0.0,0.17065021533787447,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-15.4498130917413,0.0,120,-41.66529515267982,0.0,120,-22.07433001214796,0.0,120,-0.740563389764759,0.0,118,-3.243138564787227,0.0,120,-23.8580980360155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,716.0,0.0,0.0,716.0,0.0,0.0,716
0.0,0.0,-0.0,0.0,6244.27777777778,716.0,-0.0,0.15136542258206143,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-4.01424500854116,0.0,120,-40.198678950674086,0.0,120,-41.47839450040017,0.0,120,-49.47715431646196,0.0,118,-41.42528172031723,0.0,120,-45.02804453553832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,716.0,0.0,0.0,716.0,0.0,0.0,716
0.0,0.0,-0.0,0.0,5448.722222222224,859.0,-0.0,0.13208062982624838,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-4.267067499947707,0.0,120,-4.339005415851489,0.0,203,-18.502617090296436,0.0,180,-21.659969192777893,0.0,118,-48.773972274567036,0.0,120,-57.44910465714607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,859.0,0.0,0.0,859.0,0.0,0.0,859
0.0,0.0,-0.0,0.0,4494.27777777778,859.0,-0.0,0.10894426533289167,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-41.21313296340291,0.0,120,-15.413856064393867,0.0,203,-58.562468177453916,0.0,180,-42.59782894336093,0.0,118,-42.761681017780084,0.0,120,-39.17182270556253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,859.0,0.0,0.0,859.0,0.0,0.0,859
0.0,0.0,-0.0,0.0,3539.8333333333358,857.0,-0.0,0.08580790083953496,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-40.142633940504105,0.0,118,-40.53008887134261,0.0,203,-23.651331614220762,0.0,180,-31.602277996822604,0.0,118,-26.22476026328956,0.0,120,-0.7368725595696701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0,857.0,0.0,0.0,857.0,0.0,0.0,857
0.0,0.0,-0.0,0.0,2587.6111111111136,834.0,-0.0,0.06272540448236767,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-23.094750116217195,0.0,118,-16.217559517515177,0.0,180,-26.0657419785418,0.0,180,-39.872167187504196,0.0,118,-8.693981046214061,0.0,120,-11.747430710238314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,834.0,0.0,0.0,834.0,0.0,0.0,834
0.0,0.0,-0.0,0.0,1660.944444444447,834.0,-0.0,0.04026239169137874,0.016493907103825135,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,118,-21.045562767571752,0.0,118,-4.626757516593962,0.0,180,-10.020432524107171,0.0,180,-39.09670592326822,0.0,118,-38.21164383899859,0.0,120,-28.43220367990576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,834.0,0.0,0.0,834.0,0.0,0.0,834
