balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,20626.5,720.0,-0.0,0.5,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-56.35429736324858,0.0,120,-52.88806133793426,0.0,120,-34.63010601912168,0.0,120,-24.36267018937727,0.0,120,-15.49348315251403,0.0,120,-32.313032451968546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19826.5,720.0,-0.0,0.4806074709718081,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-58.75884356359772,0.0,120,-4.288383532948328,0.0,120,-20.093375038272608,0.0,120,-54.777794037920785,0.0,120,-53.14018708569157,0.0,120,-39.86575426865667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19026.5,720.0,-0.0,0.46121494194361623,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.440684438643682,0.0,120,-17.235949814939474,0.0,120,-11.010876101996969,0.0,120,-24.205482995059374,0.0,120,-52.20278999867847,0.0,120,-46.08604940784549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,18226.5,720.0,-0.0,0.44182241291542435,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-30.113971036188836,0.0,120,-59.34157508334308,0.0,120,-19.58929738244483,0.0,120,-34.87395950278147,0.0,120,-20.710589819602838,0.0,120,-32.008368851172435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,17426.5,720.0,-0.0,0.42242988388723246,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-34.97059307062805,0.0,120,-5.4201687029810675,0.0,120,-16.374057245877815,0.0,120,-21.3138736478915,0.0,120,-33.55782031373841,0.0,120,-54.084855066392706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,16626.5,720.0,-0.0,0.4030373548590406,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.773494433478453,0.0,120,-32.47293014364892,0.0,120,-5.805323853377682,0.0,120,-44.36166824030099,0.0,120,-41.24051016234882,0.0,120,-17.444364249778737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15826.5,720.0,-0.0,0.3836448258308487,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-45.71591747888971,0.0,120,-43.16856348238205,0.0,120,-45.6236972062255,0.0,120,-36.56071560299922,0.0,120,-12.643690424731426,0.0,120,-46.379959063563206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15026.5,720.0,-0.0,0.36425229680265675,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-55.01551554549053,0.0,120,-1.0381549182425265,0.0,120,-16.766386836061777,0.0,120,-7.201705811016998,0.0,120,-47.35057142153519,0.0,120,-14.566168387922346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,14226.5,720.0,-0.0,0.34485976777446486,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.379051699755099,0.0,120,-34.30777250876416,0.0,120,-26.255141440282237,0.0,120,-1.3827256658911913,0.0,120,-54.17312338062956,0.0,120,-54.270871110331186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,13426.5,720.0,-0.0,0.325467238746273,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-52.56433718664035,0.0,120,-7.4754135720188275,0.0,120,-11.480004675325901,0.0,120,-51.834852967624904,0.0,120,-22.5101646602426,0.0,120,-5.642614635365022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,12626.5,720.0,-0.0,0.3060747097180811,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.042088460473781,0.0,120,-58.45658748510315,0.0,120,-3.239161327727067,0.0,120,-40.649791700655385,0.0,120,-59.03628847397237,0.0,120,-56.60699918882868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,11826.5,720.0,-0.0,0.2866821806898892,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.08445547396002,0.0,120,-2.9864298503421582,0.0,120,-20.425269836061396,0.0,120,-28.42786628373376,0.0,120,-40.97776911040342,0.0,120,-3.7301159729042355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,11026.5,720.0,-0.0,0.2672896516616973,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.45947449901533,0.0,120,-22.869941048636402,0.0,120,-16.72027224578131,0.0,120,-10.593150906019853,0.0,120,-17.206163527520676,0.0,120,-58.91376546709772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10226.5,720.0,-0.0,0.24789712263350544,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.5273521108706887,0.0,120,-13.112489746259175,0.0,120,-36.6464995556754,0.0,120,-33.526690061727145,0.0,120,-11.322732654435313,0.0,120,-28.408292768872055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9426.5,720.0,-0.0,0.22850459360531356,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.583943906388281,0.0,120,-4.288136739047705,0.0,120,-19.9969564200668,0.0,120,-58.90890199390777,0.0,120,-47.06425136475415,0.0,120,-33.69294755955755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8626.5,720.0,-0.0,0.20911206457712167,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.07580912292675,0.0,120,-23.750902190016756,0.0,120,-23.759662064458837,0.0,120,-13.602483745874439,0.0,120,-45.207245159235825,0.0,120,-41.647838798392236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7826.5,720.0,-0.0,0.18971953554892979,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.371617147038913,0.0,120,-49.98874834679731,0.0,120,-44.10656540233577,0.0,120,-45.87547032844136,0.0,120,-8.909915548277203,0.0,120,-11.256888866569767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7026.5,720.0,-0.0,0.17032700652073787,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-8.679710725663272,0.0,120,-15.086776949615954,0.0,120,-36.87013875208138,0.0,120,-31.592116454058594,0.0,120,-7.599927429767705,0.0,120,-6.775921546350889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6226.5,720.0,-0.0,0.150934477492546,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-0.7579660831423674,0.0,120,-57.77625022315429,0.0,120,-48.75929053839349,0.0,120,-34.62022572529582,0.0,120,-2.986200691055465,0.0,120,-32.118957344390154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5426.5,720.0,-0.0,0.1315419484643541,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-26.643704334813297,0.0,120,-13.844889503817717,0.0,120,-36.404854967356336,0.0,120,-16.347221404825213,0.0,120,-28.23115458303895,0.0,120,-10.333052834691916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4626.5,720.0,-0.0,0.11214941943616222,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-45.763161463433626,0.0,120,-5.41484754121889,0.0,120,-53.37012199254794,0.0,120,-15.699758567204773,0.0,120,-7.384782854378655,0.0,120,-41.837594719369925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3826.5,720.0,-0.0,0.09275689040797033,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.084295630483716,0.0,120,-54.172792568606674,0.0,120,-43.89955060265044,0.0,120,-9.696384669921734,0.0,120,-37.256968308213494,0.0,120,-25.84883729838705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3026.5,720.0,-0.0,0.07336436137977843,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.46710160765423,0.0,120,-34.52700084922897,0.0,120,-52.481925652052674,0.0,120,-12.645572148840891,0.0,120,-2.4974367524557928,0.0,120,-47.4340303970998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2226.5,720.0,-0.0,0.05397183235158655,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.72345393375946,0.0,120,-34.38322464044964,0.0,120,-36.381079821527024,0.0,120,-50.31094529081036,0.0,120,-24.839910017609338,0.0,120,-25.480571190106865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
